box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_5100_output,Sopron,Marshalling Yard,4742N,1635E,12811 630,18.0,12.0,2.0,1121.0,15,452G,2.0,224.0,7.0,G,3.0,20.0,3.0,5.0,4.0,91.0,,,,,,,5.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_5100_output,Sopron,Marshalling Yard,4742N,1635E,12811 630,18.0,12.0,2.0,1400.0,R,453G,31.0,225.0,7.0,N,3.0,288.0,3.0,72.0,4.0,91.0,,,,,,,72.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_5100_output,Sopron,Marshalling Yard,4742N,1635E,12811 630,23.0,4.0,3.0,1350.0,15,456G,8.0,230.0,1.0,P,3.0,68.0,3.0,17.0,4.0,2.0,,,,,,,17.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_5100_output,Sopron,Marshalling Yard,4742N,1635E,12811 630,23.0,4.0,3.0,1350.0,R,458G,39.0,226.0,1.0,P,1.0,455.0,3.0,114.0,4.0,2.0,,,,,,,114.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_5100_output,Sopron,Marshalling Yard,4742N,1635E,12811 630,24.0,4.0,3.0,1350.0,R,459G,39.0,235.0,1.0,P,1.0,432.0,3.0,108.0,4.0,2.0,,,,,,,108.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_5100_output,Sopron,Marshalling Yard,4742N,1635E,12811 630,25.0,4.0,3.0,1350.0,R,460G,42.0,230.0,1.0,G,1.0,494.0,3.0,124.0,4.0,2.0,,,,,,,124.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_5100_output,Sopron,Marshalling Yard,4742N,1635E,12811 630,26.0,4.0,3.0,1332.0,R,461G,3.5,247.0,1.0,P,1.0,406.0,3.0,102.0,4.0,2.0,,,,,,,102.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_1,IMG_1275_output,Sopron,UNIDENTIFIED TARGET,,,12815,14.0,10.0,4.0,,15.0,484G,1.0,,7.0,G,3.0,9.0,3.0,2.0,1.0,91.0,,,,,,,2.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_1,IMG_1275_output,Sopron,UNIDENTIFIED TARGET,,,12815,16.0,10.0,4.0,,15.0,486G,1.0,,7.0,G,3.0,9.0,3.0,2.0,1.0,91.0,,,,,,,2.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_5100_output,Sopron,Marshalling Yard,4742N,1635E,12811 630,19.0,12.0,4.0,1410.0,R,455G,6.0,231.0,3.0,P,2.0,48.0,3.0,12.0,4.0,91.0,,,,,,,12.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_5100_output,Sopron,Marshalling Yard,4742N,1635E,12811 630,19.0,12.0,4.0,1415.0,R,463G,20.0,280.0,3.0,N,2.0,158.0,3.0,40.0,9.0,91.0,,,,,,,40.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_5100_output,Sopron,Marshalling Yard,4742N,1635E,12811 630,19.0,12.0,4.0,1415.0,R,463G,20.0,240.0,2.0,C,2.0,2.0,3.0,0.6,4.0,9.0,,,,,,,0.6,False
BOX_2,BOOK_6_INDUSTRIAL__PART_1,IMG_1274_output,Sopron,Taktet,4742N,1635E,12811 20,19.0,12.0,4.0,,15.0,460G,1.0,,7.0,N,3.0,8.0,3.0,2.0,4.0,91.0,,,,,,,2.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_1,IMG_1274_output,Sopron,Taktet,4742N,1635E,12811 20,20.0,12.0,4.0,,15.0,461G,1.0,,8.0,N,3.0,8.0,3.0,2.0,4.0,91.0,,,,,,,2.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_5100_output,Sopron,Marshalling Yard,4742N,1635E,12811 630,6.0,12.0,4.0,1100.0,15,98G,6.0,224.0,7.0,N,3.0,48.0,3.0,12.0,4.0,1.0,,,,,,,12.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_5100_output,Sopron,Marshalling Yard,4742N,1635E,12811 630,6.0,12.0,4.0,1118.0,15,450G,39.0,215.0,1.0,G,1.0,378.0,3.0,95.0,4.0,1.0,,,,,,,95.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_5100_output,Sopron,Marshalling Yard,4742N,1635E,12811 630,6.0,12.0,4.0,1146.0,15,449G,28.0,221.0,7.0,P,1.0,222.0,3.0,56.0,4.0,1.0,,,,,,,56.0,False
