box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_3,BOOK_8_WEAPON,IMG_3516_output,SOTTEVAST,NO BALL,4932N,,44262,20.0,4.0,3.0,1820.0,8.0,303G,81.0,192.0,1.0,N,1.0,182.0,4.0,91.0,4.0,3.0,,,,,,,91.0,False
BOX_3,BOOK_8_WEAPON,IMG_3516_output,SOTTEVAST,NO BALL,4932N,,44262,20.0,4.0,4.0,1816.0,8.0,304G,81.0,200.0,1.0,N,3.0,108.0,3.0,27.0,4.0,3.0,,,,,,,27.0,False
BOX_3,BOOK_8_WEAPON,IMG_3516_output,SOTTEVAST,NO BALL,4932N,,44262,20.0,4.0,4.0,1816.0,8.0,305G,81.0,200.0,1.0,N,1.0,183.0,4.0,92.0,4.0,3.0,,,,,,,92.0,False
BOX_3,BOOK_8_WEAPON,IMG_3516_output,SOTTEVAST,NO BALL,4932N,,44262,20.0,4.0,4.0,1816.0,8.0,307G,81.0,200.0,1.0,N,3.0,12.0,3.0,3.0,4.0,3.0,,,,,,,3.0,False
BOX_3,BOOK_8_WEAPON,IMG_3516_output,SOTTEVAST,NO BALL,4932N,,44262,20.0,4.0,4.0,1830.0,8.0,308G,81.0,205.0,1.0,N,1.0,130.0,4.0,65.0,4.0,3.0,,,,,,,65.0,False
BOX_3,BOOK_8_WEAPON,IMG_3516_output,SOTTEVAST,NO BALL,4932N,,44262,21.0,4.0,4.0,1816.0,8.0,306G,81.0,210.0,1.0,N,1.0,192.0,4.0,96.0,4.0,3.0,,,,,,,96.0,False
BOX_3,BOOK_8_WEAPON,IMG_3516_output,SOTTEVAST,NO BALL,4932N,,44262,21.0,4.0,4.0,1900.0,8.0,303G,81.0,198.0,1.0,N,1.0,136.0,4.0,68.0,4.0,3.0,,,,,,,68.0,False
BOX_3,BOOK_8_WEAPON,IMG_3516_output,SOTTEVAST,NO BALL,4932N,,44262,27.0,4.0,4.0,410.0,8.0,384G,81.0,200.0,1.0,N,1.0,117.0,4.0,64.35,4.0,3.0,,,,,,,64.35,False
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1612_output,SOTTEVAST,CITY AREA,4932N,136W,44262 20,28.0,4.0,4.0,1020.0,8.0,100G,14.0,222.0,1.0,N,1.0,84.0,4.0,42.0,4.0,3.0,,,,,,,42.0,False
BOX_3,BOOK_8_WEAPON,IMG_3516_output,SOTTEVAST,NO BALL,4932N,,44262,1.0,5.0,4.0,842.0,8.0,466G,81.0,234.0,1.0,N,1.0,32.0,4.0,16.0,4.0,3.0,,,,,,,16.0,False
BOX_3,BOOK_8_WEAPON,IMG_3516_output,SOTTEVAST,NO BALL,4932N,,44262,1.0,5.0,4.0,842.0,8.0,467G,6.0,230.0,1.0,N,1.0,40.0,4.0,23.0,4.0,3.0,,,,,,,23.0,False
BOX_3,BOOK_8_WEAPON,IMG_3516_output,SOTTEVAST,NO BALL,4932N,,44262,29.0,5.0,4.0,1200.0,8.0,386G,81.0,220.0,1.0,N,1.0,125.0,4.0,68.75,4.0,3.0,,,,,,,68.75,False
BOX_3,BOOK_8_WEAPON,IMG_3516_output,SOTTEVAST,NO BALL,4932N,,44262,30.0,5.0,4.0,841.0,8.0,458G,81.0,230.0,1.0,N,1.0,151.0,4.0,76.0,4.0,3.0,,,,,,,76.0,False
BOX_3,BOOK_8_WEAPON,IMG_3516_output,SOTTEVAST,NO BALL,4932N,,44262,8.0,5.0,4.0,1800.0,8.0,303G,33.0,250.0,1.0,N,1.0,48.0,10.0,38.0,1.0,4.0,,,,,,,38.0,False
BOX_3,BOOK_8_WEAPON,IMG_3516_output,SOTTEVAST,NO BALL,4932N,,44262,8.0,5.0,4.0,1858.0,8.0,379G,20.0,244.0,1.0,N,1.0,60.0,10.0,48.0,1.0,4.0,,,,,,,48.0,False
BOX_3,BOOK_8_WEAPON,IMG_3516_output,SOTTEVAST,NO BALL,4932N,,44262,8.0,5.0,4.0,1900.0,8.0,380G,20.0,260.0,1.0,N,1.0,48.0,10.0,38.0,1.0,4.0,,,,,,,38.0,False
