box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2377_output,SPEYER,City Area Target,4919N,826E,48284,23,12.0,0.0,,R,102G,1.0,,,N,2.0,3.0,3.0,1.0,4.0,1.0,340.0,2.0,0.68,,,,1.6800000000000002,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2377_output,SPEYER,City Area Target,4919N,826E,48284,23-24,12.0,0.0,,R,103G,1.0,,,N,3.0,6.666666666666667,2.0,1.0,4.0,2.0,333.3333333333333,3.0,1.0,,,,2.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2377_output,SPEYER,City Area Target,4919N,826E,48284,05-06,5.0,1.0,,R,104G,1.0,,,N,4.0,4.0,3.0,1.0,4.0,2.0,,,,,,,1.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2377_output,SPEYER,City Area Target,4919N,826E,48284,07-13,6.0,1.0,,R,105G,1.0,,,N,1.0,2.0,4.0,1.0,4.0,2.0,,,,,,,1.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2377_output,SPEYER,City Area Target,4919N,826E,48284,14-15,7.0,1.0,,R,106G,1.0,,,N,2.0,3.0,3.0,1.0,4.0,2.0,,,,,,,1.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2377_output,SPEYER,City Area Target,4919N,826E,48284,14-15,2.0,2.0,,R,108G,1.0,,,N,4.0,2.0,4.0,1.0,4.0,2.0,,,,,,,1.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2377_output,SPEYER,City Area Target,4919N,826E,48284,14-15,2.0,2.0,,R,109G,1.0,,,N,1.0,2.0,4.0,1.0,4.0,2.0,,,,,,,1.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2377_output,SPEYER,City Area Target,4919N,826E,48284,25-26,2.0,3.0,,R,111G,2.0,,,N,3.0,5.0,4.0,3.0,4.0,2.0,,,,,,,3.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2377_output,SPEYER,City Area Target,4919N,826E,48284,25-26,2.0,3.0,,R,112G,2.0,,,N,1.0,3.0,3.0,1.0,4.0,1.0,,,,,,,1.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2377_output,SPEYER,City Area Target,4919N,826E,48284,08-09,3.0,3.0,,R,114G,1.0,,,N,3.0,1.0,4.0,0.55,4.0,2.0,32.0,31.0,0.48,,,,1.03,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2377_output,SPEYER,City Area Target,4919N,826E,48284,08-09,3.0,3.0,,R,115G,1.0,,,N,3.0,,,,,,600.0,2.0,1.0,,,,1.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2377_output,SPEYER,City Area Target,4919N,826E,48284,17,1.0,4.0,,R,120G,1.0,,,N,3.0,1.0,6.0,2.0,4.0,2.0,,,,,,,2.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2377_output,SPEYER,City Area Target,4919N,826E,48284,17,1.0,4.0,,8,121G,1.0,,,N,3.0,5.0,3.0,2.0,4.0,2.0,,,,,,,2.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2377_output,SPEYER,City Area Target,4919N,826E,48284,24-25,4.0,4.0,,R,117G,1.0,,,N,3.0,6.0,5.0,6.0,4.0,2.0,,,,,,,6.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2376_output,SPEYER,City Area Target,4919N,826E,48284,27.0,5.0,4.0,,8.0,379G,18.0,,,,3.0,170.0,3.0,43.0,4.0,3.0,340.0,5.0,17.0,,,,60.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2377_output,SPEYER,City Area Target,4919N,826E,48284,21,7.0,4.0,,8,100BG,1.0,,,N,3.0,,,,,,10.0,12.0,3.0,,,,3.0,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3386_output,SPEYER,SAARPLALZ GMBH A,4919N,826E,48284 111,3,10.0,4.0,1144.0,8,389G,30.0,226.0,1,N,1.0,283.0,3.0,71.0,4.0,2.0,,,,,,,71.0,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3386_output,SPEYER,SAARPLALZ GMBH A,4919N,826E,48284 111,3,10.0,4.0,1434.0,8,390G,30.0,226.0,2,N,1.0,283.0,3.0,71.0,4.0,2.0,,,,,,,71.0,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3386_output,SPEYER,SAARPLALZ GMBH A,4919N,826E,48284 111,4,10.0,4.0,1700.0,8,391G,30.0,226.0,3,N,1.0,283.0,3.0,71.0,4.0,2.0,246.0,,,,,,71.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2377_output,SPEYER,City Area Target,4919N,826E,48284,08,1.0,5.0,,8,303G,1.0,,,N,2.0,8.0,3.0,2.0,4.0,3.0,2.0,6.0,0.5,,,,2.5,False
