box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_7,BOOK_17_NAVAL,IMG_7936_output,SPEZIA,HARBOR,4406N,950E,41557,12.0,5.0,4.0,932.0,15.0,486G,33.0,215.0,7.0,C,1.0,326.0,3.0,82.0,4.0,3.0,,,,,,,82.0,False
BOX_7,BOOK_17_NAVAL,IMG_7936_output,SPEZIA,HARBOR,4406N,950E,41557,12.0,5.0,4.0,932.0,15.0,487G,22.0,200.0,1.0,C,1.0,220.0,3.0,55.0,6.0,3.0,,,,,,,55.0,False
BOX_7,BOOK_17_NAVAL,IMG_7936_output,SPEZIA,HARBOR,4406N,950E,41557,13.0,5.0,4.0,932.0,15.0,488G,40.0,187.0,7.0,C,1.0,400.0,3.0,100.0,4.0,3.0,,,,,,,100.0,False
BOX_7,BOOK_17_NAVAL,IMG_7936_output,SPEZIA,HARBOR,4406N,950E,41557,18.0,5.0,4.0,1012.0,15.0,492G,37.0,200.0,7.0,G,1.0,376.0,3.0,94.0,4.0,91.0,,,,,,,94.0,False
BOX_7,BOOK_17_NAVAL,IMG_7936_output,SPEZIA,HARBOR,4406N,950E,41557,18.0,5.0,4.0,1017.0,15.0,491G,38.0,220.0,7.0,G,1.0,371.0,3.0,93.0,4.0,2.0,,,,,,,93.0,False
BOX_7,BOOK_17_NAVAL,IMG_7936_output,SPEZIA,HARBOR,4406N,950E,41557,19.0,5.0,4.0,1020.0,15.0,490G,33.0,212.0,7.0,P,1.0,324.0,3.0,81.0,4.0,91.0,,,,,,,81.0,False
BOX_7,BOOK_17_NAVAL,IMG_7936_output,SPEZIA,HARBOR,4406N,950E,41557,19.0,5.0,4.0,1024.0,15.0,493G,36.0,194.0,7.0,P,3.0,359.0,3.0,90.0,4.0,91.0,,,,,,,90.0,False
BOX_7,BOOK_17_NAVAL,IMG_7936_output,SPEZIA,HARBOR,4406N,950E,41557,2.0,5.0,4.0,129.0,15.0,484G,35.0,200.0,7.0,P,2.0,282.0,3.0,71.0,4.0,3.0,,,,,,,71.0,False
BOX_7,BOOK_17_NAVAL,IMG_7936_output,SPEZIA,HARBOR,4406N,950E,41557,22.0,5.0,4.0,1538.0,15.0,496G,38.0,186.0,7.0,G,1.0,376.0,3.0,94.0,4.0,91.0,,,,,,,94.0,False
BOX_7,BOOK_17_NAVAL,IMG_7936_output,SPEZIA,HARBOR,4406N,950E,41557,22.0,5.0,4.0,1542.0,15.0,495G,35.0,200.0,7.0,C,1.0,346.0,3.0,87.0,4.0,91.0,,,,,,,87.0,False
