box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_7,BOOK_17_NAVAL,IMG_7896_output,Split,Harbour,4331N,1626E,14897 710,7.0,1.0,4.0,1007.0,15.0,99G,8.0,253.0,7.0,P,1.0,96.0,3.0,24.0,4.0,3.0,,,,,,,24.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_1,IMG_1322_output,Split,Unidentified Target,4331N,1626E,14810,24.0,3.0,4.0,600.0,15.0,99G,3.0,190.0,7.0,C,3.0,36.0,3.0,9.0,4.0,2.0,,,,,,,9.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_1,IMG_1323_output,Split,Total Cement Plant,4331N,1626E,14810,12.0,4.0,4.0,1043.0,15.0,483G,38.0,215.0,7.0,G,1.0,9.0,3.0,2.25,4.0,3.0,,,,,,,2.25,False
BOX_2,BOOK_6_INDUSTRIAL__PART_1,IMG_1322_output,Split,Unidentified Target,4331N,1626E,14810,26.0,4.0,4.0,1300.0,15.0,459G,36.0,190.0,1.0,G,3.0,38.0,2.0,4.75,4.0,91.0,,,,,,,4.75,False
BOX_2,BOOK_6_INDUSTRIAL__PART_1,IMG_1322_output,Split,Unidentified Target,4331N,1626E,14810,27.0,4.0,4.0,1400.0,15.0,460G,37.0,190.0,2.0,G,3.0,1400.0,1.0,70.0,4.0,91.0,,,,,,,70.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_1,IMG_1322_output,Split,Unidentified Target,4331N,1626E,14810,28.0,4.0,4.0,1600.0,15.0,461G,38.0,190.0,3.0,G,3.0,1460.0,1.0,73.0,4.0,91.0,,,,,,,73.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_5233_output,Split,Marshalling Yards,4331N,1626E,14810 630,14.0,6.0,4.0,1047.0,15.0,48G,18.0,215.0,7.0,N,1.0,306.0,2.0,38.0,4.0,91.0,,,,,,,38.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_5233_output,Split,Marshalling Yards,4331N,1626E,14810 630,2.0,6.0,4.0,1100.0,15.0,48G,18.0,215.0,9.0,G,3.0,159.0,3.0,40.0,4.0,91.0,,,,,,,40.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_1,IMG_1323_output,Split,Total Cement Plant,4331N,1626E,14810,26.0,6.0,4.0,930.0,15.0,484G,38.0,215.0,7.0,N,3.0,9.0,3.0,2.0,4.0,91.0,,,,,,,2.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_1,IMG_1323_output,Split,Total Cement Plant,4331N,1626E,14810,28.0,6.0,4.0,1530.0,15.0,486G,38.0,215.0,7.0,G,1.0,9.0,3.0,2.7,4.0,91.0,,,,,,,2.7,False
BOX_7,BOOK_17_NAVAL,IMG_7896_output,Split,Harbour,4331N,1626E,14897 710,30.0,6.0,4.0,900.0,15.0,101G,1.0,253.0,7.0,N,3.0,10.0,3.0,3.0,4.0,91.0,,,,,,,3.0,False
BOX_7,BOOK_17_NAVAL,IMG_7896_output,Split,Harbour,4331N,1626E,14897 710,8.0,7.0,4.0,900.0,15.0,103G,1.0,253.0,7.0,N,3.0,10.0,3.0,3.0,4.0,91.0,,,,,,,3.0,False
