box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4051_output,ST AUBIN,AERODROME,,,4774,23,7.0,0.0,,R,,1.0,,,,,6.666666666666667,2.0,1.0,,,,,,,,,1.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4051_output,ST AUBIN,AERODROME,,,4774,24,7.0,0.0,,R,,1.0,,,,,4.0,2.0,0.6,,,,,,,,,0.6,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4051_output,ST AUBIN,AERODROME,,,4774,24,7.0,0.0,,R,,1.0,,,,,4.0,2.0,0.6,,,,,,,,,0.6,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4051_output,ST AUBIN,AERODROME,,,4774,24,7.0,0.0,,R,,1.0,,,,,2.0,2.0,0.3,,,,,,,,,0.3,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4051_output,ST AUBIN,AERODROME,,,4774,24,7.0,0.0,,R,,1.0,,,,,6.0,2.0,0.75,,,,,,,,,0.75,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4051_output,ST AUBIN,AERODROME,,,4774,24,7.0,0.0,,R,,1.0,,,,,12.0,2.0,1.5,,,,,,,,,1.5,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4051_output,ST AUBIN,AERODROME,,,4774,23-24,9.0,0.0,,R,,1.0,,,,,2.0,2.0,0.25,,,,,,,,,0.25,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4051_output,ST AUBIN,AERODROME,,,4774,24,9.0,0.0,,R,,1.0,,,,,6.0,2.0,0.75,,,,,,,,,0.75,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4051_output,ST AUBIN,AERODROME,,,4774,08-09,10.0,0.0,,R,,1.0,,,,,2.0,2.0,0.25,,,,,,,,,0.25,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4051_output,ST AUBIN,AERODROME,,,4774,09-10,11.0,0.0,,R,,1.0,,,,,4.0,2.0,0.5,,,,,,,,,0.5,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4051_output,ST AUBIN,AERODROME,,,4774,10-11,3.0,1.0,,R,,1.0,,,,,1.0,2.0,0.125,,,,,,,,,0.125,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4051_output,ST AUBIN,AERODROME,,,4774,12,4.0,1.0,,R,,1.0,,,,,3.0,2.0,0.375,,,,,,,,,0.375,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4051_output,ST AUBIN,AERODROME,,,4774,14,4.0,1.0,,R,,1.0,,,,,5.0,11.0,1.0,,,,,,,,,1.0,False
