box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4452_output,St Inglevert,Aerodrome,,,93786 780,15,7.0,0.0,,R,,1.0,,,,,3.0,2.0,0.375,,,,,,,,,0.375,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4452_output,St Inglevert,Aerodrome,,,93786 780,15,7.0,0.0,,R,,1.0,,,,,800.0,2.0,100.0,,,,,,,,,100.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4452_output,St Inglevert,Aerodrome,,,93786 780,15,7.0,0.0,,R,,1.0,,,,,12.0,21.0,50.0,,,,,,,,,50.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4452_output,St Inglevert,Aerodrome,,,93786 780,14-15,8.0,0.0,,R,,1.0,,,,,2.0,2.0,0.25,,,,,,,,,0.25,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4452_output,St Inglevert,Aerodrome,,,93786 780,14-15,8.0,0.0,,R,,1.0,,,,,12.0,2.0,1.5,,,,,,,,,1.5,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4452_output,St Inglevert,Aerodrome,,,93786 780,17-18,8.0,0.0,,R,,1.0,,,,,2.0,2.0,0.25,,,,,,,,,0.25,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4452_output,St Inglevert,Aerodrome,,,93786 780,18,8.0,0.0,,R,,1.0,,,,,12.0,2.0,1.5,,,,,,,,,1.5,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4452_output,St Inglevert,Aerodrome,,,93786 780,22-23,8.0,0.0,,R,,1.0,,,,,66.66666666666667,2.0,10.0,,,,,,,,,10.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4452_output,St Inglevert,Aerodrome,,,93786 780,22-23,8.0,0.0,,R,,1.0,,,,,12.0,2.0,1.5,,,,,,,,,1.5,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4452_output,St Inglevert,Aerodrome,,,93786 780,25-26,8.0,0.0,,R,,1.0,,,,,2.0,2.0,0.25,,,,,,,,,0.25,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4452_output,St Inglevert,Aerodrome,,,93786 780,25-26,8.0,0.0,,R,,1.0,,,,,12.0,2.0,1.5,,,,,,,,,1.5,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4452_output,St Inglevert,Aerodrome,,,93786 780,12-13,10.0,0.0,,R,,1.0,,,,,4.0,3.0,1.0,,,,,,,,,1.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4452_output,St Inglevert,Aerodrome,,,93786 780,14-16,11.0,0.0,,R,,1.0,,,,,4.0,3.0,1.0,,,,,,,,,1.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4452_output,St Inglevert,Aerodrome,,,93786 780,27-28,12.0,0.0,,R,,2.0,,,,,4.0,3.0,1.0,,,220.0,2.0,0.44,,,,1.44,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4452_output,St Inglevert,Aerodrome,,,93786 780,27-28,12.0,0.0,,R,,2.0,,,,,6.0,2.0,0.9,,,,,,,,,0.9,False
