box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2770_output,ST LEU D ESSERENT,TOWN AREA,,,93787,04-05,7.0,4.0,128.0,R,,211.0,155.0,,,,341.0,8.0,170.5,,,,,,999.0,2.0,9.99,180.49,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2770_output,ST LEU D ESSERENT,TOWN AREA,,,93787,04-05,7.0,4.0,128.0,R,,258.0,155.0,,,,563.0,4.0,281.5,,,,,,1600.0,2.0,16.0,297.5,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2770_output,ST LEU D ESSERENT,TOWN AREA,,,93787,04-05,7.0,4.0,128.0,R,,258.0,155.0,,,,743.0,3.0,186.0,,,,,,,,,186.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2770_output,ST LEU D ESSERENT,TOWN AREA,,,93787,04-05,7.0,4.0,128.0,R,,304.0,155.0,,,,800.0,1.0,66.0,,,,,,,,,66.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2770_output,ST LEU D ESSERENT,TOWN AREA,,,93787,04-05,7.0,4.0,128.0,R,,281.0,155.0,,,,850.0,4.0,534.0,,,,,,,,,534.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2770_output,ST LEU D ESSERENT,TOWN AREA,,,93787,04-05,7.0,4.0,128.0,R,,211.0,155.0,,,,900.0,8.0,450.0,,,,,,,,,450.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2770_output,ST LEU D ESSERENT,TOWN AREA,,,93787,4,7.0,4.0,1311.0,R,,250.0,155.0,,,,925.0,8.0,462.5,,,,,,500.0,2.0,5.0,467.5,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2770_output,ST LEU D ESSERENT,TOWN AREA,,,93787,5,8.0,4.0,1311.0,R,,311.0,50.0,,,,945.0,4.0,473.0,,,,,,,,,473.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2770_output,ST LEU D ESSERENT,TOWN AREA,,,93787,5,8.0,4.0,1311.0,R,,350.0,150.0,,,,950.0,4.0,475.0,,,,,,,,,475.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2770_output,ST LEU D ESSERENT,TOWN AREA,,,93787,5,8.0,4.0,1311.0,R,,350.0,150.0,,,,950.0,4.0,522.5,,,,,,,,,522.5,False
