box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4880_output,ST POLTEN,ST POLTEN O ALBINGY RR,4813N,1538E,2772 610,8.0,12.0,0.0,529.0,15.0,449G,1.0,193.1,,,3.0,7.0,3.0,2.0,4.0,91.0,,,,,,,2.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4881_output,ST POLTEN,MARSHALLING YARD,4813N,1538E,2772 630,15.0,3.0,3.0,1200.0,15,491G,6.0,272.0,3.0,P,2.0,72.0,3.0,18.0,4.0,2.0,,,,,,,18.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4881_output,ST POLTEN,MARSHALLING YARD,4813N,1538E,2772 630,15.0,3.0,3.0,1545.0,R,485G,18.0,235.0,1.0,P,3.0,172.0,3.0,43.0,4.0,91.0,,,,,,,43.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4881_output,ST POLTEN,MARSHALLING YARD,4813N,1538E,2772 630,16.0,3.0,3.0,1400.0,15,494G,11.0,269.0,1.0,P,2.0,100.0,3.0,25.0,4.0,91.0,,,,,,,25.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4881_output,ST POLTEN,MARSHALLING YARD,4813N,1538E,2772 630,20.0,3.0,3.0,1200.0,15,495G,9.0,169.0,1.0,G,3.0,35.0,4.0,17.5,4.0,2.0,,,,,,,17.5,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4881_output,ST POLTEN,MARSHALLING YARD,4813N,1538E,2772 630,20.0,3.0,3.0,1545.0,15,449G,19.0,200.0,1.0,G,2.0,76.0,4.0,38.0,4.0,2.0,,,,,,,38.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4881_output,ST POLTEN,MARSHALLING YARD,4813N,1538E,2772 630,21.0,3.0,3.0,1225.0,15,496G,1.0,220.0,1.0,C,3.0,4.0,4.0,2.0,4.0,1.0,,,,,,,2.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4881_output,ST POLTEN,MARSHALLING YARD,4813N,1538E,2772 630,23.0,3.0,3.0,1330.0,15,449G,30.0,187.0,1.0,P,1.0,1040.0,1.0,52.0,4.0,3.0,,,,,,,52.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4881_output,ST POLTEN,MARSHALLING YARD,4813N,1538E,2772 630,24.0,3.0,3.0,1345.0,15,450G,3.7,200.0,1.0,P,1.0,999.0,1.0,67.0,4.0,3.0,,,,,,,67.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4881_output,ST POLTEN,MARSHALLING YARD,4813N,1538E,2772 630,2.0,1.0,4.0,1130.0,15,450G,32.0,170.0,1.0,P,1.0,305.0,3.0,76.0,4.0,2.0,,,,,,,76.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4881_output,ST POLTEN,MARSHALLING YARD,4813N,1538E,2772 630,2.0,1.0,4.0,1410.0,15,449G,32.0,182.0,1.0,P,1.0,309.0,3.0,77.0,4.0,2.0,,,,,,,77.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4881_output,ST POLTEN,MARSHALLING YARD,4813N,1538E,2772 630,3.0,1.0,4.0,1403.0,15,376G,31.0,157.0,1.0,P,1.0,301.0,3.0,75.0,4.0,2.0,,,,,,,75.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4881_output,ST POLTEN,MARSHALLING YARD,4813N,1538E,2772 630,1.0,3.0,4.0,1400.0,15,452G,7.0,178.0,1.0,P,1.0,68.0,3.0,17.0,4.0,2.0,,,,,,,17.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4881_output,ST POLTEN,MARSHALLING YARD,4813N,1538E,2772 630,3.0,4.0,4.0,1240.0,15,451G,29.0,165.0,1.0,P,1.0,281.0,3.0,70.0,4.0,2.0,,,,,,,70.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4881_output,ST POLTEN,MARSHALLING YARD,4813N,1538E,2772 630,3.0,4.0,4.0,1245.0,15,461G,28.0,180.0,1.0,G,1.0,262.0,3.0,66.0,4.0,2.0,,,,,,,66.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4881_output,ST POLTEN,MARSHALLING YARD,4813N,1538E,2772 630,3.0,4.0,4.0,1247.0,15,484G,27.0,190.0,1.0,G,1.0,262.0,3.0,66.0,4.0,2.0,,,,,,,66.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3635_output,ST POLTEN,AIRDROME,4813N,1538E,2772 780,10.0,7.0,4.0,1152.0,15.0,98G,27.0,180.0,7.0,P,1.0,266.0,3.0,67.0,4.0,91.0,,,,,,,67.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3635_output,ST POLTEN,AIRDROME,4813N,1538E,2772 780,8.0,7.0,4.0,1059.0,15.0,98G,25.0,210.0,7.0,G,1.0,245.0,3.0,61.0,4.0,91.0,,,,,,,61.0,False
