box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3676_output,ST TROND,AIRDROME,5048N,512E,3777 780,8,1.0,0.0,,R,,1.0,,,,,3.0,2.0,0.375,,,,,,,,,0.375,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4968_output,ST TROND,RAILWAY,5020N,527E,3777 630,9,1.0,0.0,,R,,1.0,,,,,2.0,2.0,0.25,,,,,,,,,0.25,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3676_output,ST TROND,AIRDROME,5048N,512E,3777 780,05-06,11.0,0.0,,R,,1.0,,,,,2.0,2.0,0.25,,,,,,,,,0.25,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3676_output,ST TROND,AIRDROME,5048N,512E,3777 780,05-06,11.0,0.0,,R,,1.0,,,,,3.0,2.0,0.375,,,,,,,,,0.375,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3676_output,ST TROND,AIRDROME,5048N,512E,3777 780,29-30,11.0,0.0,,R,,1.0,,,,,800.0,2.0,100.0,,,,,,,,,100.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3676_output,ST TROND,AIRDROME,5048N,512E,3777 780,30,11.0,0.0,,R,,1.0,,,,,18.0,2.0,2.25,,,,,,,,,2.25,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3676_output,ST TROND,AIRDROME,5048N,512E,3777 780,30-31,5.0,2.0,,R,,5.0,,,,,10.0,2.0,1.0,,,,,,,,,1.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3676_output,ST TROND,AIRDROME,5048N,512E,3777 780,30-31,5.0,2.0,,R,,5.0,,,,,8.0,2.0,1.0,,,,,,,,,1.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3676_output,ST TROND,AIRDROME,5048N,512E,3777 780,01-02,6.0,2.0,,R,,7.0,,,,,14.0,2.0,2.0,,,,,,,,,2.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3676_output,ST TROND,AIRDROME,5048N,512E,3777 780,01-02,6.0,2.0,,R,,6.0,,,,,13.333333333333334,2.0,2.0,,,,,,,,,2.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3676_output,ST TROND,AIRDROME,5048N,512E,3777 780,25-26,6.0,2.0,,R,,2.0,,,,,4.0,2.0,0.6,,,,,,,,,0.6,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3676_output,ST TROND,AIRDROME,5048N,512E,3777 780,25-26,6.0,2.0,,R,,3.0,,,,,24.0,2.0,3.0,,,16.0,31.0,0.24,,,,3.24,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3676_output,ST TROND,AIRDROME,5048N,512E,3777 780,02-03,7.0,2.0,,R,,4.0,,,,,8.0,2.0,1.0,,,,,,,,,1.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3676_output,ST TROND,AIRDROME,5048N,512E,3777 780,02-03,7.0,2.0,,R,,3.0,,,,,8.0,2.0,1.0,,,32.0,31.0,0.48,,,,1.48,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3676_output,ST TROND,AIRDROME,5048N,512E,3777 780,23-24,7.0,2.0,,R,,1.0,,,,,2.0,2.0,0.3,,,,,,,,,0.3,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3676_output,ST TROND,AIRDROME,5048N,512E,3777 780,23-24,7.0,2.0,,R,,1.0,,,,,20.0,2.0,3.0,,,,,,,,,3.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3676_output,ST TROND,AIRDROME,5048N,512E,3777 780,25-26,7.0,2.0,,R,,1.0,,,,,66.66666666666667,2.0,10.0,,,,,,,,,10.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3676_output,ST TROND,AIRDROME,5048N,512E,3777 780,25-26,7.0,2.0,,R,,1.0,,,,,16.0,2.0,2.0,,,,,,,,,2.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3676_output,ST TROND,AIRDROME,5048N,512E,3777 780,11-12,8.0,2.0,,R,,2.0,,,,,4.0,2.0,0.6,,,,,,,,,0.6,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3676_output,ST TROND,AIRDROME,5048N,512E,3777 780,11-12,8.0,2.0,,R,,2.0,,,,,20.0,2.0,2.5,,,16.0,31.0,0.24,,,,2.74,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3676_output,ST TROND,AIRDROME,5048N,512E,3777 780,12-13,8.0,2.0,,R,,1.0,,,,,2.0,2.0,0.3,,,,,,,,,0.3,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3676_output,ST TROND,AIRDROME,5048N,512E,3777 780,12-13,8.0,2.0,,R,,2.0,,,,,9.0,2.0,1.125,,,8.0,31.0,0.12,,,,1.245,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3677_output,ST TROND,AIRDROME,5048N,512E,3777 780,15-16,2.0,3.0,1200.0,R,305G,2.0,233.0,1.0,N,1.0,8.0,2.0,1.0,4.0,91.0,,,,,,,1.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3676_output,ST TROND,AIRDROME,5048N,512E,3777 780,15-16,2.0,3.0,,R,,4.0,,,,,6.0,3.0,2.0,,,,,,,,,2.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3677_output,ST TROND,AIRDROME,5048N,512E,3777 780,20-21,2.0,4.0,1200.0,R,305A,2.0,233.0,1.0,N,1.0,8.0,3.0,2.0,4.0,91.0,,,,,,,2.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3677_output,ST TROND,AIRDROME,5048N,512E,3777 780,24-25,2.0,4.0,930.0,R,305A,2.0,233.0,1.0,N,1.0,8.0,3.0,2.0,4.0,91.0,,,,,,,2.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3677_output,ST TROND,AIRDROME,5048N,512E,3777 780,25,2.0,4.0,1800.0,R,305C,2.0,233.0,1.0,N,1.0,8.0,3.0,2.0,4.0,91.0,,,,,,,2.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3677_output,ST TROND,AIRDROME,5048N,512E,3777 780,25-26,2.0,4.0,1800.0,R,305C,2.0,233.0,1.0,N,1.0,8.0,3.0,2.0,4.0,91.0,,,,,,,2.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3677_output,ST TROND,AIRDROME,5048N,512E,3777 780,01-02,3.0,4.0,1100.0,R,305A,4.0,233.0,1.0,N,1.0,16.0,3.0,4.0,4.0,91.0,,,,,,,4.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3677_output,ST TROND,AIRDROME,5048N,512E,3777 780,15-16,3.0,4.0,900.0,R,305G,3.0,233.0,1.0,N,1.0,9.0,3.0,2.0,4.0,91.0,,,,,,,2.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3677_output,ST TROND,AIRDROME,5048N,512E,3777 780,18-19,3.0,4.0,600.0,R,305G,3.0,233.0,1.0,N,1.0,9.0,3.0,2.0,4.0,91.0,,,,,,,2.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3677_output,ST TROND,AIRDROME,5048N,512E,3777 780,24-25,3.0,4.0,930.0,R,305G,3.0,233.0,1.0,N,1.0,12.0,3.0,3.0,4.0,91.0,,,,,,,3.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3677_output,ST TROND,AIRDROME,5048N,512E,3777 780,11-12,4.0,4.0,1800.0,R,305G,1.0,233.0,1.0,N,1.0,4.0,3.0,1.0,4.0,91.0,,,,,,,1.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_1,IMG_1166_output,ST TROND,NIEUPORT,548N,512E,3777,10.0,5.0,4.0,930.0,8,458G,25.0,178.0,1,N,1.0,968.0,1.0,48.0,4.0,3.0,,,,,,,48.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_1,IMG_1166_output,ST TROND,NIEUPORT,548N,512E,3777,10.0,5.0,4.0,952.0,8,392G,27.0,182.0,1,N,1.0,968.0,1.0,68.0,4.0,3.0,,,,,,,68.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_1,IMG_1166_output,ST TROND,NIEUPORT,548N,512E,3777,11.0,5.0,4.0,940.0,8,466G,17.0,190.0,1,N,1.0,675.0,1.0,34.0,4.0,3.0,,,,,,,34.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_1,IMG_1166_output,ST TROND,NIEUPORT,548N,512E,3777,12.0,5.0,4.0,930.0,8,467G,28.0,185.0,1,N,1.0,675.0,3.0,223.0,4.0,3.0,,,,,,,223.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3677_output,ST TROND,AIRDROME,5048N,512E,3777 780,27-28,5.0,4.0,1400.0,R,305G,1.0,233.0,1.0,N,1.0,,,,,,100.0,2.0,0.2,8.0,2.0,0.08,0.28,False
BOX_2,BOOK_6_INDUSTRIAL__PART_1,IMG_1166_output,ST TROND,NIEUPORT,548N,512E,3777,9.0,5.0,4.0,954.0,8,4G,29.0,193.0,1,N,1.0,968.0,1.0,73.0,1.0,8.0,,,,,,,73.0,False
