box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_7,BOOK_15_TACTICAL,IMG_7504_output,ST TROPEZ,GUN POSITION,4316N,641E,44345 820,14.0,8.0,4.0,1200.0,15.0,463G,7.0,168.0,7.0,G,1.0,35.0,4.0,18.0,4.0,3.0,,,,,,,18.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7504_output,ST TROPEZ,GUN POSITION,4316N,641E,44345 820,14.0,8.0,4.0,1430.0,15.0,461G,6.0,160.0,7.0,G,1.0,27.0,4.0,14.85,4.0,3.0,,,,,,,14.85,False
BOX_7,BOOK_15_TACTICAL,IMG_7504_output,ST TROPEZ,GUN POSITION,4316N,641E,44345 820,14.0,8.0,4.0,1430.0,15.0,462G,6.0,165.0,7.0,G,1.0,30.0,4.0,15.0,4.0,3.0,,,,,,,15.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7504_output,ST TROPEZ,GUN POSITION,4316N,641E,44345 820,14.0,8.0,4.0,1430.0,15.0,466G,20.0,172.0,7.0,G,1.0,145.0,4.0,72.5,4.0,3.0,,,,,,,72.5,False
BOX_7,BOOK_15_TACTICAL,IMG_7504_output,ST TROPEZ,GUN POSITION,4316N,641E,44345 820,14.0,8.0,4.0,1545.0,15.0,464G,33.0,170.0,7.0,G,1.0,159.0,4.0,80.0,4.0,3.0,,,,,,,80.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7504_output,ST TROPEZ,GUN POSITION,4316N,641E,44345 820,14.0,8.0,4.0,1630.0,15.0,465G,28.0,170.0,7.0,G,1.0,140.0,4.0,70.0,4.0,3.0,,,,,,,70.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7504_output,ST TROPEZ,GUN POSITION,4316N,641E,44345 820,14.0,8.0,4.0,1631.0,15.0,460G,26.0,157.0,3.0,G,1.0,130.0,4.0,65.0,4.0,3.0,,,,,,,65.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7505_output,ST TROPEZ,BEACH HEAD,4316N,641E,44345 860,15.0,8.0,5.0,704.0,15.0,98G,3.0,130.0,7.0,P,1.0,120.0,1.0,6.0,1.0,1.0,,,,,,,6.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7505_output,ST TROPEZ,BEACH HEAD,4316N,641E,44345 860,16.0,8.0,5.0,705.0,15.0,376G,15.0,133.0,7.0,P,1.0,590.0,1.0,30.0,1.0,1.0,,,,,,,30.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7505_output,ST TROPEZ,BEACH HEAD,4316N,641E,44345 860,16.0,8.0,5.0,711.0,15.0,483G,13.0,152.0,7.0,G,1.0,468.0,1.0,23.0,1.0,1.0,,,,,,,23.0,False
