box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4969_output,ST VITH,RAILWAY,517N,608E,3780 600,29.0,1.0,4.0,1050.0,8.0,389G,11.0,235.0,5.0,N,2.0,61.0,4.0,31.0,4.0,2.0,,,,,,,31.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_1,IMG_1174_output,ST VITH,UNIDENTIFIED TARGET,4338N,2253E,4490 10,15.0,7.0,4.0,,15.0,459G,1.0,,7.0,N,,10.0,3.0,3.0,4.0,91.0,,,,,,,3.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_1,IMG_1174_output,ST VITH,UNIDENTIFIED TARGET,4338N,2253E,4490 10,15.0,7.0,4.0,,15.0,460G,1.0,,8.0,N,,10.0,3.0,3.0,4.0,91.0,,,,,,,3.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_1,IMG_1171_output,ST VITH,VAL BENOIT,5119N,31.05,3891 10,18.0,8.0,4.0,1800.0,8.0,305AG,12.0,243.0,1.0,N,1.0,66.0,4.0,33.0,4.0,1.0,,,,,,,33.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_1,IMG_1171_output,ST VITH,VAL BENOIT,5119N,31.05,3891 10,18.0,8.0,4.0,1800.0,8.0,305BG,11.0,264.0,1.0,N,1.0,66.0,4.0,33.0,4.0,1.0,,,,,,,33.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_1,IMG_1171_output,ST VITH,VAL BENOIT,5119N,31.05,3891 10,18.0,8.0,4.0,1819.0,8.0,303CG,12.0,268.0,1.0,N,4.0,140.0,3.0,35.0,4.0,3.0,,,,,,,35.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_1,IMG_1170_output,ST VITH,UNIDENTIFIED TARGET,,,3870,18.0,8.0,4.0,,8.0,384BG,1.0,,,N,3.0,6.0,4.0,3.0,4.0,1.0,,,,,,,3.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_1,IMG_1171_output,ST VITH,VAL BENOIT,5119N,31.05,3891 10,20.0,8.0,4.0,800.0,8.0,307G,35.0,256.0,1.0,N,1.0,4.0,4.0,2.2,4.0,1.0,,,,,,,2.2,False
BOX_2,BOOK_6_INDUSTRIAL__PART_1,IMG_1170_output,ST VITH,UNIDENTIFIED TARGET,,,3870,20.0,8.0,4.0,,8.0,384S,1.0,,,N,3.0,6.0,4.0,3.0,6.0,3.0,,,,,,,3.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4970_output,ST VITH,MARSHALLING YARD,517N,608E,1000234,9.0,8.0,4.0,900.0,8.0,487AG,1.0,246.0,1.0,N,3.0,18.0,1.0,1.0,1.0,3.0,7.0,12.0,2.0,,,,3.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4970_output,ST VITH,MARSHALLING YARD,517N,608E,1000234,9.0,8.0,4.0,1045.0,8.0,487BG,11.0,246.0,1.0,N,3.0,179.0,1.0,8.95,1.0,3.0,70.0,6.0,17.5,,,,26.45,False
BOX_2,BOOK_6_INDUSTRIAL__PART_1,IMG_1167_output,ST VITH,UNIDENTIFIED TARGET,517N,608E,3780 10,1.0,12.0,4.0,1030.0,8.0,402G,12.0,237.0,1.0,N,3.0,250.0,2.0,26.0,4.0,5.0,23.0,12.0,7.0,,,,33.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7305_output,ST VITH,Anti Aircraft,,,,26.0,12.0,4.0,200.0,R,,278.0,,,,,105.0,6.0,210.0,,,,,,,,,210.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7305_output,ST VITH,Anti Aircraft,,,,26.0,12.0,4.0,400.0,R,,278.0,,,,,716.0,4.0,398.0,,,,,,,,,398.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7305_output,ST VITH,Anti Aircraft,,,,26.0,12.0,4.0,1430.0,R,,278.0,,,,,486.0,2.0,60.75,,,,,,,,,60.75,False
BOX_7,BOOK_15_TACTICAL,IMG_7305_output,ST VITH,Anti Aircraft,,,,26.0,12.0,4.0,1430.0,R,,278.0,,,,,16.0,7.0,4.0,,,999.0,7.0,41.958,,,,45.958,False
BOX_7,BOOK_15_TACTICAL,IMG_7305_output,ST VITH,Anti Aircraft,,,,26.0,12.0,4.0,1430.0,R,,278.0,,,,,101.0,5.0,101.0,,,,,,,,,101.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7305_output,ST VITH,Anti Aircraft,,,,26.0,12.0,4.0,1430.0,R,,278.0,,,,,184.0,4.0,92.0,,,,,,,,,92.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7305_output,ST VITH,Anti Aircraft,,,,26.0,12.0,4.0,1430.0,R,,278.0,,,,,600.0,5.0,600.0,,,,,,,,,600.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7305_output,ST VITH,Anti Aircraft,,,,26.0,12.0,4.0,1730.0,R,,278.0,,,,,183.0,4.0,101.0,,,,,,,,,101.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_1,IMG_1167_output,ST VITH,UNIDENTIFIED TARGET,517N,608E,3780 10,27.0,12.0,4.0,600.0,8.0,379G,1.0,237.0,1.0,N,3.0,18.0,2.0,2.0,4.0,3.0,2.0,6.0,0.5,,,,2.5,False
BOX_2,BOOK_6_INDUSTRIAL__PART_1,IMG_1167_output,ST VITH,UNIDENTIFIED TARGET,517N,608E,3780 10,28.0,12.0,4.0,1201.0,8.0,401CG,12.0,237.0,1.0,N,3.0,193.0,2.0,24.0,4.0,4.0,22.0,12.0,6.0,,,,30.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4969_output,ST VITH,RAILWAY,517N,608E,3780 600,1.0,1.0,5.0,1058.0,8.0,306AG,1.0,235.0,5.0,N,1.0,12.0,3.0,3.0,4.0,3.0,,,,,,,3.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4969_output,ST VITH,RAILWAY,517N,608E,3780 600,1.0,1.0,5.0,1058.0,8.0,379AG,1.0,236.0,5.0,N,1.0,50.0,2.0,6.0,4.0,3.0,,,,,,,6.0,False
