box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4328_output,Sterkrade,Sterkrade Airdrome,5131N,648E,48299 780,25-26,7.0,0.0,,R,,1.0,,,,,2.0,2.0,0.25,,,,,,,,,0.25,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6560_output,Sterkrade,Railway Junction,5131N,648E,48299 630,09-10,1.0,1.0,1310.0,R,,1.0,200.0,,,,2.0,4.0,1.0,,,,,,,,,1.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6560_output,Sterkrade,Railway Junction,5131N,648E,48299 630,09-10,1.0,1.0,1310.0,R,,1.0,200.0,,,,2.0,4.0,1.0,,,,,,,,,1.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6560_output,Sterkrade,Railway Junction,5131N,648E,48299 630,09-10,1.0,1.0,1310.0,R,,1.0,200.0,,,,1.0,2.0,0.15,,,60.0,3.0,0.18,,,,0.3299999999999999,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6560_output,Sterkrade,Railway Junction,5131N,648E,48299 630,9,1.0,1.0,1310.0,R,,1.0,200.0,,,,6.0,3.0,2.0,,,,,,,,,2.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6560_output,Sterkrade,Railway Junction,5131N,648E,48299 630,3,3.0,1.0,1310.0,R,,1.0,200.0,,,,13.0,2.0,2.0,,,60.0,2.0,0.12,,,,2.12,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6560_output,Sterkrade,Railway Junction,5131N,648E,48299 630,19-20,5.0,1.0,1310.0,R,,1.0,200.0,,,,4.0,3.0,1.0,,,,,,,,,1.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6560_output,Sterkrade,Railway Junction,5131N,648E,48299 630,12,3.0,5.0,1310.0,R,,170.0,200.0,,,,5.0,6.0,10.0,,,,,,,,,10.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6560_output,Sterkrade,Railway Junction,5131N,648E,48299 630,12,3.0,5.0,1310.0,R,,171.0,200.0,,,,20.0,4.0,10.0,,,,,,,,,10.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6560_output,Sterkrade,Railway Junction,5131N,648E,48299 630,13,3.0,5.0,1310.0,R,,172.0,200.0,,,,2540.0,3.0,635.0,,,,,,,,,635.0,False
