box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4331_output,STRAUSBERG,AIRDROME,5234N,1353E,48306 780,25-26,2.0,0.0,1200.0,R,305S,1.0,235.0,7.0,G,1.0,1.0,4.0,0.55,4.0,2.0,360.0,2.0,0.72,,,,1.27,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4331_output,STRAUSBERG,AIRDROME,5234N,1353E,48306 780,25,12.0,0.0,1530.0,R,306S,1.0,235.0,7.0,G,1.0,1.0,5.0,1.0,4.0,2.0,640.0,2.0,1.0,,,,2.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4331_output,STRAUSBERG,AIRDROME,5234N,1353E,48306 780,07-08,11.0,1.0,600.0,R,307S,1.0,235.0,7.0,G,1.0,2.0,3.0,0.6,4.0,2.0,640.0,37.0,16.0,,,,16.6,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4331_output,STRAUSBERG,AIRDROME,5234N,1353E,48306 780,07-08,11.0,1.0,1200.0,R,308S,1.0,235.0,7.0,G,1.0,6.666666666666667,2.0,1.0,4.0,2.0,,,,,,,1.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4331_output,STRAUSBERG,AIRDROME,5234N,1353E,48306 780,04-05,5.0,2.0,900.0,R,309S,1.0,235.0,7.0,G,1.0,,,,,,800.0,2.0,2.0,,,,2.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4331_output,STRAUSBERG,AIRDROME,5234N,1353E,48306 780,17-18,5.0,3.0,1830.0,R,311S,1.0,235.0,7.0,G,1.0,4.0,3.0,1.0,4.0,2.0,,,,,,,1.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4331_output,STRAUSBERG,AIRDROME,5234N,1353E,48306 780,06,9.0,3.0,1016.0,8,92S,20.0,240.0,7.0,G,2.0,,,,,,640.0,7.0,26.88,200.0,7.0,12.0,38.88,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4331_output,STRAUSBERG,AIRDROME,5234N,1353E,48306 780,06,9.0,3.0,1020.0,8,390S,20.0,230.0,7.0,C,3.0,100.0,4.0,50.0,4.0,2.0,640.0,7.0,26.88,200.0,7.0,12.0,88.88,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4331_output,STRAUSBERG,AIRDROME,5234N,1353E,48306 780,28,7.0,4.0,1530.0,R,391S,1.0,235.0,7.0,C,4.0,1.0,6.0,2.0,4.0,2.0,,,,,,,2.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4331_output,STRAUSBERG,AIRDROME,5234N,1353E,48306 780,28-29,7.0,4.0,1730.0,R,392S,1.0,235.0,7.0,C,3.0,10.0,3.0,3.0,4.0,2.0,,,,,,,3.0,False
