box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3388_output,STUTTGART,DAIMLER,4847N,915,223-A553,24,8.0,0.0,,R,05G,9.0,,,,,,,,,,540.0,2.0,1.0,,,,1.0,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3388_output,STUTTGART,DAIMLER,4847N,915,223-A553,24-25,8.0,0.0,,R,01G,9.0,,,,,18.0,3.0,5.0,,,540.0,2.0,1.08,,,,6.08,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3388_output,STUTTGART,DAIMLER,4847N,915,223-A553,24-25,8.0,0.0,,R,02G,9.0,,,,,45.0,3.0,17.0,,,540.0,2.0,1.0,,,,18.0,False
BOX_6,BOOK_12_MANUFACTURING,IMG_7012_output,STUTTGART,BOSCH MAGNETO WORKS,4847N,910E,46309 330,01-02,9.0,0.0,,R,,3.0,,,,,4.0,3.0,1.0,,,120.0,2.0,0.24,,,,1.24,False
BOX_6,BOOK_12_MANUFACTURING,IMG_7012_output,STUTTGART,BOSCH MAGNETO WORKS,4847N,910E,46309 330,01-02,9.0,0.0,,R,,3.0,,,,,8.0,2.0,1.0,,,,,,,,,1.0,False
BOX_6,BOOK_12_MANUFACTURING,IMG_7012_output,STUTTGART,BOSCH MAGNETO WORKS,4847N,910E,46309 330,02-03,9.0,0.0,,R,,3.0,,,,,8.0,3.0,2.0,,,120.0,2.0,0.24,,,,2.24,False
BOX_6,BOOK_12_MANUFACTURING,IMG_7012_output,STUTTGART,BOSCH MAGNETO WORKS,4847N,910E,46309 330,29-30,9.0,0.0,,R,,2.0,,,,,20.0,3.0,5.0,,,180.0,2.0,0.36,,,,5.36,False
BOX_6,BOOK_12_MANUFACTURING,IMG_7012_output,STUTTGART,BOSCH MAGNETO WORKS,4847N,910E,46309 330,29-30,9.0,0.0,,R,,8.0,,,,,20.0,2.0,3.0,,,,,,,,,3.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6565_output,STUTTGART,MARSHALLING YARD,4847N,911E,48309 630,08-09,11.0,0.0,1400.0,R,303G,1.0,240.0,1.0,N,1.0,4.0,3.0,1.0,4.0,3.0,120.0,2.0,0.24,,,,1.24,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6565_output,STUTTGART,MARSHALLING YARD,4847N,911E,48309 630,08-09,11.0,0.0,1434.0,R,303SG,1.0,240.0,1.0,N,1.0,1.0,2.0,0.15,4.0,3.0,,,,,,,0.15,False
