box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_2,BOOK_6_INDUSTRIAL__PART_1,IMG_1324_output,SUBOTICA,Total Cement Plant,4606N,1940E,2014840,2.0,6.0,4.0,,15.0,461G,1.0,,7.0,N,3.0,10.0,3.0,3.0,4.0,2.0,,,,,,,3.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_1,IMG_1324_output,SUBOTICA,Total Cement Plant,4606N,1940E,2014840,3.0,6.0,4.0,,15.0,463G,1.0,,9.0,N,3.0,10.0,3.0,3.0,4.0,2.0,,,,,,,3.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_5235_output,SUBOTICA,MARSHALLING YARDS,4606N,1940E,14840 630,28.0,8.0,4.0,800.0,15.0,451G,1.0,220.0,7.0,N,2.0,5.0,4.0,3.0,4.0,1.0,,,,,,,3.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_5235_output,SUBOTICA,MARSHALLING YARDS,4606N,1940E,14840 630,29.0,8.0,4.0,1430.0,15.0,461G,5.0,220.0,7.0,N,2.0,40.0,3.0,10.0,4.0,2.0,,,,,,,10.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_5235_output,SUBOTICA,MARSHALLING YARDS,4606N,1940E,14840 630,29.0,8.0,4.0,1430.0,15.0,462G,1.0,220.0,7.0,N,2.0,5.0,4.0,3.0,4.0,1.0,,,,,,,3.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_5235_output,SUBOTICA,MARSHALLING YARDS,4606N,1940E,14840 630,1.0,9.0,4.0,800.0,15.0,459G,1.0,220.0,7.0,N,2.0,6.0,4.0,3.0,4.0,1.0,,,,,,,3.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_5235_output,SUBOTICA,MARSHALLING YARDS,4606N,1940E,14840 630,18.0,9.0,4.0,1100.0,15.0,463G,27.0,210.0,7.0,G,1.0,324.0,3.0,81.0,4.0,2.0,,,,,,,81.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_5235_output,SUBOTICA,MARSHALLING YARDS,4606N,1940E,14840 630,18.0,9.0,4.0,1127.0,15.0,462G,27.0,224.0,7.0,G,1.0,324.0,3.0,81.0,4.0,2.0,,,,,,,81.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_5235_output,SUBOTICA,MARSHALLING YARDS,4606N,1940E,14840 630,21.0,9.0,4.0,1030.0,15.0,465G,1.0,220.0,7.0,N,1.0,8.0,3.0,2.0,4.0,3.0,,,,,,,2.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_5235_output,SUBOTICA,MARSHALLING YARDS,4606N,1940E,14840 630,5.0,9.0,4.0,1600.0,15.0,460G,1.0,220.0,7.0,N,2.0,3.0,4.0,2.0,4.0,1.0,,,,,,,2.0,False
