box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_7,BOOK_17_NAVAL,IMG_8111_output,SWI NEMUNDE,PORT AREA,5354N,1416E,48313 710,12.0,3.0,5.0,1205.0,8.0,446G,12.0,200.0,4.0,N,2.0,139.0,4.0,70.0,4.0,3.0,,,,,,,70.0,False
BOX_7,BOOK_17_NAVAL,IMG_8111_output,SWI NEMUNDE,PORT AREA,5354N,1416E,48313 710,12.0,3.0,5.0,1206.0,8.0,448G,12.0,200.0,4.0,N,2.0,146.0,4.0,73.0,4.0,3.0,2.0,5.0,0.1,,,,73.1,False
BOX_7,BOOK_17_NAVAL,IMG_8111_output,SWI NEMUNDE,PORT AREA,5354N,1416E,48313 710,12.0,3.0,5.0,1206.0,8.0,452G,38.0,223.0,4.0,N,2.0,187.0,4.0,94.0,4.0,3.0,,,,,,,94.0,False
BOX_7,BOOK_17_NAVAL,IMG_8111_output,SWI NEMUNDE,PORT AREA,5354N,1416E,48313 710,12.0,3.0,5.0,1208.0,8.0,93G,33.0,202.0,4.0,N,2.0,153.0,4.0,77.0,4.0,3.0,,,,,,,77.0,False
BOX_7,BOOK_17_NAVAL,IMG_8111_output,SWI NEMUNDE,PORT AREA,5354N,1416E,48313 710,12.0,3.0,5.0,1210.0,8.0,389G,12.0,203.0,4.0,N,2.0,138.0,4.0,69.0,4.0,3.0,,,,,,,69.0,False
BOX_7,BOOK_17_NAVAL,IMG_8111_output,SWI NEMUNDE,PORT AREA,5354N,1416E,48313 710,12.0,3.0,5.0,1213.0,8.0,467G,12.0,200.0,4.0,N,2.0,169.0,4.0,85.0,1.0,3.0,,,,,,,85.0,False
BOX_7,BOOK_17_NAVAL,IMG_8111_output,SWI NEMUNDE,PORT AREA,5354N,1416E,48313 710,12.0,3.0,5.0,1214.0,8.0,390G,12.0,207.0,4.0,N,2.0,144.0,4.0,72.0,4.0,3.0,12.0,5.0,0.6,,,,72.6,False
BOX_7,BOOK_17_NAVAL,IMG_8111_output,SWI NEMUNDE,PORT AREA,5354N,1416E,48313 710,12.0,3.0,5.0,1215.0,8.0,401AG,12.0,220.0,4.0,N,2.0,60.0,4.0,30.0,4.0,3.0,,,,,,,30.0,False
BOX_7,BOOK_17_NAVAL,IMG_8111_output,SWI NEMUNDE,PORT AREA,5354N,1416E,48313 710,12.0,3.0,5.0,1227.0,8.0,486G,38.0,220.0,4.0,N,2.0,190.0,4.0,95.0,4.0,3.0,,,,,,,95.0,False
BOX_7,BOOK_17_NAVAL,IMG_8111_output,SWI NEMUNDE,PORT AREA,5354N,1416E,48313 710,12.0,3.0,5.0,1230.0,8.0,401BG,12.0,211.0,4.0,N,2.0,60.0,4.0,30.0,4.0,3.0,,,,,,,30.0,False
BOX_7,BOOK_17_NAVAL,IMG_8111_output,SWI NEMUNDE,PORT AREA,5354N,1416E,48313 710,12.0,3.0,5.0,1231.0,8.0,34S,36.0,220.0,4.0,N,2.0,179.0,4.0,90.0,4.0,3.0,,,,,,,90.0,False
BOX_7,BOOK_17_NAVAL,IMG_8111_output,SWI NEMUNDE,PORT AREA,5354N,1416E,48313 710,12.0,3.0,5.0,1231.0,8.0,92AG,12.0,222.0,4.0,N,2.0,60.0,4.0,30.0,4.0,3.0,,,,,,,30.0,False
BOX_7,BOOK_17_NAVAL,IMG_8111_output,SWI NEMUNDE,PORT AREA,5354N,1416E,48313 710,12.0,3.0,5.0,1231.0,8.0,92BG,12.0,215.0,4.0,N,2.0,60.0,4.0,30.0,4.0,3.0,,,,,,,30.0,False
BOX_7,BOOK_17_NAVAL,IMG_8111_output,SWI NEMUNDE,PORT AREA,5354N,1416E,48313 710,12.0,3.0,5.0,1231.0,8.0,92CG,12.0,227.0,4.0,N,2.0,60.0,4.0,30.0,4.0,3.0,,,,,,,30.0,False
BOX_7,BOOK_17_NAVAL,IMG_8111_output,SWI NEMUNDE,PORT AREA,5354N,1416E,48313 710,12.0,3.0,5.0,1231.0,8.0,95G,36.0,220.0,4.0,N,2.0,167.0,4.0,84.0,4.0,3.0,,,,,,,84.0,False
BOX_7,BOOK_17_NAVAL,IMG_8111_output,SWI NEMUNDE,PORT AREA,5354N,1416E,48313 710,12.0,3.0,5.0,1231.0,8.0,100G,36.0,217.0,4.0,N,2.0,177.0,4.0,89.0,4.0,3.0,,,,,,,89.0,False
BOX_7,BOOK_17_NAVAL,IMG_8111_output,SWI NEMUNDE,PORT AREA,5354N,1416E,48313 710,12.0,3.0,5.0,1231.0,8.0,305AG,12.0,235.0,4.0,N,2.0,60.0,4.0,30.0,4.0,3.0,,,,,,,30.0,False
BOX_7,BOOK_17_NAVAL,IMG_8111_output,SWI NEMUNDE,PORT AREA,5354N,1416E,48313 710,12.0,3.0,5.0,1231.0,8.0,305BG,12.0,232.0,4.0,N,2.0,60.0,4.0,30.0,4.0,3.0,,,,,,,30.0,False
BOX_7,BOOK_17_NAVAL,IMG_8111_output,SWI NEMUNDE,PORT AREA,5354N,1416E,48313 710,12.0,3.0,5.0,1233.0,8.0,385G,12.0,220.0,4.0,N,2.0,190.0,4.0,95.0,4.0,3.0,,,,,,,95.0,False
BOX_7,BOOK_17_NAVAL,IMG_8111_output,SWI NEMUNDE,PORT AREA,5354N,1416E,48313 710,12.0,3.0,5.0,1240.0,8.0,351BG,12.0,210.0,4.0,N,2.0,60.0,4.0,30.0,4.0,3.0,,,,,,,30.0,False
BOX_7,BOOK_17_NAVAL,IMG_8111_output,SWI NEMUNDE,PORT AREA,5354N,1416E,48313 710,12.0,3.0,5.0,1241.0,8.0,351CG,13.0,226.0,4.0,N,2.0,65.0,4.0,33.0,4.0,3.0,,,,,,,33.0,False
BOX_7,BOOK_17_NAVAL,IMG_8111_output,SWI NEMUNDE,PORT AREA,5354N,1416E,48313 710,12.0,3.0,5.0,1241.0,8.0,457AG,12.0,235.0,4.0,N,2.0,60.0,4.0,30.0,4.0,3.0,,,,,,,30.0,False
BOX_7,BOOK_17_NAVAL,IMG_8111_output,SWI NEMUNDE,PORT AREA,5354N,1416E,48313 710,12.0,3.0,5.0,1241.0,8.0,457BG,11.0,230.0,4.0,N,2.0,55.0,4.0,28.0,4.0,3.0,,,,,,,28.0,False
BOX_7,BOOK_17_NAVAL,IMG_8111_output,SWI NEMUNDE,PORT AREA,5354N,1416E,48313 710,12.0,3.0,5.0,1241.0,8.0,457CG,12.0,241.0,4.0,N,2.0,60.0,4.0,30.0,4.0,3.0,,,,,,,30.0,False
BOX_7,BOOK_17_NAVAL,IMG_8111_output,SWI NEMUNDE,PORT AREA,5354N,1416E,48313 710,12.0,3.0,5.0,1241.0,8.0,467G,20.0,225.0,4.0,N,2.0,2.0,4.0,1.0,1.0,3.0,,,,,,,1.0,False
BOX_7,BOOK_17_NAVAL,IMG_8111_output,SWI NEMUNDE,PORT AREA,5354N,1416E,48313 710,12.0,3.0,5.0,1246.0,8.0,401G,12.0,230.0,4.0,N,2.0,60.0,4.0,30.0,4.0,3.0,,,,,,,30.0,False
BOX_7,BOOK_17_NAVAL,IMG_8111_output,SWI NEMUNDE,PORT AREA,5354N,1416E,48313 710,12.0,3.0,5.0,1250.0,8.0,305CG,12.0,242.0,4.0,N,2.0,60.0,4.0,30.0,4.0,3.0,,,,,,,30.0,False
BOX_7,BOOK_17_NAVAL,IMG_8111_output,SWI NEMUNDE,PORT AREA,5354N,1416E,48313 710,12.0,3.0,5.0,1258.0,8.0,306AG,12.0,240.0,4.0,N,2.0,60.0,4.0,30.0,4.0,3.0,,,,,,,30.0,False
BOX_7,BOOK_17_NAVAL,IMG_8111_output,SWI NEMUNDE,PORT AREA,5354N,1416E,48313 710,12.0,3.0,5.0,1259.0,8.0,306CG,12.0,245.0,4.0,N,2.0,59.0,4.0,30.0,4.0,3.0,,,,,,,30.0,False
BOX_7,BOOK_17_NAVAL,IMG_8111_output,SWI NEMUNDE,PORT AREA,5354N,1416E,48313 710,12.0,3.0,5.0,1300.0,8.0,351G,12.0,220.0,4.0,N,2.0,60.0,4.0,30.0,4.0,3.0,,,,,,,30.0,False
BOX_7,BOOK_17_NAVAL,IMG_8111_output,SWI NEMUNDE,PORT AREA,5354N,1416E,48313 710,12.0,3.0,5.0,1305.0,8.0,306BG,12.0,228.0,4.0,N,2.0,60.0,4.0,30.0,4.0,3.0,,,,,,,30.0,False
BOX_7,BOOK_17_NAVAL,IMG_8112_output,SWI NEMUNDE,WARSHIPS,5354N,1416E,48313 730,16.0,4.0,5.0,1200.0,R,,1.0,135.0,,,,1.0,22.0,6.0,,,,,,,,,6.0,False
BOX_7,BOOK_17_NAVAL,IMG_8112_output,SWI NEMUNDE,WARSHIPS,5354N,1416E,48313 730,16.0,4.0,5.0,1720.0,R,,15.0,135.0,,,,11.0,22.0,66.0,,,,,,,,,66.0,False
BOX_7,BOOK_17_NAVAL,IMG_8112_output,SWI NEMUNDE,WARSHIPS,5354N,1416E,48313 730,16.0,4.0,5.0,1720.0,R,,16.0,135.0,,,,48.0,4.0,24.0,,,,,,,,,24.0,False
