box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_2,BOOK_6_INDUSTRIAL__PART_1,IMG_1278_output,Szombathely,Unidentified Target,4644 N,1802E,12843,26.0,6.0,4.0,,15.0,451G,1.0,,7.0,N,3.0,10.0,3.0,3.0,4.0,91.0,,,,,,,3.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_1,IMG_1278_output,Szombathely,Unidentified Target,4644 N,1802E,12843,28.0,6.0,4.0,,15.0,451A,1.0,,7.0,N,3.0,10.0,3.0,3.0,4.0,91.0,,,,,,,3.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3797_output,Szombathely,Airdrome,4714N,1637E,12835 780,26.0,7.0,4.0,400.0,15.0,485G,20.0,,7.0,G,2.0,200.0,3.0,50.0,4.0,91.0,,,,,,,50.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3797_output,Szombathely,Airdrome,4714N,1637E,12835 780,27.0,8.0,4.0,930.0,15.0,487G,20.0,,7.0,G,3.0,10.0,3.0,3.0,4.0,3.0,,,,,,,3.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_5112_output,Szombathely,Hereny Marshalling Yards,4714N,1637E,12835 630,16.0,10.0,4.0,1200.0,15.0,463G,19.0,207.0,7.0,N,3.0,6.0,4.0,3.0,4.0,3.0,,,,,,,3.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_5112_output,Szombathely,Hereny Marshalling Yards,4714N,1637E,12835 630,17.0,10.0,4.0,1430.0,15.0,465G,5.0,209.0,7.0,N,3.0,6.0,3.0,1.8,4.0,2.0,,,,,,,1.8,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_5112_output,Szombathely,Hereny Marshalling Yards,4714N,1637E,12835 630,17.0,10.0,4.0,1600.0,15.0,464G,19.0,208.0,7.0,N,3.0,6.0,4.0,3.0,4.0,3.0,,,,,,,3.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_5112_output,Szombathely,Hereny Marshalling Yards,4714N,1637E,12835 630,21.0,10.0,4.0,1058.0,15.0,467G,25.0,210.0,1.0,G,1.0,246.0,3.0,62.0,4.0,2.0,,,,,,,62.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_5112_output,Szombathely,Hereny Marshalling Yards,4714N,1637E,12835 630,21.0,10.0,4.0,1100.0,15.0,468G,27.0,210.0,7.0,G,1.0,254.0,3.0,64.0,4.0,2.0,,,,,,,64.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_5112_output,Szombathely,Hereny Marshalling Yards,4714N,1637E,12835 630,21.0,10.0,4.0,1430.0,15.0,459G,3.0,210.0,7.0,N,3.0,30.0,3.0,8.0,4.0,2.0,,,,,,,8.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_5112_output,Szombathely,Hereny Marshalling Yards,4714N,1637E,12835 630,7.0,10.0,4.0,600.0,15.0,461G,19.0,200.0,7.0,N,3.0,132.0,3.0,33.0,4.0,3.0,,,,,,,33.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_1,IMG_1277_output,Szombathely,Unidentified Target,4714N,1637E,12835,11.0,11.0,4.0,,15.0,483G,1.0,,7.0,N,3.0,13.333333333333334,2.0,2.0,4.0,92.0,,,,,,,2.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_1,IMG_1277_output,Szombathely,Unidentified Target,4714N,1637E,12835,11.0,11.0,4.0,,15.0,97G,1.0,,7.0,N,3.0,10.0,3.0,3.0,4.0,2.0,,,,,,,3.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_1,IMG_1277_output,Szombathely,Unidentified Target,4714N,1637E,12835,11.0,11.0,4.0,,15.0,100G,1.0,,7.0,N,3.0,7.0,6.0,14.0,4.0,1.0,,,,,,,14.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_1,IMG_1277_output,Szombathely,Unidentified Target,4714N,1637E,12835,20.0,11.0,4.0,,15.0,483G,1.0,,7.0,N,3.0,14.0,2.0,2.0,4.0,91.0,,,,,,,2.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_5112_output,Szombathely,Hereny Marshalling Yards,4714N,1637E,12835 630,18.0,12.0,4.0,600.0,15.0,451G,1.0,219.0,3.0,N,3.0,4.0,3.0,1.0,4.0,91.0,,,,,,,1.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_5112_output,Szombathely,Hereny Marshalling Yards,4714N,1637E,12835 630,18.0,12.0,4.0,1139.0,15.0,470G,7.0,216.0,1.0,G,1.0,52.0,3.0,13.0,4.0,1.0,,,,,,,13.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_5112_output,Szombathely,Hereny Marshalling Yards,4714N,1637E,12835 630,20.0,3.0,5.0,1306.0,15.0,465G,25.0,221.0,1.0,P,1.0,200.0,3.0,50.0,4.0,2.0,,,,,,,50.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_5112_output,Szombathely,Hereny Marshalling Yards,4714N,1637E,12835 630,26.0,3.0,5.0,226.0,15.0,459G,25.0,224.0,1.0,P,1.0,172.0,3.0,51.6,4.0,2.0,,,,,,,51.6,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_5112_output,Szombathely,Hereny Marshalling Yards,4714N,1637E,12835 630,26.0,3.0,5.0,1206.0,15.0,454G,25.0,223.0,1.0,P,1.0,250.0,3.0,63.0,4.0,2.0,,,,,,,63.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_5113_output,Szombathely,Hereny Marshalling Yards,4714N,1637E,12835 631,26.0,3.0,5.0,1237.0,15.0,456G,25.0,195.0,1.0,P,1.0,230.0,3.0,58.0,4.0,2.0,,,,,,,58.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_5112_output,Szombathely,Hereny Marshalling Yards,4714N,1637E,12835 630,26.0,3.0,5.0,1242.0,15.0,485G,25.0,225.0,1.0,P,2.0,150.0,2.0,18.75,4.0,3.0,,,,,,,18.75,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_5114_output,Szombathely,Hereny Marshalling Yards,4714N,1637E,12835 632,4.0,3.0,5.0,1242.0,15.0,465G,50.0,235.0,1.0,P,1.0,208.0,3.0,52.0,4.0,2.0,,,,,,,52.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_5114_output,Szombathely,Hereny Marshalling Yards,4714N,1637E,12835 632,4.0,3.0,5.0,1324.0,15.0,460G,27.0,220.0,1.0,P,1.0,212.0,3.0,53.0,4.0,2.0,,,,,,,53.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_5114_output,Szombathely,Hereny Marshalling Yards,4714N,1637E,12835 632,4.0,3.0,5.0,1330.0,15.0,464G,40.0,217.0,1.0,P,1.0,250.0,3.0,75.0,4.0,2.0,,,,,,,75.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_5114_output,Szombathely,Hereny Marshalling Yards,4714N,1637E,12835 632,4.0,3.0,5.0,1434.0,15.0,470G,96.0,218.0,1.0,P,1.0,350.0,3.0,87.5,4.0,2.0,,,,,,,87.5,False
