box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_7,BOOK_15_TACTICAL,IMG_7510_output,Toulon,Gun Positions,4307N,556E,44416 820,12.0,8.0,1.0,200.0,15.0,459G,17.0,199.0,7.0,N,1.0,170.0,3.0,51.0,4.0,3.0,,,,,,,51.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7510_output,Toulon,Gun Positions,4307N,556E,44416 820,12.0,8.0,1.0,1102.0,15.0,459G,10.0,200.0,7.0,G,1.0,96.0,3.0,24.0,4.0,3.0,,,,,,,24.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7510_output,Toulon,Gun Positions,4307N,556E,44416 820,13.0,8.0,1.0,900.0,15.0,449G,7.0,195.0,7.0,N,1.0,68.0,3.0,17.0,4.0,3.0,,,,,,,17.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7510_output,Toulon,Gun Positions,4307N,556E,44416 820,13.0,8.0,1.0,1328.0,15.0,449G,7.0,194.0,7.0,G,1.0,67.0,3.0,17.0,4.0,3.0,,,,,,,17.0,False
BOX_7,BOOK_17_NAVAL,IMG_8054_output,Toulon,Harbor Target Install,4307N,556E,44416 712,11.0,3.0,4.0,1155.0,15.0,376G,30.0,198.0,1.0,G,1.0,297.0,3.0,74.0,4.0,3.0,,,,,,,74.0,False
BOX_1,BOOK_3_EXPLOSIVES,IMG_0823_output,Toulon,Milhaud,4307N,556E,44416,01-03,4.0,4.0,600.0,8,314G,28.0,215.0,7,C,1.0,175.0,4.0,87.5,4.0,2.0,,,,,,,87.5,False
BOX_1,BOOK_3_EXPLOSIVES,IMG_0823_output,Toulon,Milhaud,4307N,556E,44416,02,4.0,4.0,1530.0,8,315G,28.0,215.0,7,C,1.0,176.0,4.0,96.8,4.0,2.0,,,,,,,96.8,False
BOX_1,BOOK_3_EXPLOSIVES,IMG_0823_output,Toulon,Milhaud,4307N,556E,44416,1,4.0,4.0,1210.0,8,313G,29.0,215.0,7,G,1.0,174.0,4.0,87.0,4.0,2.0,,,,,,,87.0,False
BOX_1,BOOK_3_EXPLOSIVES,IMG_0823_output,Toulon,Milhaud,4307N,556E,44416,16,4.0,4.0,600.0,8,330G,28.0,215.0,7,C,1.0,177.0,4.0,97.35,4.0,2.0,,,,,,,97.35,False
BOX_1,BOOK_3_EXPLOSIVES,IMG_0823_output,Toulon,Milhaud,4307N,556E,44416,29,4.0,4.0,1227.0,8,311G,26.0,230.0,7,C,1.0,150.0,4.0,75.0,4.0,2.0,,,,,,,75.0,False
