box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4068_output,Toulouse,Airdrome,4336N,126E,44420 780,05-06,4.0,4.0,1.0,R,305A,10.0,90.0,1.0,N,1.0,,,,,,100.0,12.0,25.6,,,,25.6,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4068_output,Toulouse,Airdrome,4336N,126E,44420 780,05-06,4.0,4.0,100.0,R,305G,11.0,90.0,1.0,N,1.0,11.0,6.0,22.0,4.0,3.0,276.0,31.0,4.0,,,,26.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4070_output,Toulouse,Blagnac A D,4336N,126E,44420 782,25.0,6.0,4.0,908.0,8.0,91G,37.0,252.0,1.0,N,1.0,999.0,1.0,65.0,1.0,91.0,,,,,,,65.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4069_output,Toulouse,Francazal A D,4336N,126E,44420 781,25.0,6.0,4.0,938.0,8.0,303G,13.0,259.0,1.0,N,1.0,,,,,,521.0,5.0,26.05,,,,26.05,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4069_output,Toulouse,Francazal A D,4336N,126E,44420 781,25.0,6.0,4.0,942.0,8.0,351G,35.0,251.0,1.0,N,1.0,412.0,2.0,52.0,4.0,2.0,496.0,7.0,17.0,,,,69.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4069_output,Toulouse,Francazal A D,4336N,126E,44420 781,25.0,6.0,4.0,951.0,8.0,379G,21.0,252.0,1.0,N,1.0,206.0,3.0,52.0,4.0,2.0,,,,,,,52.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4070_output,Toulouse,Blagnac A D,4336N,126E,44420 782,26.0,6.0,4.0,910.0,8.0,398G,35.0,252.0,1.0,N,1.0,625.0,2.0,78.0,4.0,3.0,,,,,,,78.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4069_output,Toulouse,Francazal A D,4336N,126E,44420 781,26.0,6.0,4.0,923.0,8.0,381G,33.0,254.0,1.0,N,1.0,375.0,2.0,56.25,4.0,2.0,477.0,7.0,16.0,,,,72.25,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4070_output,Toulouse,Blagnac A D,4336N,126E,44420 782,26.0,6.0,4.0,1200.0,8.0,379G,1.0,252.0,1.0,N,3.0,10.0,3.0,3.0,4.0,2.0,,,,,,,3.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4068_output,Toulouse,Airdrome,4336N,126E,44420 780,12,8.0,4.0,1147.0,8,95G,10.0,222.0,1.0,N,1.0,100.0,3.0,25.0,4.0,3.0,,,,,,,25.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4068_output,Toulouse,Airdrome,4336N,126E,44420 780,12,8.0,4.0,1150.0,8,95G,9.0,223.0,1.0,N,1.0,90.0,3.0,23.0,4.0,3.0,,,,,,,23.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4068_output,Toulouse,Airdrome,4336N,126E,44420 780,12,8.0,4.0,1150.0,8,390G,10.0,220.0,1.0,N,1.0,100.0,3.0,25.0,4.0,3.0,,,,,,,25.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4068_output,Toulouse,Airdrome,4336N,126E,44420 780,12,8.0,4.0,1151.0,8,95G,12.0,211.0,1.0,N,1.0,120.0,3.0,30.0,4.0,3.0,,,,,,,30.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4068_output,Toulouse,Airdrome,4336N,126E,44420 780,12,8.0,4.0,1152.0,8,390G,17.0,214.0,1.0,N,1.0,164.0,3.0,41.0,4.0,3.0,,,,,,,41.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4068_output,Toulouse,Airdrome,4336N,126E,44420 780,12,8.0,4.0,1153.0,8,390G,11.0,227.0,1.0,N,1.0,110.0,3.0,28.0,4.0,3.0,,,,,,,28.0,False
