box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4071_output,TOURS,AIRDROME,4724N,42E,44440 780,17-18,8.0,0.0,1200.0,R,304G,1.0,170.0,7.0,G,1.0,2.0,2.0,0.25,4.0,1.0,60.0,2.0,0.12,,,,0.37,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4071_output,TOURS,AIRDROME,4724N,42E,44440 780,22-23,8.0,0.0,900.0,R,306G,1.0,170.0,7.0,G,1.0,2.0,2.0,0.25,4.0,2.0,,,,,,,0.25,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4071_output,TOURS,AIRDROME,4724N,42E,44440 780,22-23,8.0,0.0,1430.0,R,307G,1.0,170.0,7.0,G,1.0,12.0,13.0,10.0,4.0,2.0,,,,,,,10.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4071_output,TOURS,AIRDROME,4724N,42E,44440 780,06-07,12.0,0.0,1230.0,R,309G,1.0,170.0,7.0,G,1.0,800.0,2.0,100.0,4.0,2.0,60.0,2.0,0.12,,,,100.12,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4071_output,TOURS,AIRDROME,4724N,42E,44440 780,06-07,12.0,0.0,1430.0,R,310G,1.0,170.0,7.0,G,1.0,12.0,2.0,1.5,4.0,2.0,,,,,,,1.5,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5805_output,TOURS,RWY ENGINE SHEDS,4444N,0450E,0001068,14.0,2.0,3.0,,R,,6.0,,,,,2.4,3.0,0.72,,,,,,,,,0.72,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5808_output,TOURS,MARSHALLING YARD,4724N,42E,44440 630,15,2.0,3.0,1200.0,R,,12.0,75.0,,,,48.0,3.0,12.0,,,,,,,,,12.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5808_output,TOURS,MARSHALLING YARD,4724N,42E,44440 630,17,2.0,3.0,1700.0,R,,18.0,75.0,,,,72.0,3.0,18.0,,,,,,,,,18.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5808_output,TOURS,MARSHALLING YARD,4724N,42E,44440 630,10,4.0,3.0,410.0,R,,173.0,85.0,,,,49.0,3.0,12.25,,,867.1875,12.0,222.0,,,,234.25,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5808_output,TOURS,MARSHALLING YARD,4724N,42E,44440 630,10,4.0,3.0,1900.0,R,,2.0,75.0,,,,8.0,3.0,2.0,,,,,,,,,2.0,False
