box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2775_output,TRIER,TOWN AREA,,,93823,1,8.0,1.0,,R,,1.0,,,,,4.0,3.0,1.0,,,500.0,2.0,1.0,,,,2.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2775_output,TRIER,TOWN AREA,,,93823,1,8.0,1.0,,R,,2.0,,,,,1.0,3.0,0.3,,,120.0,2.0,0.24,,,,0.54,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2775_output,TRIER,TOWN AREA,,,93823,2,8.0,1.0,,R,,2.0,,,,,3.0,3.0,0.9,,,500.0,2.0,1.0,,,,1.9,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6574_output,TRIER,R R FACTORY,4945N,637E,48380 450,27-28,8.0,1.0,,R,,1.0,,,,,24.0,2.0,3.0,1.0,,2000.0,1.0,2.0,,,,5.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2775_output,TRIER,TOWN AREA,,,93823,29-30,8.0,1.0,,R,,1.0,,,,,2.0,4.0,1.0,,,,,,,,,1.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2775_output,TRIER,TOWN AREA,,,93823,30,8.0,1.0,,R,,1.0,,,,,2.0,4.0,1.0,,,360.0,2.0,0.72,,,,1.72,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2775_output,TRIER,TOWN AREA,,,93823,6,8.0,1.0,,R,,2.0,,,,,6.0,3.0,1.8,,,,,,,,,1.8,False
BOX_7,BOOK_13_UTILITIES,IMG_7114_output,TRIER,THERMAL POWER STATION,4838N,,,1.0,4.0,3.0,,R,,6.0,,,,,23.0,3.0,6.0,,,,,,,,,6.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6575_output,TRIER,COMMUNICATION CENTER,4946N,639E,48380 600,29.0,12.0,4.0,1200.0,8.0,91BG,1.0,260.0,,N,3.0,18.0,2.0,2.0,4.0,3.0,,,,,,,2.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6575_output,TRIER,COMMUNICATION CENTER,4946N,639E,48380 600,31.0,2.0,5.0,900.0,8.0,93G,1.0,260.0,,N,3.0,18.0,2.0,2.0,4.0,3.0,20.0,6.0,5.0,,,,7.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6575_output,TRIER,COMMUNICATION CENTER,4946N,639E,48380 600,1.0,3.0,5.0,121.0,8.0,94G,1.0,260.0,,N,3.0,18.0,2.0,2.25,4.0,3.0,30.0,9.0,5.0,,,,7.25,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6575_output,TRIER,COMMUNICATION CENTER,4946N,639E,48380 600,2.0,4.0,5.0,1730.0,8.0,95G,1.0,260.0,,N,3.0,18.0,3.0,7.0,4.0,3.0,40.0,33.0,26.0,,,,33.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6575_output,TRIER,COMMUNICATION CENTER,4946N,639E,48380 600,3.0,5.0,5.0,600.0,8.0,96G,1.0,260.0,,N,3.0,,,,,,50.0,12.0,16.0,,,,16.0,False
