box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4074_output,TRIQUEVILLE,AIRDROME,4921N,29E,44470 780,26.0,6.0,3.0,1743.0,8.0,364G,3.0,250.0,7.0,G,1.0,39.0,2.0,5.0,4.0,16.0,,,,,,,5.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4074_output,TRIQUEVILLE,AIRDROME,4921N,29E,44470 780,26.0,6.0,3.0,1743.0,8.0,365G,6.0,250.0,7.0,G,1.0,80.0,2.0,10.0,4.0,3.0,,,,,,,10.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4074_output,TRIQUEVILLE,AIRDROME,4921N,29E,44470 780,26.0,6.0,3.0,1746.0,8.0,366G,5.0,260.0,7.0,G,1.0,80.0,2.0,10.0,4.0,3.0,,,,,,,10.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4074_output,TRIQUEVILLE,AIRDROME,4921N,29E,44470 780,26.0,6.0,3.0,1746.0,8.0,367G,4.0,230.0,7.0,G,1.0,80.0,2.0,8.0,4.0,3.0,,,,,,,8.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4074_output,TRIQUEVILLE,AIRDROME,4921N,29E,44470 780,26.0,6.0,3.0,1746.0,8.0,371G,5.0,240.0,7.0,G,1.0,80.0,2.0,10.0,4.0,3.0,,,,,,,10.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4074_output,TRIQUEVILLE,AIRDROME,4921N,29E,44470 780,26.0,6.0,3.0,1750.0,8.0,368G,4.0,230.0,7.0,G,1.0,79.0,2.0,8.0,4.0,3.0,,,,,,,8.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4074_output,TRIQUEVILLE,AIRDROME,4921N,29E,44470 780,26.0,6.0,3.0,1750.0,8.0,369G,6.0,230.0,7.0,C,1.0,79.0,2.0,10.0,4.0,3.0,,,,,,,10.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4074_output,TRIQUEVILLE,AIRDROME,4921N,29E,44470 780,26.0,6.0,3.0,1750.0,8.0,370G,6.0,250.0,7.0,P,1.0,79.0,2.0,12.0,1.0,16.0,,,,,,,12.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4074_output,TRIQUEVILLE,AIRDROME,4921N,29E,44470 780,27.0,7.0,3.0,1824.0,8.0,323G,18.0,110.0,7.0,G,1.0,72.0,2.0,9.0,2.0,3.0,,,,,,,9.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4074_output,TRIQUEVILLE,AIRDROME,4921N,29E,44470 780,27.0,7.0,3.0,1824.0,8.0,323G,10.0,240.0,7.0,G,1.0,162.0,1.0,8.0,2.0,3.0,,,,,,,8.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4074_output,TRIQUEVILLE,AIRDROME,4921N,29E,44470 780,28.0,7.0,3.0,1800.0,8.0,374G,18.0,240.0,7.0,G,1.0,162.0,1.0,8.0,4.0,2.0,,,,,,,8.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4074_output,TRIQUEVILLE,AIRDROME,4921N,29E,44470 780,28.0,7.0,3.0,1800.0,8.0,323G,18.0,200.0,7.0,G,1.0,72.0,2.0,9.0,4.0,2.0,,,,,,,9.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4074_output,TRIQUEVILLE,AIRDROME,4921N,29E,44470 780,29.0,7.0,3.0,1600.0,8.0,374G,18.0,200.0,7.0,G,1.0,100.0,2.0,15.0,4.0,3.0,,,,,,,15.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4074_output,TRIQUEVILLE,AIRDROME,4921N,29E,44470 780,31.0,7.0,3.0,1600.0,8.0,322G,19.0,100.0,7.0,G,1.0,56.0,2.0,7.0,4.0,3.0,,,,,,,7.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4074_output,TRIQUEVILLE,AIRDROME,4921N,29E,44470 780,31.0,7.0,3.0,1800.0,8.0,322G,19.0,150.0,7.0,G,1.0,149.0,1.0,7.0,4.0,3.0,,,,,,,7.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4074_output,TRIQUEVILLE,AIRDROME,4921N,29E,44470 780,25.0,8.0,3.0,1834.0,8.0,322G,19.0,100.0,7.0,G,1.0,295.0,2.0,37.0,4.0,4.0,,,,,,,37.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4074_output,TRIQUEVILLE,AIRDROME,4921N,29E,44470 780,16.0,9.0,3.0,1735.0,8.0,323G,33.0,110.0,7.0,G,1.0,167.0,2.0,21.0,4.0,4.0,,,,295.0,7.0,17.0,38.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4074_output,TRIQUEVILLE,AIRDROME,4921N,29E,44470 780,18.0,11.0,3.0,1101.0,8.0,323G,33.0,110.0,7.0,G,1.0,138.0,4.0,69.0,1.0,2.0,,,,,,,69.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4074_output,TRIQUEVILLE,AIRDROME,4921N,29E,44470 780,19.0,11.0,3.0,1102.0,8.0,386G,35.0,122.0,7.0,C,1.0,140.0,4.0,70.0,1.0,1.0,,,,,,,70.0,False
