box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_7,BOOK_17_NAVAL,IMG_8214_output,Tromso Fjord,UNKNOWN MERCHANT VESSEL,,,99183 730,24.0,6.0,3.0,1200.0,8.0,335G,3.0,120.0,7.0,N,3.0,30.0,3.0,8.0,4.0,3.0,,,,,,,8.0,False
BOX_7,BOOK_17_NAVAL,IMG_8214_output,Tromso Fjord,UNKNOWN MERCHANT VESSEL,,,99183 730,24.0,6.0,3.0,1430.0,8.0,334G,6.0,120.0,7.0,N,3.0,60.0,3.0,15.0,4.0,3.0,,,,,,,15.0,False
BOX_7,BOOK_17_NAVAL,IMG_8214_output,Tromso Fjord,UNKNOWN MERCHANT VESSEL,,,99183 730,25.0,6.0,3.0,900.0,8.0,336G,2.0,120.0,7.0,N,3.0,20.0,3.0,5.0,4.0,3.0,,,,,,,5.0,False
BOX_7,BOOK_17_NAVAL,IMG_8214_output,Tromso Fjord,UNKNOWN MERCHANT VESSEL,,,99183 730,25.0,6.0,3.0,1400.0,8.0,322G,2.0,260.0,7.0,P,1.0,30.0,3.0,8.0,4.0,3.0,,,,,,,8.0,False
BOX_7,BOOK_17_NAVAL,IMG_8214_output,Tromso Fjord,UNKNOWN MERCHANT VESSEL,,,99183 730,26.0,6.0,3.0,1430.0,8.0,412G,5.0,120.0,7.0,N,3.0,50.0,3.0,13.0,4.0,3.0,,,,,,,13.0,False
BOX_7,BOOK_17_NAVAL,IMG_8214_output,Tromso Fjord,UNKNOWN MERCHANT VESSEL,,,99183 730,7.0,9.0,3.0,855.0,8.0,389G,6.0,220.0,7.0,N,3.0,186.0,3.0,47.0,4.0,3.0,,,,,,,47.0,False
BOX_7,BOOK_17_NAVAL,IMG_8214_output,Tromso Fjord,UNKNOWN MERCHANT VESSEL,,,99183 730,8.0,10.0,3.0,1800.0,8.0,390G,10.0,120.0,7.0,N,3.0,188.0,3.0,47.0,4.0,3.0,,,,,,,47.0,False
BOX_7,BOOK_17_NAVAL,IMG_8214_output,Tromso Fjord,UNKNOWN MERCHANT VESSEL,,,99183 730,20.0,6.0,4.0,600.0,9.0,396G,1.0,120.0,7.0,N,3.0,38.0,1.0,2.0,1.0,2.0,,,,,,,2.0,False
BOX_7,BOOK_17_NAVAL,IMG_8212_output,Tromso Fjord,Tirpitz Battleship,,,97821 730,12.0,11.0,4.0,,R,,29.0,,,,,29.0,22.0,174.0,,,,,,,,,174.0,False
BOX_7,BOOK_17_NAVAL,IMG_8212_output,Tromso Fjord,Tirpitz Battleship,,,97821 730,12.0,11.0,4.0,,R,,29.0,,,,,32.0,22.0,192.0,,,,,,,,,192.0,False
