box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_7,BOOK_17_NAVAL,IMG_7913_output,TURNU SEVERINU,FIUME HARBOR INSTL,4520N,1426E,40549 710,26.0,3.0,4.0,1133.0,15.0,97G,27.0,220.0,7.0,G,1.0,,,,,,270.0,6.0,68.0,,,,68.0,False
BOX_7,BOOK_17_NAVAL,IMG_7913_output,TURNU SEVERINU,FIUME HARBOR INSTL,4520N,1426E,40549 710,29.0,3.0,4.0,1200.0,15.0,100G,27.0,225.0,7.0,G,1.0,,,,,,273.0,6.0,68.25,,,,68.25,False
BOX_7,BOOK_17_NAVAL,IMG_7913_output,TURNU SEVERINU,FIUME HARBOR INSTL,4520N,1426E,40549 710,30.0,3.0,4.0,900.0,15.0,101G,27.0,225.0,7.0,G,1.0,,,,,,600.0,6.0,150.0,,,,150.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5291_output,TURNU SEVERINU,MARSHALLING YARDS,4438N,2240E,18833 630,16.0,4.0,4.0,1045.0,15.0,459G,27.0,180.0,7.0,G,1.0,297.0,3.0,74.0,4.0,3.0,,,,,,,74.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5291_output,TURNU SEVERINU,MARSHALLING YARDS,4438N,2240E,18833 630,16.0,4.0,4.0,1046.0,15.0,454G,26.0,206.0,7.0,G,1.0,260.0,3.0,65.0,4.0,3.0,,,,,,,65.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3826_output,TURNU SEVERINU,AIRDROME,4438N,4557E,,16.0,4.0,4.0,1050.0,15.0,455G,38.0,180.0,7.0,P,1.0,380.0,3.0,114.0,4.0,3.0,,,,,,,114.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3826_output,TURNU SEVERINU,AIRDROME,4438N,4557E,,16.0,4.0,4.0,1050.0,15.0,456G,30.0,150.0,7.0,P,2.0,299.0,3.0,95.0,4.0,3.0,,,,,,,95.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5290_output,TURNU SEVERINU,RR MFG WORKS,4438N,2240E,18833 451,16.0,4.0,4.0,1132.0,15.0,460G,27.0,190.0,7.0,P,1.0,265.0,3.0,66.0,4.0,3.0,,,,,,,66.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3826_output,TURNU SEVERINU,AIRDROME,4438N,4557E,,17.0,4.0,4.0,900.0,15.0,457G,68.0,160.0,7.0,P,3.0,250.0,3.0,75.0,4.0,3.0,,,,,,,75.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5291_output,TURNU SEVERINU,MARSHALLING YARDS,4438N,2240E,18833 630,17.0,4.0,4.0,1329.0,15.0,460G,27.0,215.0,7.0,C,1.0,157.0,3.0,39.0,4.0,3.0,,,,,,,39.0,False
BOX_7,BOOK_17_NAVAL,IMG_7911_output,TURNU SEVERINU,NAVAL INSTL,4438N,2240E,18833 700,5.0,5.0,4.0,1404.0,15.0,483G,39.0,180.0,1.0,G,1.0,468.0,3.0,117.0,4.0,91.0,,,,,,,117.0,False
BOX_7,BOOK_17_NAVAL,IMG_7911_output,TURNU SEVERINU,NAVAL INSTL,4438N,2240E,18833 700,6.0,5.0,4.0,1100.0,15.0,483G,39.0,220.0,1.0,G,1.0,404.0,3.0,101.0,4.0,2.0,,,,,,,101.0,False
BOX_7,BOOK_17_NAVAL,IMG_7911_output,TURNU SEVERINU,NAVAL INSTL,4438N,2240E,18833 700,6.0,6.0,4.0,1430.0,15.0,488G,39.0,300.0,1.0,G,1.0,375.0,3.0,93.75,4.0,3.0,,,,,,,93.75,False
