box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3771_output,Twente,Aerodrome,5235N,780E,11835 780,30-31,5.0,2.0,800.0,R,,4.0,,,,,16.0,2.0,2.0,,,,,,,,,2.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3771_output,Twente,Aerodrome,5235N,780E,11835 780,30-31,5.0,2.0,800.0,R,,4.0,,,,,16.0,2.0,2.0,,,,,,,,,2.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3771_output,Twente,Aerodrome,5235N,780E,11835 780,30-31,5.0,2.0,800.0,R,,4.0,,,,,12.0,2.0,1.8,,,,,,,,,1.8,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3771_output,Twente,Aerodrome,5235N,780E,11835 780,01-02,6.0,2.0,800.0,R,,4.0,,,,,8.0,2.0,1.0,,,,,,,,,1.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3771_output,Twente,Aerodrome,5235N,780E,11835 780,02-03,6.0,2.0,2300.0,R,,4.0,,,,,8.0,2.0,1.0,,,,,,,,,1.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3771_output,Twente,Aerodrome,5235N,780E,11835 780,02-03,6.0,2.0,,R,,4.0,,,,,8.0,2.0,1.0,,,32.0,31.0,0.48,,,,1.48,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3771_output,Twente,Aerodrome,5235N,780E,11835 780,04,6.0,2.0,15.0,R,,4.0,,,,,,,,,,32.0,31.0,0.48,,,,0.48,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3771_output,Twente,Aerodrome,5235N,780E,11835 780,13-14,6.0,2.0,15.0,R,,4.0,,,,,8.0,2.0,1.0,,,,,,,,,1.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3771_output,Twente,Aerodrome,5235N,780E,11835 780,13-14,6.0,2.0,15.0,R,,4.0,,,,,13.333333333333334,2.0,2.0,,,,,,,,,2.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3771_output,Twente,Aerodrome,5235N,780E,11835 780,15-20,6.0,2.0,30.0,R,,4.0,,,,,8.0,2.0,1.0,,,,,,,,,1.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3771_output,Twente,Aerodrome,5235N,780E,11835 780,19-20,6.0,2.0,800.0,R,,1.0,,,,,2.0,2.0,0.3,,,,,,,,,0.3,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3771_output,Twente,Aerodrome,5235N,780E,11835 780,2,6.0,2.0,2200.0,R,,4.0,,,,,8.0,2.0,1.0,,,,,,,,,1.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3771_output,Twente,Aerodrome,5235N,780E,11835 780,20,6.0,2.0,800.0,R,,1.0,,,,,6.0,2.0,0.75,,,,,,,,,0.75,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3771_output,Twente,Aerodrome,5235N,780E,11835 780,20-21,6.0,2.0,1400.0,R,,1.0,,,,,2.0,2.0,0.25,,,,,,,,,0.25,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3771_output,Twente,Aerodrome,5235N,780E,11835 780,20-21,6.0,2.0,1400.0,R,,1.0,,,,,6.0,2.0,0.75,,,,,,,,,0.75,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3771_output,Twente,Aerodrome,5235N,780E,11835 780,21-22,6.0,2.0,100.0,R,,2.0,,,,,4.0,2.0,0.6,,,,,,,,,0.6,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3771_output,Twente,Aerodrome,5235N,780E,11835 780,22,6.0,2.0,1800.0,R,,4.0,,,,,8.0,2.0,1.0,,,32.0,31.0,0.48,,,,1.48,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3771_output,Twente,Aerodrome,5235N,780E,11835 780,25,6.0,2.0,2100.0,R,,4.0,,,,,8.0,2.0,1.0,,,,,,,,,1.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3771_output,Twente,Aerodrome,5235N,780E,11835 780,21-22,7.0,2.0,130.0,R,,2.0,,,,,32.0,2.0,4.0,,,,,,,,,4.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3771_output,Twente,Aerodrome,5235N,780E,11835 780,25-26,7.0,2.0,215.0,R,,2.0,,,,,4.0,2.0,0.6,,,,,,,,,0.6,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3771_output,Twente,Aerodrome,5235N,780E,11835 780,25-26,7.0,2.0,215.0,R,,2.0,,,,,4.0,2.0,0.6,,,,,,,,,0.6,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3771_output,Twente,Aerodrome,5235N,780E,11835 780,27,7.0,2.0,300.0,R,,2.0,,,,,4.0,4.0,2.0,,,,,,,,,2.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3771_output,Twente,Aerodrome,5235N,780E,11835 780,28-29,7.0,2.0,315.0,R,,2.0,,,,,2.0,2.0,0.3,,,,,,,,,0.3,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3771_output,Twente,Aerodrome,5235N,780E,11835 780,28-29,7.0,2.0,315.0,R,,2.0,,,,,12.0,2.0,1.5,,,8.0,31.0,0.12,,,,1.62,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3771_output,Twente,Aerodrome,5235N,780E,11835 780,09-10,8.0,2.0,330.0,R,,1.0,,,,,800.0,2.0,100.0,,,100.0,31.0,1.5,,,,101.5,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3772_output,Twente,Aerodrome,5235N,780E,11835 780,17-18,8.0,2.0,,R,,2.0,,,,,11.0,2.0,1.0,,,16.0,31.0,0.24,,,,1.24,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3772_output,Twente,Aerodrome,5235N,780E,11835 780,09-10,9.0,2.0,,R,,1.0,,,,,12.0,3.0,3.0,,,8.0,31.0,0.12,,,,3.12,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3772_output,Twente,Aerodrome,5235N,780E,11835 780,15-16,2.0,4.0,,R,,3.0,,,,,11.0,3.0,3.0,,,,,,,,,3.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3772_output,Twente,Aerodrome,5235N,780E,11835 780,19-20,2.0,4.0,,R,,2.0,,,,,8.0,3.0,2.0,,,,,,,,,2.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3772_output,Twente,Aerodrome,5235N,780E,11835 780,20-21,2.0,4.0,,R,,2.0,,,,,8.0,3.0,2.0,,,,,,,,,2.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3772_output,Twente,Aerodrome,5235N,780E,11835 780,24-25,2.0,4.0,,R,,2.0,,,,,8.0,3.0,2.0,,,,,,,,,2.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3772_output,Twente,Aerodrome,5235N,780E,11835 780,25-26,2.0,4.0,,R,,2.0,,,,,8.0,3.0,2.0,,,,,,,,,2.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3772_output,Twente,Aerodrome,5235N,780E,11835 780,22-23,3.0,4.0,,R,,2.0,,,,,10.0,3.0,3.0,,,,,,,,,3.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3772_output,Twente,Aerodrome,5235N,780E,11835 780,24-25,3.0,4.0,,R,,1.0,,,,,4.0,3.0,1.0,,,,,,,,,1.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3772_output,Twente,Aerodrome,5235N,780E,11835 780,30-31,3.0,4.0,,R,,3.0,,,,,9.0,3.0,2.0,,,,,,,,,2.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3772_output,Twente,Aerodrome,5235N,780E,11835 780,16-17,6.0,4.0,,R,,1.0,,,,,,,,,,,,,40.0,2.0,0.4,0.4,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3772_output,Twente,Aerodrome,5235N,780E,11835 780,01-02,11.0,4.0,,R,,1.0,,,,,2.0,3.0,0.6,,,,,,,,,0.6,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3772_output,Twente,Aerodrome,5235N,780E,11835 780,22-23,1.0,5.0,,R,,1.0,,,,,6.0,3.0,2.0,,,,,,,,,2.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3772_output,Twente,Aerodrome,5235N,780E,11835 780,18-19,3.0,5.0,,R,,1.0,,,,,,,,,,100.0,2.0,0.2,,,,0.2,False
