box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4892_output,UNKNOWN,BRIDGE,,,0000128,16.0,10.0,0.0,400.0,15.0,485G,1.0,,7.0,N,3.0,10.0,3.0,3.0,4.0,2.0,,,,,,,3.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4892_output,UNKNOWN,BRIDGE,,,0000128,16.0,10.0,0.0,1430.0,15.0,486G,1.0,,7.0,N,3.0,10.0,3.0,3.0,5.0,2.0,,,,,,,3.0,False
BOX_1,BOOK_1_MILITARYINDUSTRY,IMG_0200_output,UNKNOWN,ALLACH RAYFRISCHE MOTERNHERKE,4810N,1135E,46013 221,1.0,,0.0,1030.0,8.0,450G,17.0,205.0,7.0,G,1.0,8.0,,41.0,4.0,,,,,,,,41.0,False
BOX_1,BOOK_1_MILITARYINDUSTRY,IMG_0377_output,UNKNOWN,AUTO FACTORY,,,99230,1.0,,0.0,1109.0,8.0,305C,32.0,345.0,3.0,,,385.0,3.0,96.0,4.0,5.0,,,,,,,96.0,False
BOX_1,BOOK_1_MILITARYINDUSTRY,IMG_0377_output,UNKNOWN,AUTO FACTORY,,,99230,1.0,,0.0,1434.0,8.0,305G,32.0,345.0,3.0,,,384.0,3.0,96.0,4.0,4.0,,,,,,,96.0,False
BOX_1,BOOK_1_MILITARYINDUSTRY,IMG_0197_output,UNKNOWN,UNKNOWN,,,44999,14.0,,0.0,900.0,R,97G,11.0,300.0,7.0,,1.0,200.0,4.0,100.0,,,,,,,,,100.0,False
BOX_1,BOOK_1_MILITARYINDUSTRY,IMG_0197_output,UNKNOWN,UNKNOWN,,,44999,6.0,,0.0,1616.0,R,97G,12.0,300.0,7.0,,1.0,48.0,4.0,24.0,,,,,,,,,24.0,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3411_output,UNKNOWN,AIRCRAFT COMPONENT WORKS,,,99183 150,4.0,,2.0,1238.0,8.0,446G,21.0,225.0,7.0,C,4.0,240.0,3.0,60.0,4.0,3.0,,,,,,,60.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1656_output,UNKNOWN,UNIDENTIFIED TARGET,,,44999,24.0,1.0,3.0,1331.0,8.0,493G,17.0,130.0,7.0,G,1.0,432.0,2.0,54.0,4.0,3.0,,,,,,,54.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1656_output,UNKNOWN,UNIDENTIFIED TARGET,,,44999,24.0,1.0,3.0,1334.0,8.0,494G,25.0,200.0,7.0,G,1.0,400.0,2.0,50.0,4.0,3.0,,,,,,,50.0,False
