box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4338_output,Unter Schlauer S Ba Ch,TRIER AIRDROME,4944N,637E,48380 780,20-21,9.0,0.0,,R,,1.0,,,,,1.0,3.0,0.25,,,,,,,,,0.25,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4338_output,Unter Schlauer S Ba Ch,TRIER AIRDROME,4944N,637E,48380 780,21,9.0,0.0,,R,,1.0,,,,,3.0,2.0,0.375,,,,,,,,,0.375,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4338_output,Unter Schlauer S Ba Ch,TRIER AIRDROME,4944N,637E,48380 780,08-09,11.0,0.0,,R,,1.0,,,,,4.0,3.0,1.0,,,120.0,2.0,0.24,,,,1.24,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4338_output,Unter Schlauer S Ba Ch,TRIER AIRDROME,4944N,637E,48380 780,08-09,11.0,0.0,,R,,1.0,,,,,4.0,2.0,0.6,,,,,,,,,0.6,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4337_output,Unter Schlauer S Ba Ch,Airdrome,4917N,1045E,48320 780,25.0,4.0,5.0,1204.0,8.0,458G,28.0,190.0,1.0,N,1.0,522.0,2.0,65.0,3.0,2.0,,,,,,,65.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4337_output,Unter Schlauer S Ba Ch,Airdrome,4917N,1045E,48320 780,5.0,4.0,5.0,1110.0,8.0,490AG,1.0,240.0,1.0,N,1.0,254.0,2.0,32.0,3.0,2.0,,,,,,,32.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4337_output,Unter Schlauer S Ba Ch,Airdrome,4917N,1045E,48320 780,5.0,4.0,5.0,1111.0,8.0,34BG,10.0,240.0,1.0,N,1.0,6.0,3.0,1.8,4.0,2.0,60.0,6.0,15.0,,,,16.8,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4337_output,Unter Schlauer S Ba Ch,Airdrome,4917N,1045E,48320 780,5.0,4.0,5.0,1111.0,8.0,34CG,2.0,250.0,1.0,N,1.0,12.0,3.0,3.0,4.0,2.0,12.0,6.0,3.0,,,,6.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4337_output,Unter Schlauer S Ba Ch,Airdrome,4917N,1045E,48320 780,5.0,4.0,5.0,1115.0,8.0,34AG,1.0,250.0,1.0,N,1.0,6.0,3.0,2.0,4.0,2.0,6.0,12.0,2.0,,,,4.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4337_output,Unter Schlauer S Ba Ch,Airdrome,4917N,1045E,48320 780,5.0,4.0,5.0,1115.0,8.0,385AG,8.0,260.0,1.0,N,1.0,152.0,2.0,19.0,4.0,1.0,,,,,,,19.0,False
