box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6735_output,VAIRES,RWY VAIRES CENTER,,,93870 630,01,3.0,4.0,2130.0,R,,72.0,140.0,,,,351.0,4.0,176.0,,,,,,,,,176.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6735_output,VAIRES,RWY VAIRES CENTER,,,93870 630,29-30,3.0,4.0,2130.0,R,,72.0,140.0,,,,263.0,5.0,254.0,,,,,,,,,254.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6735_output,VAIRES,RWY VAIRES CENTER,,,93870 630,27-28,6.0,4.0,301.0,R,,99.0,220.0,,,,1744.0,3.0,436.0,,,,,,,,,436.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6735_output,VAIRES,RWY VAIRES CENTER,,,93870 630,07-08,7.0,4.0,123.0,R,,115.0,125.0,,,,1010.0,4.0,505.0,,,,,,,,,505.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6735_output,VAIRES,RWY VAIRES CENTER,,,93870 630,07-08,7.0,4.0,123.0,R,,115.0,125.0,,,,257.0,1.0,10.0,,,,,,,,,10.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6735_output,VAIRES,RWY VAIRES CENTER,,,93870 630,09,7.0,4.0,1754.0,R,,115.0,160.0,,,,198.0,3.0,50.0,,,,,,,,,50.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6735_output,VAIRES,RWY VAIRES CENTER,,,93870 630,18,7.0,4.0,1754.0,R,,103.0,170.0,,,,24.0,4.0,12.0,,,,,,,,,12.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6735_output,VAIRES,RWY VAIRES CENTER,,,93870 630,18,7.0,4.0,1754.0,R,,103.0,180.0,,,,1596.0,3.0,399.0,,,,,,,,,399.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6735_output,VAIRES,RWY VAIRES CENTER,,,93870 630,18,7.0,4.0,1754.0,R,,401.0,200.0,,,,100.0,4.0,55.0,,,,,,,,,55.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6735_output,VAIRES,RWY VAIRES CENTER,,,93870 630,18,7.0,4.0,1754.0,R,,115.0,300.0,,,,250.0,4.0,125.0,,,,,,,,,125.0,False
