box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_7,BOOK_14_SUPPLY,IMG_7170_output,Vienna,ORD Depot,4812N,1622E,2891 831,1.0,11.0,1.0,1223.0,15,99G,33.0,280.0,3.0,P,1.0,326.0,3.0,88.0,4.0,2.0,,,,,,,88.0,False
BOX_7,BOOK_14_SUPPLY,IMG_7170_output,Vienna,ORD Depot,4812N,1622E,2891 831,1.0,11.0,1.0,1300.0,15,103G,25.0,245.0,3.0,P,1.0,141.0,3.0,35.0,4.0,2.0,,,,,,,35.0,False
BOX_7,BOOK_14_SUPPLY,IMG_7170_output,Vienna,ORD Depot,4812N,1622E,2891 831,1.0,11.0,2.0,1230.0,R,484G,1.0,240.0,7.0,P,1.0,10.0,3.0,2.5,4.0,2.0,,,,,,,2.5,False
BOX_2,BOOK_6_INDUSTRIAL__PART_1,IMG_1129_output,Vienna,City Area,4812N,1622E,2891,17.0,3.0,4.0,1100.0,15.0,456G,32.0,235.0,7.0,P,2.0,999.0,1.0,60.0,4.0,2.0,,,,,,,60.0,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3168_output,Vienna,Atzgersdorf A C Comp Plt,4812N,1622E,2891 151,24.0,5.0,4.0,1034.0,15.0,460G,29.0,205.0,7.0,G,1.0,232.0,3.0,58.0,4.0,2.0,,,,,,,58.0,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3168_output,Vienna,Atzgersdorf A C Comp Plt,4812N,1622E,2891 151,24.0,5.0,4.0,1051.0,15.0,097G,32.0,227.0,3.0,P,1.0,384.0,1.0,15.0,4.0,91.0,1.0,6.0,0.25,,,,15.25,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3168_output,Vienna,Atzgersdorf A C Comp Plt,4812N,1622E,2891 151,24.0,5.0,4.0,1055.0,15.0,002G,32.0,229.0,3.0,P,1.0,384.0,3.0,96.0,4.0,2.0,1.0,5.0,0.05,,,,96.05,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3168_output,Vienna,Atzgersdorf A C Comp Plt,4812N,1622E,2891 151,24.0,5.0,4.0,1113.0,15.0,099G,32.0,233.0,7.0,P,1.0,396.0,3.0,118.8,4.0,91.0,,,,,,,118.8,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0401_output,Vienna,Floridsdorf Oil Refinery,4812N,1622E,2891 509,26.0,5.0,4.0,943.0,8.0,313G,36.0,222.0,7.0,G,1.0,576.0,2.0,72.0,4.0,3.0,,,,,,,72.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0401_output,Vienna,Floridsdorf Oil Refinery,4812N,1622E,2891 509,26.0,5.0,4.0,944.0,8.0,312G,2.6,230.0,7.0,G,1.0,207.0,3.0,52.0,4.0,91.0,,,,,,,52.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0401_output,Vienna,Floridsdorf Oil Refinery,4812N,1622E,2891 509,26.0,5.0,4.0,945.0,8.0,314G,33.0,228.0,7.0,G,1.0,,,,,,128.0,5.0,6.4,,,,6.4,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0401_output,Vienna,Floridsdorf Oil Refinery,4812N,1622E,2891 509,26.0,5.0,4.0,1059.0,8.0,310G,28.0,235.0,1.0,G,1.0,557.0,2.0,70.0,4.0,91.0,,,,,,,70.0,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3168_output,Vienna,Atzgersdorf A C Comp Plt,4812N,1622E,2891 151,29.0,5.0,4.0,1030.0,15.0,465G,31.0,210.0,7.0,G,1.0,,,,,,1.0,8.0,0.114,110.0,,,0.114,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3168_output,Vienna,Atzgersdorf A C Comp Plt,4812N,1622E,2891 151,29.0,5.0,4.0,1034.0,15.0,464G,32.0,195.0,7.0,G,1.0,248.0,3.0,62.0,4.0,2.0,,,,,,,62.0,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3168_output,Vienna,Atzgersdorf A C Comp Plt,4812N,1622E,2891 151,29.0,5.0,4.0,1035.0,15.0,485G,31.0,215.0,7.0,G,1.0,246.0,3.0,62.0,4.0,2.0,,,,,,,62.0,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3168_output,Vienna,Atzgersdorf A C Comp Plt,4812N,1622E,2891 151,29.0,5.0,4.0,1035.0,15.0,468G,31.0,210.0,7.0,G,1.0,241.0,3.0,95.0,4.0,2.0,1.0,8.0,0.114,110.0,,,95.114,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0405_output,Vienna,Vacuum Oil Refinery Kagran,4812N,1622E,2891 510,16.0,6.0,4.0,930.0,8.0,463G,1.0,240.0,7.0,N,3.0,20.0,2.0,3.0,4.0,91.0,,,,,,,3.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0401_output,Vienna,Floridsdorf Oil Refinery,4812N,1622E,2891 509,16.0,6.0,4.0,1050.0,8.0,309G,26.0,235.0,1.0,G,1.0,500.0,2.0,63.0,4.0,91.0,,,,,,,63.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0401_output,Vienna,Floridsdorf Oil Refinery,4812N,1622E,2891 509,16.0,6.0,4.0,1052.0,8.0,308G,26.0,230.0,7.0,C,1.0,451.0,2.0,56.0,4.0,91.0,,,,,,,56.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0405_output,Vienna,Vacuum Oil Refinery Kagran,4812N,1622E,2891 510,17.0,6.0,4.0,1050.0,8.0,463G,23.0,245.0,1.0,G,1.0,460.0,2.0,58.0,4.0,91.0,,,,,,,58.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4902_output,Vienna,Florisdorf,4812N,1622E,2891,26.0,6.0,4.0,948.0,15.0,465G,29.0,220.0,7.0,G,1.0,406.0,2.0,51.0,4.0,91.0,,,,,,,51.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0405_output,Vienna,Vacuum Oil Refinery Kagran,4812N,1622E,2891 510,5.0,6.0,4.0,1047.0,8.0,97G,22.0,265.0,7.0,G,1.0,418.0,2.0,62.7,4.0,91.0,,,,,,,62.7,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0405_output,Vienna,Vacuum Oil Refinery Kagran,4812N,1622E,2891 510,6.0,6.0,4.0,1039.0,8.0,99G,25.0,233.0,7.0,G,1.0,300.0,3.0,75.0,4.0,91.0,,,,,,,75.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0405_output,Vienna,Vacuum Oil Refinery Kagran,4812N,1622E,2891 510,6.0,6.0,4.0,1434.0,8.0,463G,1.0,250.0,7.0,N,3.0,20.0,2.0,3.0,4.0,91.0,,,,,,,3.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4898_output,Vienna,Marshalling Yard,4812N,1622E,2891 630,16.0,7.0,4.0,1040.0,15.0,489G,25.0,250.0,7.0,P,2.0,,,,,,300.0,12.0,76.8,,,,76.8,False
