box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_1,BOOK_2_OILREFINERIES,IMG_0400_output,VIENNA VOSENDORF,Oil Refinery,4812N,1622E,2891 506,23.0,8.0,4.0,1313.0,8.0,450G,28.0,230.0,7.0,C,1.0,220.0,3.0,55.0,4.0,3.0,,,,,,,55.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0400_output,VIENNA VOSENDORF,Oil Refinery,4812N,1622E,2891 506,4.0,8.0,4.0,1232.0,8.0,376G,26.0,230.0,7.0,C,1.0,204.0,3.0,51.0,4.0,3.0,,,,,,,51.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0400_output,VIENNA VOSENDORF,Oil Refinery,4812N,1622E,2891 506,5.0,8.0,4.0,1233.0,8.0,449G,14.0,240.0,3.0,C,1.0,110.0,3.0,28.0,4.0,3.0,,,,,,,28.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0400_output,VIENNA VOSENDORF,Oil Refinery,4812N,1622E,2891 506,19.0,11.0,4.0,1159.0,8.0,461G,26.0,260.0,7.0,P,1.0,15.0,3.0,3.75,4.0,91.0,,,,,,,3.75,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0400_output,VIENNA VOSENDORF,Oil Refinery,4812N,1622E,2891 506,19.0,11.0,4.0,1236.0,8.0,451G,2.0,250.0,7.0,P,1.0,14.0,3.0,4.0,4.0,91.0,,,,,,,4.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0400_output,VIENNA VOSENDORF,Oil Refinery,4812N,1622E,2891 506,20.0,11.0,4.0,1200.0,8.0,462G,28.0,240.0,3.0,P,1.0,220.0,3.0,55.0,1.0,91.0,,,,,,,55.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0400_output,VIENNA VOSENDORF,Oil Refinery,4812N,1622E,2891 506,27.0,12.0,4.0,1149.0,8.0,464G,39.0,275.0,3.0,P,1.0,369.0,3.0,92.0,4.0,2.0,,,,,,,92.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0400_output,VIENNA VOSENDORF,Oil Refinery,4812N,1622E,2891 506,15.0,2.0,5.0,1246.0,8.0,466G,14.0,257.0,1.0,P,3.0,108.0,3.0,27.0,4.0,2.0,,,,,,,27.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0400_output,VIENNA VOSENDORF,Oil Refinery,4812N,1622E,2891 506,2.0,3.0,5.0,1247.0,8.0,467G,18.0,290.0,3.0,G,1.0,70.0,4.0,35.0,4.0,1.0,,,,,,,35.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0400_output,VIENNA VOSENDORF,Oil Refinery,4812N,1622E,2891 506,21.0,3.0,5.0,1230.0,8.0,463G,19.0,290.0,1.0,P,1.0,74.0,4.0,37.0,4.0,2.0,,,,,,,37.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0400_output,VIENNA VOSENDORF,Oil Refinery,4812N,1622E,2891 506,21.0,3.0,5.0,1239.0,8.0,463G,17.0,290.0,1.0,P,1.0,66.0,4.0,33.0,4.0,2.0,,,,,,,33.0,False
