box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4081_output,Villacoublay,Airdrome,4847N,212E,44687 780,19-20,8.0,0.0,600.0,R,305G,2.0,250.0,7.0,G,1.0,3.0,3.0,1.0,4.0,3.0,,,,,,,1.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4081_output,Villacoublay,Airdrome,4847N,212E,44687 780,23-24,8.0,0.0,1500.0,R,307G,2.0,250.0,7.0,G,1.0,4.0,2.0,0.6,4.0,3.0,,,,,,,0.6,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4081_output,Villacoublay,Airdrome,4847N,212E,44687 780,24,8.0,0.0,1000.0,R,308S,2.0,250.0,7.0,G,1.0,6.666666666666667,2.0,1.0,4.0,3.0,,,,,,,1.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4081_output,Villacoublay,Airdrome,4847N,212E,44687 780,24-25,8.0,0.0,600.0,R,310S,1.0,250.0,7.0,G,1.0,2.0,2.0,0.3,4.0,3.0,120.0,2.0,0.24,,,,0.54,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4081_output,Villacoublay,Airdrome,4847N,212E,44687 780,07-08,11.0,0.0,600.0,R,312G,1.0,250.0,7.0,G,1.0,2.0,2.0,0.25,4.0,3.0,,,,,,,0.25,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4081_output,Villacoublay,Airdrome,4847N,212E,44687 780,10,11.0,0.0,1200.0,R,314G,1.0,250.0,7.0,G,1.0,9.0,2.0,1.125,4.0,3.0,,,,,,,1.125,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4081_output,Villacoublay,Airdrome,4847N,212E,44687 780,10-11,11.0,0.0,1100.0,R,315S,1.0,250.0,7.0,G,1.0,2.0,2.0,0.25,4.0,3.0,,,,,,,0.25,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4081_output,Villacoublay,Airdrome,4847N,212E,44687 780,10-11,11.0,0.0,1434.0,R,316G,1.0,250.0,7.0,G,1.0,17.0,2.0,2.55,4.0,3.0,,,,,,,2.55,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4081_output,Villacoublay,Airdrome,4847N,212E,44687 780,06-07,12.0,0.0,600.0,R,317G,3.0,250.0,7.0,G,1.0,25.0,2.0,3.0,4.0,3.0,60.0,2.0,0.12,,,,3.12,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4081_output,Villacoublay,Airdrome,4847N,212E,44687 780,06-07,12.0,0.0,,R,318S,2.0,250.0,7.0,G,1.0,30.0,2.0,3.75,4.0,3.0,,,,,,,3.75,False
