box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3778_output,Volkel,Volkel Airdrome,5138N,540E,11896 780,04-05,12.0,0.0,1430.0,R,305G,1.0,250.0,3.0,N,1.0,5.0,3.0,1.25,4.0,3.0,,,,,,,1.25,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3778_output,Volkel,Volkel Airdrome,5138N,540E,11896 780,05,12.0,0.0,930.0,R,305S,1.0,250.0,3.0,N,1.0,6.666666666666667,2.0,1.0,4.0,3.0,180.0,2.0,0.36,,,,1.36,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3778_output,Volkel,Volkel Airdrome,5138N,540E,11896 780,14-15,2.0,1.0,1200.0,R,305A,1.0,250.0,3.0,N,1.0,4.0,2.0,0.6,4.0,3.0,,,,,,,0.6,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3778_output,Volkel,Volkel Airdrome,5138N,540E,11896 780,14-15,2.0,1.0,1430.0,R,305A,1.0,250.0,3.0,N,1.0,2.0,3.0,0.6,4.0,3.0,,,,,,,0.6,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3778_output,Volkel,Volkel Airdrome,5138N,540E,11896 780,19-20,2.0,3.0,1430.0,R,305A,2.0,250.0,3.0,N,1.0,8.0,3.0,2.0,4.0,3.0,,,,,,,2.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3778_output,Volkel,Volkel Airdrome,5138N,540E,11896 780,20-21,2.0,3.0,1200.0,R,305A,3.0,250.0,3.0,N,1.0,12.0,3.0,3.0,4.0,3.0,,,,,,,3.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3778_output,Volkel,Volkel Airdrome,5138N,540E,11896 780,25-26,2.0,4.0,1430.0,R,305A,2.0,250.0,3.0,N,1.0,8.0,3.0,2.0,4.0,3.0,,,,,,,2.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3778_output,Volkel,Volkel Airdrome,5138N,540E,11896 780,01-02,3.0,4.0,1400.0,R,305A,2.0,250.0,3.0,N,1.0,8.0,3.0,2.0,4.0,3.0,,,,,,,2.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3778_output,Volkel,Volkel Airdrome,5138N,540E,11896 780,18-19,3.0,4.0,1500.0,R,305A,3.0,250.0,3.0,N,1.0,12.0,3.0,3.0,4.0,3.0,,,,,,,3.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3778_output,Volkel,Volkel Airdrome,5138N,540E,11896 780,30-31,3.0,4.0,1530.0,R,305A,3.0,250.0,3.0,N,1.0,9.0,3.0,2.0,4.0,3.0,,,,,,,2.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3778_output,Volkel,Volkel Airdrome,5138N,540E,11896 780,16-17,6.0,4.0,1530.0,R,305A,1.0,250.0,3.0,N,1.0,2.0,3.0,0.6,4.0,3.0,,,,40.0,2.0,0.4,1.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3778_output,Volkel,Volkel Airdrome,5138N,540E,11896 780,21-22,6.0,4.0,1830.0,R,305G,1.0,250.0,3.0,N,1.0,5.0,3.0,1.25,4.0,3.0,,,,40.0,2.0,0.4,1.65,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3778_output,Volkel,Volkel Airdrome,5138N,540E,11896 780,23-30,6.0,4.0,1530.0,R,305G,1.0,250.0,3.0,N,1.0,,,,,,,,,40.0,2.0,0.4,0.4,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3778_output,Volkel,Volkel Airdrome,5138N,540E,11896 780,1,7.0,4.0,900.0,R,379G,1.0,250.0,3.0,N,1.0,228.0,3.0,57.0,4.0,3.0,,,,,,,57.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3778_output,Volkel,Volkel Airdrome,5138N,540E,11896 780,15,8.0,4.0,1430.0,R,379G,108.0,250.0,3.0,N,1.0,412.0,3.0,103.0,4.0,3.0,,,,,,,103.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3778_output,Volkel,Volkel Airdrome,5138N,540E,11896 780,15,8.0,4.0,1800.0,R,379G,108.0,250.0,3.0,N,1.0,207.0,8.0,103.5,4.0,3.0,,,,,,,103.5,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3778_output,Volkel,Volkel Airdrome,5138N,540E,11896 780,15-15,8.0,4.0,1200.0,R,379G,108.0,250.0,3.0,N,1.0,228.0,3.0,57.0,4.0,3.0,,,,,,,57.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3778_output,Volkel,Volkel Airdrome,5138N,540E,11896 780,16,9.0,4.0,1730.0,R,379G,110.0,250.0,3.0,N,1.0,833.0,4.0,416.5,4.0,3.0,,,,,,,416.5,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3779_output,Volkel,Volkel Airdrome,5138N,540E,11896 780,3.0,9.0,4.0,,R,,150.0,,,,,550.0,3.0,138.0,,,,,,,,,138.0,False
