box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4352_output,VORDEN,AIRDROME,5256N,914E,48674 780,27,7.0,0.0,1410.0,R,401G,1.0,160.0,7.0,G,3.0,4.0,3.0,1.0,4.0,1.0,,,,,,,1.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4352_output,VORDEN,AIRDROME,5256N,914E,48674 780,27-28,7.0,0.0,1400.0,R,400G,1.0,150.0,7.0,G,3.0,1.0,3.0,0.3,4.0,3.0,60.0,2.0,0.12,,,,0.42,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4352_output,VORDEN,AIRDROME,5256N,914E,48674 780,27,10.0,0.0,1416.0,R,404G,1.0,165.0,7.0,G,3.0,1.0,2.0,0.15,4.0,3.0,,,,,,,0.15,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4352_output,VORDEN,AIRDROME,5256N,914E,48674 780,27-28,10.0,0.0,1415.0,R,403G,1.0,164.0,7.0,G,3.0,4.0,3.0,1.0,4.0,3.0,60.0,2.0,0.12,,,,1.12,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4352_output,VORDEN,AIRDROME,5256N,914E,48674 780,17-18,4.0,1.0,1418.0,R,406G,1.0,165.0,7.0,G,3.0,1.0,5.0,1.0,4.0,3.0,,,,,,,1.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2449_output,VORDEN,CITY AREA,5256N,914E,48674 20,06-07,9.0,1.0,2150.0,R,,1.0,110.0,,,,2.0,4.0,1.0,,,,,,,,,1.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2449_output,VORDEN,CITY AREA,5256N,914E,48674 20,06-07,9.0,1.0,2150.0,R,,1.0,110.0,,,,2.0,4.0,1.0,,,,,,,,,1.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2449_output,VORDEN,CITY AREA,5256N,914E,48674 20,6,9.0,1.0,1500.0,R,,1.0,110.0,,,,3.0,4.0,2.0,,,,,,,,,2.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4352_output,VORDEN,AIRDROME,5256N,914E,48674 780,21,2.0,4.0,1418.0,8,408G,1.0,165.0,7.0,G,3.0,52.0,1.0,3.0,4.0,3.0,,,,,,,3.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4352_output,VORDEN,AIRDROME,5256N,914E,48674 780,21,2.0,4.0,1418.0,8,409G,24.0,175.0,7.0,G,3.0,858.0,1.0,43.0,4.0,3.0,,,,,,,43.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4352_output,VORDEN,AIRDROME,5256N,914E,48674 780,31,2.0,4.0,1332.0,8,410G,24.0,170.0,7.0,G,3.0,26.0,1.0,1.0,4.0,3.0,,,,,,,1.0,False
