box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_5047_output,WALCHEREN,RAILWAY BRIDGE,,,11903 610,18,7.0,0.0,,R,,1.0,,,,,4.0,5.0,4.0,,,,,,,,,4.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_5047_output,WALCHEREN,RAILWAY BRIDGE,,,11903 610,18,7.0,0.0,,R,,1.0,,,,,4.0,6.0,8.0,,,,,,,,,8.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_5047_output,WALCHEREN,RAILWAY BRIDGE,,,11903 610,18,7.0,0.0,,R,,1.0,,,,,4.0,7.0,1.0,,,,,,,,,1.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_5047_output,WALCHEREN,RAILWAY BRIDGE,,,11903 610,18-19,7.0,0.0,,R,,1.0,,,,,4.0,3.0,1.0,,,,,,,,,1.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_5048_output,WALCHEREN,RAIL WALCHEREN BRIDGE,,,11905 610,28,11.0,0.0,,R,,1.0,,,,,6.0,4.0,3.0,1.0,,,,,,,,3.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_5049_output,WALCHEREN,FRAGMENTATION BONDS,5245N,449E,0100308,29.0,6.0,4.0,,8.0,379G,1.0,,,N,3.0,,,,,,42.0,5.0,2.0,,,,2.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_5049_output,WALCHEREN,FRAGMENTATION BONDS,5245N,449E,0100308,1.0,7.0,4.0,,8.0,379G,1.0,,,N,3.0,10.0,3.0,3.0,4.0,2.0,,,,,,,3.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_5049_output,WALCHEREN,FRAGMENTATION BONDS,5245N,449E,0100308,17.0,7.0,4.0,,8.0,305CG,1.0,,,N,4.0,12.0,3.0,3.0,4.0,3.0,,,,,,,3.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_5049_output,WALCHEREN,FRAGMENTATION BONDS,5245N,449E,0100308,2.0,7.0,4.0,,8.0,381G,1.0,,,N,3.0,11.0,3.0,3.0,4.0,2.0,,,,,,,3.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_5049_output,WALCHEREN,FRAGMENTATION BONDS,5245N,449E,0100308,20.0,7.0,4.0,,8.0,384G,1.0,,,N,3.0,20.0,3.0,6.0,4.0,5.0,,,,,,,6.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_5050_output,WALCHEREN,FRAGMENTATION BONDS,5125N,415E,11990 650,8.0,,4.0,,8.0,457BG,1.0,,,N,3.0,9.0,3.0,2.0,4.0,3.0,,,,,,,2.0,False
