box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_7,BOOK_17_NAVAL,IMG_7889_output,Walcheren Island,Docks Canals Barges,,,11903 710,30.0,7.0,0.0,,R,,2.0,,,,,6.666666666666667,2.0,1.0,,,,,,,,,1.0,False
BOX_7,BOOK_17_NAVAL,IMG_7889_output,Walcheren Island,Docks Canals Barges,,,11903 710,30.0,7.0,0.0,,R,,2.0,,,,,4.0,2.0,0.6,,,60.0,2.0,0.12,,,,0.72,False
BOX_7,BOOK_17_NAVAL,IMG_7889_output,Walcheren Island,Docks Canals Barges,,,11903 710,30.0,7.0,0.0,,R,,2.0,,,,,18.0,2.0,2.25,,,,,,,,,2.25,False
BOX_7,BOOK_17_NAVAL,IMG_7889_output,Walcheren Island,Docks Canals Barges,,,11903 710,31.0,7.0,0.0,,R,,2.0,,,,,21.0,2.0,3.15,,,,4.0,,,,,3.15,False
BOX_7,BOOK_17_NAVAL,IMG_7889_output,Walcheren Island,Docks Canals Barges,,,11903 710,31.0,7.0,0.0,,R,,2.0,,,,,,,,,,60.0,5.0,3.0,,,,3.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7337_output,Walcheren Island,WOENSDRECHT SEARCHLIGHT,,,11909 800,31.0,12.0,0.0,,R,,1.0,,,,,4.0,2.0,0.6,,,,,,,,,0.6,False
BOX_7,BOOK_15_TACTICAL,IMG_7337_output,Walcheren Island,WOENSDRECHT SEARCHLIGHT,,,11909 800,3.0,3.0,2.0,,8,,1.0,,,,,7.0,2.0,0.875,,,,,,,,,0.875,False
BOX_7,BOOK_15_TACTICAL,IMG_7335_output,Walcheren Island,Gun Emplacements,,,11903 820,1,9.0,2.0,,R,,30.0,,,,,100.0,3.0,25.0,,,,,,,,,25.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7335_output,Walcheren Island,Gun Emplacements,,,11903 820,1-17,9.0,2.0,,R,,27.0,,,,,153.0,4.0,77.0,,,,,,,,,77.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7335_output,Walcheren Island,Gun Emplacements,,,11903 820,31,10.0,2.0,,R,,29.0,,,,,115.0,4.0,58.0,,,,,,,,,58.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7335_output,Walcheren Island,Gun Emplacements,,,11903 820,30,3.0,4.0,,R,,1.0,,,,,100.0,7.0,25.0,,,1000.0,3.0,3.0,,,,28.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7335_output,Walcheren Island,Gun Emplacements,,,11903 820,30-31,3.0,4.0,,R,,1.0,,,,,1.0,6.0,2.0,,,96.0,26.0,1.0,,,,3.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7335_output,Walcheren Island,Gun Emplacements,,,11903 820,30-31,3.0,4.0,,R,,29.0,,,,,946.0,7.0,236.5,,,999.0,2.0,2.0,,,,238.5,False
BOX_7,BOOK_15_TACTICAL,IMG_7335_output,Walcheren Island,Gun Emplacements,,,11903 820,17,9.0,4.0,,R,,31.0,,,,,108.0,3.0,27.0,,,,,,,,,27.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7335_output,Walcheren Island,Gun Emplacements,,,11903 820,17,9.0,4.0,,R,,32.0,,,,,174.0,4.0,95.7,,,,,,,,,95.7,False
BOX_7,BOOK_15_TACTICAL,IMG_7335_output,Walcheren Island,Gun Emplacements,,,11903 820,17,9.0,4.0,,R,,33.0,,,,,239.0,4.0,120.0,,,,,,,,,120.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7335_output,Walcheren Island,Gun Emplacements,,,11903 820,17,9.0,4.0,,R,,56.0,,,,,394.0,5.0,394.0,,,,,,,,,394.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7335_output,Walcheren Island,Gun Emplacements,,,11903 820,17,9.0,4.0,,R,,139.0,,,,,242.0,8.0,121.0,,,,,,,,,121.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7335_output,Walcheren Island,Gun Emplacements,,,11903 820,17,9.0,4.0,,R,,139.0,,,,,45.0,4.0,19.0,,,,,,,,,19.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7335_output,Walcheren Island,Gun Emplacements,,,11903 820,23,9.0,4.0,,R,,139.0,,,,,83.0,4.0,42.0,,,,,,,,,42.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7335_output,Walcheren Island,Gun Emplacements,,,11903 820,23,9.0,4.0,,R,,139.0,,,,,100.0,5.0,100.0,,,,,,,,,100.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7335_output,Walcheren Island,Gun Emplacements,,,11903 820,23,9.0,4.0,,R,,243.0,,,,,237.0,3.0,78.0,,,,,,,,,78.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7335_output,Walcheren Island,Gun Emplacements,,,11903 820,21,10.0,4.0,,R,,61.0,,,,,412.0,4.0,206.0,,,,,,,,,206.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7335_output,Walcheren Island,Gun Emplacements,,,11903 820,23,10.0,4.0,,R,,243.0,,,,,278.0,3.0,70.0,,,,,,,,,70.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7335_output,Walcheren Island,Gun Emplacements,,,11903 820,23,10.0,4.0,,R,,243.0,,,,,1742.0,4.0,871.0,,,,,,,,,871.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7335_output,Walcheren Island,Gun Emplacements,,,11903 820,23,10.0,4.0,,R,,243.0,,,,,500.0,5.0,500.0,,,,,,,,,500.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7335_output,Walcheren Island,Gun Emplacements,,,11903 820,23,10.0,4.0,,R,,62.0,,,,,856.0,4.0,428.0,,,,,,,,,428.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7335_output,Walcheren Island,Gun Emplacements,,,11903 820,23,10.0,4.0,,R,,58.0,,,,,11.0,6.0,22.0,,,,,,,,,22.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7335_output,Walcheren Island,Gun Emplacements,,,11903 820,23,10.0,4.0,,R,,89.0,,,,,736.0,4.0,368.0,,,,,,,,,368.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7335_output,Walcheren Island,Gun Emplacements,,,11903 820,23,10.0,4.0,,R,,299.0,,,,,1710.0,8.0,855.0,,,,,,,,,855.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7335_output,Walcheren Island,Gun Emplacements,,,11903 820,23,10.0,4.0,,R,,62.0,,,,,837.0,4.0,419.0,,,,,,,,,419.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7335_output,Walcheren Island,Gun Emplacements,,,11903 820,23,10.0,4.0,,R,,105.0,,,,,638.0,8.0,319.0,,,,,,,,,319.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7335_output,Walcheren Island,Gun Emplacements,,,11903 820,23,10.0,4.0,,R,,155.0,,,,,349.0,3.0,87.0,,,,,,,,,87.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7335_output,Walcheren Island,Gun Emplacements,,,11903 820,23,10.0,4.0,,R,,160.0,,,,,532.0,4.0,266.0,,,,,,,,,266.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7335_output,Walcheren Island,Gun Emplacements,,,11903 820,23,10.0,4.0,,R,,47.0,,,,,110.0,8.0,55.0,,,,,,,,,55.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7335_output,Walcheren Island,Gun Emplacements,,,11903 820,23,10.0,4.0,,R,,47.0,,,,,535.0,4.0,268.0,,,,,,,,,268.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7335_output,Walcheren Island,Gun Emplacements,,,11903 820,23,10.0,4.0,,R,,75.0,,,,,594.0,8.0,297.0,,,,,,,,,297.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7335_output,Walcheren Island,Gun Emplacements,,,11903 820,23,10.0,4.0,,R,,61.0,,,,,48.0,3.0,12.0,,,,,,,,,12.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7336_output,Walcheren Island,Gun Emplacements,,,11903 820,23.0,10.0,4.0,,R,,92.0,,,,,314.0,8.0,157.0,,,,,,,,,157.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7336_output,Walcheren Island,Gun Emplacements,,,11903 820,23.0,10.0,4.0,,R,,235.0,,,,,200.0,4.0,100.0,,,,,,,,,100.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7336_output,Walcheren Island,Gun Emplacements,,,11903 820,23.0,10.0,4.0,,R,,92.0,,,,,74.0,4.0,37.0,,,,,,,,,37.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7336_output,Walcheren Island,Gun Emplacements,,,11903 820,23.0,10.0,4.0,,R,,235.0,,,,,125.0,5.0,125.0,,,,,,,,,125.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7336_output,Walcheren Island,Gun Emplacements,,,11903 820,23.0,10.0,4.0,,R,,235.0,,,,,999.0,4.0,527.0,,,,,,,,,527.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7336_output,Walcheren Island,Gun Emplacements,,,11903 820,23.0,10.0,4.0,,R,,235.0,,,,,658.0,4.0,329.0,,,,,,,,,329.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7336_output,Walcheren Island,Gun Emplacements,,,11903 820,23.0,10.0,4.0,,R,,235.0,,,,,830.0,3.0,208.0,,,,,,,,,208.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7336_output,Walcheren Island,Gun Emplacements,,,11903 820,23.0,10.0,4.0,,R,,235.0,,,,,58.0,6.0,116.0,,,,,,,,,116.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7336_output,Walcheren Island,Gun Emplacements,,,11903 820,23.0,10.0,4.0,,R,,235.0,,,,,999.0,3.0,284.0,,,,,,,,,284.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7336_output,Walcheren Island,Gun Emplacements,,,11903 820,23.0,10.0,4.0,,R,,235.0,,,,,999.0,4.0,612.0,,,,,,,,,612.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7336_output,Walcheren Island,Gun Emplacements,,,11903 820,23.0,10.0,4.0,,R,,89.0,,,,,999.0,8.0,499.5,,,,,,,,,499.5,False
BOX_7,BOOK_15_TACTICAL,IMG_7336_output,Walcheren Island,Gun Emplacements,,,11903 820,23.0,10.0,4.0,,R,,235.0,,,,,999.0,4.0,606.0,,,,,,,,,606.0,False
