box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4922_output,Wels,Road Intersection,,,0000191,25.0,3.0,3.0,1104.0,15.0,489G,29.0,190.0,1.0,G,1.0,900.0,1.0,55.0,4.0,3.0,,,,,,,55.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4922_output,Wels,Road Intersection,,,0000191,25.0,3.0,3.0,1113.0,15.0,490G,28.0,200.0,1.0,P,1.0,963.0,1.0,12.0,4.0,3.0,,,,,,,12.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4922_output,Wels,Road Intersection,,,0000191,26.0,3.0,3.0,840.0,15.0,492G,28.0,212.0,1.0,P,1.0,900.0,1.0,53.0,4.0,3.0,,,,,,,53.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4922_output,Wels,Road Intersection,,,0000191,26.0,3.0,3.0,1053.0,15.0,462G,21.0,200.0,1.0,P,1.0,738.0,1.0,37.0,4.0,3.0,,,,,,,37.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4922_output,Wels,Road Intersection,,,0000191,26.0,3.0,3.0,1055.0,15.0,491G,27.0,220.0,1.0,G,1.0,972.0,1.0,49.0,4.0,3.0,,,,,,,49.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4922_output,Wels,Road Intersection,,,0000191,26.0,3.0,3.0,1110.0,15.0,483G,28.0,215.0,1.0,P,1.0,,,,,,,,,977.0,7.0,57.0,57.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4922_output,Wels,Road Intersection,,,0000191,26.0,3.0,3.0,1523.0,15.0,465G,6.0,180.0,1.0,P,2.0,108.0,2.0,14.0,4.0,3.0,,,,,,,14.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4922_output,Wels,Road Intersection,,,0000191,30.0,3.0,3.0,1120.0,15.0,449G,3.0,220.0,7.0,P,3.0,15.0,3.0,4.0,4.0,2.0,,,,,,,4.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4922_output,Wels,Road Intersection,,,0000191,31.0,3.0,3.0,1123.0,15.0,449G,2.0,230.0,2.0,P,3.0,15.0,3.0,4.0,4.0,92.0,,,,,,,4.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4922_output,Wels,Road Intersection,,,0000191,31.0,3.0,3.0,1130.0,15.0,483G,1.0,290.0,3.0,P,1.0,6.0,3.0,2.0,4.0,2.0,,,,,,,2.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4921_output,Wels,Road Intersection,4810N,1402E,0000189,30.0,5.0,4.0,1036.0,15.0,484G,36.0,200.0,7.0,G,1.0,324.0,3.0,81.0,4.0,3.0,,,,,,,81.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3638_output,Wels,Airdrome,4810N,1402E,2905 780,30.0,5.0,4.0,1038.0,15.0,454G,34.0,191.0,7.0,G,1.0,,,,,,,,,999.0,2.0,9.99,9.99,False
