box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4357_output,WERL,AI ROROME,5133N,754E,48732 780,13-14,7.0,0.0,1200.0,R,448BG,1.0,180.0,1.0,N,1.0,7.0,2.0,1.0,4.0,2.0,60.0,2.0,0.12,,,,1.12,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4357_output,WERL,AI ROROME,5133N,754E,48732 780,09-10,8.0,2.0,1500.0,R,450BG,1.0,180.0,1.0,N,1.0,1.0,2.0,0.15,4.0,2.0,60.0,2.0,0.12,,,,0.27,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4357_output,WERL,AI ROROME,5133N,754E,48732 780,19,4.0,4.0,1025.0,8,447BG,9.0,202.0,1.0,N,1.0,90.0,3.0,22.5,4.0,2.0,800.0,10.0,59.0,,,,81.5,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4357_output,WERL,AI ROROME,5133N,754E,48732 780,19,4.0,4.0,1026.0,8,451BG,1.0,180.0,1.0,N,1.0,,,,,,840.0,7.0,29.0,,,,29.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4357_output,WERL,AI ROROME,5133N,754E,48732 780,19,4.0,4.0,1026.0,8,453BG,7.0,180.0,1.0,N,1.0,70.0,3.0,18.0,4.0,2.0,,,,,,,18.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4357_output,WERL,AI ROROME,5133N,754E,48732 780,19,4.0,4.0,1026.0,8,454BG,8.0,190.0,1.0,N,1.0,310.0,3.0,78.0,4.0,2.0,,,,,,,78.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4357_output,WERL,AI ROROME,5133N,754E,48732 780,19,4.0,4.0,1028.0,8,455BG,25.0,180.0,1.0,N,1.0,250.0,3.0,63.0,4.0,2.0,,,,,,,63.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4357_output,WERL,AI ROROME,5133N,754E,48732 780,19,4.0,4.0,1029.0,8,452BG,1.0,170.0,1.0,N,1.0,70.0,3.0,18.0,4.0,2.0,857.0,7.0,30.0,,,,48.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2469_output,WERL,UNIDENTIFIED TARGET,5133N,754E,48732,19.0,4.0,4.0,,8.0,466G,1.0,,,,4.0,40.0,1.0,2.0,4.0,2.0,,,,,,,2.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2470_output,WERL,WERNINGHOFF UNIDENTIFIED T,51245,1419E,48733,16.0,1.0,5.0,,8.0,392BG,8.0,,,N,3.0,3.0,3.0,0.9,4.0,3.0,2.0,5.0,0.1,,,,1.0,False
