box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6613_output,Westerholt,Marshalling Yard,4874N,0630E,1060,01-02,9.0,0.0,,R,,1.0,,,,,13.0,2.0,2.0,,,,,,,,,2.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6613_output,Westerholt,Marshalling Yard,4874N,0630E,1060,03,9.0,0.0,,R,,1.0,,,,,13.0,2.0,2.0,,,60.0,2.0,0.12,,,,2.12,False
BOX_7,BOOK_15_TACTICAL,IMG_7633_output,Westerholt,Hutted Camp,53045,810E,48742 800,21.0,3.0,5.0,1222.0,8.0,379BG,13.0,243.0,1.0,N,1.0,404.0,1.0,22.0,1.0,3.0,26.0,12.0,7.0,,,,29.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7633_output,Westerholt,Hutted Camp,53045,810E,48742 800,21.0,3.0,5.0,1222.0,8.0,379CG,12.0,262.0,1.0,N,1.0,404.0,1.0,20.0,1.0,91.0,26.0,6.0,6.5,,,,26.5,False
BOX_7,BOOK_15_TACTICAL,IMG_7633_output,Westerholt,Hutted Camp,53045,810E,48742 800,21.0,3.0,5.0,1228.0,8.0,303CG,13.0,260.0,1.0,N,1.0,430.0,1.0,22.0,1.0,91.0,26.0,6.0,6.5,,,,28.5,False
BOX_7,BOOK_15_TACTICAL,IMG_7633_output,Westerholt,Hutted Camp,53045,810E,48742 800,21.0,3.0,5.0,1237.0,8.0,303CG,1.0,250.0,1.0,N,1.0,10.0,3.0,3.0,4.0,3.0,,,,,,,3.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7633_output,Westerholt,Hutted Camp,53045,810E,48742 800,22.0,3.0,5.0,128.0,8.0,303AG,13.0,252.0,1.0,N,1.0,439.0,1.0,22.0,1.0,91.0,26.0,12.0,7.0,,,,29.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7633_output,Westerholt,Hutted Camp,53045,810E,48742 800,22.0,3.0,5.0,1221.0,8.0,379AG,13.0,250.0,1.0,N,1.0,438.0,1.0,22.0,1.0,3.0,26.0,12.0,7.0,,,,29.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7633_output,Westerholt,Hutted Camp,53045,810E,48742 800,22.0,3.0,5.0,1229.0,8.0,303BG,12.0,240.0,1.0,N,1.0,,,,,,,,,220.0,5.0,28.0,28.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7633_output,Westerholt,Hutted Camp,53045,810E,48742 800,22.0,3.0,5.0,1229.0,8.0,384AG,12.0,249.0,1.0,N,1.0,407.0,1.0,20.0,1.0,3.0,26.0,6.0,6.5,,,,26.5,False
BOX_7,BOOK_15_TACTICAL,IMG_7633_output,Westerholt,Hutted Camp,53045,810E,48742 800,22.0,3.0,5.0,1230.0,8.0,384BG,12.0,242.0,1.0,N,1.0,429.0,1.0,21.0,1.0,3.0,26.0,12.0,7.0,,,,28.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7633_output,Westerholt,Hutted Camp,53045,810E,48742 800,23.0,3.0,5.0,1231.0,8.0,384CG,13.0,255.0,1.0,N,1.0,435.0,1.0,22.0,1.0,91.0,25.0,6.0,6.0,,,,28.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6612_output,Westerholt,Marshalling Yard,5304N,810E,48742,23.0,3.0,5.0,1337.0,8.0,351CG,13.0,244.0,1.0,N,3.0,155.0,3.0,39.0,4.0,3.0,,,,,,,39.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7633_output,Westerholt,Hutted Camp,53045,810E,48742 800,26.0,3.0,5.0,1235.0,8.0,384G,12.0,250.0,1.0,N,1.0,438.0,1.0,21.9,1.0,91.0,,,,,,,21.9,False
