box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2484_output,Wetzlar,Unidentified Target,533N,830E,48747 20,21.0,7.0,1.0,424.0,8.0,388AG,10.0,222.0,1.0,N,2.0,10.0,3.0,3.0,4.0,3.0,,,,,,,3.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2484_output,Wetzlar,Unidentified Target,533N,830E,48747 20,21.0,7.0,1.0,1205.0,8.0,388BG,3.0,211.0,1.0,N,2.0,30.0,3.0,8.0,4.0,3.0,,,,,,,8.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2483_output,Wetzlar,Unidentified Target,533N,830E,48747 10,28.0,5.0,4.0,1430.0,8.0,487G,10.0,267.0,3.0,N,4.0,438.0,1.0,22.0,4.0,1.0,,,,,,,22.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2484_output,Wetzlar,Unidentified Target,533N,830E,48747 20,20.0,7.0,4.0,424.0,8.0,388AG,17.0,233.0,1.0,N,2.0,318.0,2.0,40.0,1.0,3.0,,,,,,,40.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2484_output,Wetzlar,Unidentified Target,533N,830E,48747 20,20.0,7.0,4.0,1202.0,9.0,452AG,2.0,221.0,1.0,N,2.0,278.0,2.0,35.0,1.0,3.0,,,,,,,35.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2484_output,Wetzlar,Unidentified Target,533N,830E,48747 20,20.0,7.0,4.0,1205.0,9.0,452BG,5.0,211.0,1.0,N,2.0,120.0,3.0,30.0,4.0,3.0,,,,,,,30.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6615_output,Wetzlar,Communications,533N,830E,48747 600,20.0,7.0,4.0,,8.0,96G,2.0,,,N,2.0,12.0,3.0,3.0,4.0,1.0,,,,,,,3.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6616_output,Wetzlar,Marshalling Yard,533N,830E,48747 630,19.0,9.0,4.0,1359.0,8.0,490CG,12.0,247.0,1.0,N,3.0,138.0,3.0,35.0,4.0,3.0,,,,,,,35.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2483_output,Wetzlar,Unidentified Target,533N,830E,48747 10,22.0,9.0,4.0,1440.0,8.0,401AG,10.0,269.0,3.0,N,2.0,59.0,3.0,15.0,4.0,2.0,60.0,6.0,15.0,,,,30.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2482_output,Wetzlar,Unidentified Target,533N,830E,48747 10,22.0,9.0,4.0,1443.0,8.0,398CG,11.0,276.0,3.0,N,4.0,50.0,3.0,15.0,4.0,2.0,66.0,6.0,16.5,,,,31.5,False
