box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2488_output,WIESBADEN,Unidentified Target,54N,814E,48750 20,22,7.0,1.0,1910.0,R,,1.0,225.0,,,,3.0,3.0,1.0,,,,,,,,,1.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2488_output,WIESBADEN,Unidentified Target,54N,814E,48750 20,22-23,7.0,1.0,1900.0,R,,1.0,225.0,,,,2.0,4.0,1.0,,,120.0,2.0,0.24,,,,1.24,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2488_output,WIESBADEN,Unidentified Target,54N,814E,48750 20,22-23,7.0,1.0,1915.0,R,,1.0,225.0,,,,1.0,2.0,0.15,,,,,,,,,0.15,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2488_output,WIESBADEN,Unidentified Target,54N,814E,48750 20,06-07,8.0,1.0,2016.0,R,,1.0,225.0,,,,2.0,4.0,1.0,,,,,,,,,1.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2488_output,WIESBADEN,Unidentified Target,54N,814E,48750 20,06-07,8.0,1.0,2016.0,R,,1.0,225.0,,,,3.0,3.0,1.0,,,,,,,,,1.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2488_output,WIESBADEN,Unidentified Target,54N,814E,48750 20,06-07,8.0,1.0,2016.0,R,,1.0,225.0,,,,2.0,2.0,0.3,,,,,,,,,0.3,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2488_output,WIESBADEN,Unidentified Target,54N,814E,48750 20,29,8.0,1.0,2100.0,R,,1.0,225.0,,,,2.0,5.0,2.0,,,120.0,2.0,0.24,,,,2.24,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2488_output,WIESBADEN,Unidentified Target,54N,814E,48750 20,29,8.0,1.0,2200.0,R,,1.0,225.0,,,,6.0,3.0,2.0,,,,,,,,,2.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2488_output,WIESBADEN,Unidentified Target,54N,814E,48750 20,29-30,8.0,1.0,2230.0,R,,1.0,225.0,,,,1.0,4.0,0.55,,,,,,,,,0.55,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2489_output,WIESBADEN,Unidentified Target,54N,814E,48750 20,20,11.0,1.0,1846.0,R,,31.0,250.0,,,,17.0,4.0,7.0,,,,,,,,,7.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2489_output,WIESBADEN,Unidentified Target,54N,814E,48750 20,20,11.0,1.0,1846.0,R,,31.0,250.0,,,,37.0,3.0,9.25,,,,,,,,,9.25,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2488_output,WIESBADEN,Unidentified Target,54N,814E,48750 20,28,8.0,2.0,,R,,1.0,225.0,,,,1.0,6.0,2.0,,,500.0,2.0,1.0,,,,3.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2488_output,WIESBADEN,Unidentified Target,54N,814E,48750 20,28-29,8.0,2.0,30.0,R,,1.0,225.0,,,,1.0,6.0,2.0,,,,,,,,,2.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2488_output,WIESBADEN,Unidentified Target,54N,814E,48750 20,08-09,9.0,2.0,130.0,R,,1.0,225.0,,,,4.0,5.0,4.0,,,,,,,,,4.0,False
