box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_7,BOOK_17_NAVAL,IMG_8121_output,WILHELMSHAVEN,NAVAL BASE,5332N,808E,48752 700,08-09,1.0,0.0,,R,,4.0,,,,,12.0,3.0,3.0,,,1500.0,2.0,3.0,,,,6.0,False
BOX_7,BOOK_17_NAVAL,IMG_8121_output,WILHELMSHAVEN,NAVAL BASE,5332N,808E,48752 700,8,1.0,0.0,,R,,4.0,,,,,8.0,2.0,1.0,,,,,,,,,1.0,False
BOX_7,BOOK_17_NAVAL,IMG_8118_output,WILHELMSHAVEN,NAVAL BASE,5332N,808E,48752 700,04,7.0,0.0,,R,,5.0,,,,,9.0,3.0,2.0,,,120.0,2.0,0.24,,,,2.24,False
BOX_7,BOOK_17_NAVAL,IMG_8118_output,WILHELMSHAVEN,NAVAL BASE,5332N,808E,48752 700,04-05,7.0,0.0,,R,,4.0,,,,,28.0,7.0,7.0,,,,,,,,,7.0,False
BOX_7,BOOK_17_NAVAL,IMG_8118_output,WILHELMSHAVEN,NAVAL BASE,5332N,808E,48752 700,04-05,7.0,0.0,,R,,5.0,,,,,10.0,2.0,1.0,,,,,,,,,1.0,False
BOX_7,BOOK_17_NAVAL,IMG_8118_output,WILHELMSHAVEN,NAVAL BASE,5332N,808E,48752 700,04-05,7.0,0.0,,R,,2.0,,,,,6.0,3.0,2.0,,,120.0,2.0,0.24,,,,2.24,False
BOX_7,BOOK_17_NAVAL,IMG_8118_output,WILHELMSHAVEN,NAVAL BASE,5332N,808E,48752 700,05-06,7.0,0.0,,R,,6.0,,,,,4.0,7.0,1.0,,,,,,,,,1.0,False
BOX_7,BOOK_17_NAVAL,IMG_8118_output,WILHELMSHAVEN,NAVAL BASE,5332N,808E,48752 700,05-06,7.0,0.0,,R,,6.0,,,,,4.0,3.0,1.0,,,,,,,,,1.0,False
BOX_7,BOOK_17_NAVAL,IMG_8118_output,WILHELMSHAVEN,NAVAL BASE,5332N,808E,48752 700,05-06,7.0,0.0,,R,,6.0,,,,,4.0,2.0,0.6,,,,,,,,,0.6,False
BOX_7,BOOK_17_NAVAL,IMG_8118_output,WILHELMSHAVEN,NAVAL BASE,5332N,808E,48752 700,05-06,7.0,0.0,,R,,4.0,,,,,8.0,3.0,2.0,,,120.0,2.0,0.24,,,,2.24,False
BOX_7,BOOK_17_NAVAL,IMG_8118_output,WILHELMSHAVEN,NAVAL BASE,5332N,808E,48752 700,05-06,7.0,0.0,,R,,4.0,,,,,20.0,2.0,3.0,,,,,,,,,3.0,False
BOX_7,BOOK_17_NAVAL,IMG_8118_output,WILHELMSHAVEN,NAVAL BASE,5332N,808E,48752 700,05-06,7.0,0.0,,R,,3.0,,,,,10.0,3.0,3.0,,,,,,,,,3.0,False
BOX_7,BOOK_17_NAVAL,IMG_8118_output,WILHELMSHAVEN,NAVAL BASE,5332N,808E,48752 700,05-06,7.0,0.0,,R,,2.0,,,,,4.0,3.0,1.0,,,120.0,2.0,0.24,,,,1.24,False
BOX_7,BOOK_17_NAVAL,IMG_8118_output,WILHELMSHAVEN,NAVAL BASE,5332N,808E,48752 700,05-06,7.0,0.0,,R,,2.0,,,,,6.0,4.0,3.0,,,,,,,,,3.0,False
BOX_7,BOOK_17_NAVAL,IMG_8118_output,WILHELMSHAVEN,NAVAL BASE,5332N,808E,48752 700,07-08,7.0,0.0,,R,,11.0,,,,,11.0,5.0,11.0,,,,,,,,,11.0,False
BOX_7,BOOK_17_NAVAL,IMG_8118_output,WILHELMSHAVEN,NAVAL BASE,5332N,808E,48752 700,07-08,7.0,0.0,,R,,1.0,,,,,2.0,3.0,0.6,,,60.0,2.0,0.12,,,,0.72,False
BOX_7,BOOK_17_NAVAL,IMG_8118_output,WILHELMSHAVEN,NAVAL BASE,5332N,808E,48752 700,07-08,7.0,0.0,,R,,2.0,,,,,2.0,2.0,0.3,,,,,,,,,0.3,False
BOX_7,BOOK_17_NAVAL,IMG_8118_output,WILHELMSHAVEN,NAVAL BASE,5332N,808E,48752 700,08-09,7.0,0.0,,R,,3.0,,,,,27.0,3.0,7.0,,,,,,,,,7.0,False
BOX_7,BOOK_17_NAVAL,IMG_8118_output,WILHELMSHAVEN,NAVAL BASE,5332N,808E,48752 700,08-09,7.0,0.0,,R,,4.0,,,,,15.0,4.0,7.0,,,,,,,,,7.0,False
