box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_7,BOOK_17_NAVAL,IMG_8207_output,WILLEMSOORD,DOCKS CANALS BARGES,,,95908 710,24-25,6.0,0.0,,R,,14.0,,,,,2.0,3.0,0.6,,,1500.0,2.0,3.0,,,,3.6,False
BOX_7,BOOK_17_NAVAL,IMG_8207_output,WILLEMSOORD,DOCKS CANALS BARGES,,,95908 710,26-27,6.0,0.0,,R,,14.0,,,,,116.0,3.0,31.0,,,1500.0,2.0,3.0,,,,34.0,False
BOX_7,BOOK_17_NAVAL,IMG_8207_output,WILLEMSOORD,DOCKS CANALS BARGES,,,95908 710,26-27,6.0,0.0,,R,,1.0,,,,,8.0,2.0,1.0,,,180.0,2.0,0.36,,,,1.36,False
BOX_7,BOOK_17_NAVAL,IMG_8207_output,WILLEMSOORD,DOCKS CANALS BARGES,,,95908 710,11-12,10.0,0.0,,R,,1.0,,,,,4.0,3.0,1.0,,,,,,,,,1.0,False
BOX_7,BOOK_17_NAVAL,IMG_8207_output,WILLEMSOORD,DOCKS CANALS BARGES,,,95908 710,11-12,10.0,0.0,,R,,1.0,,,,,5.0,11.0,1.0,,,,,,,,,1.0,False
BOX_7,BOOK_17_NAVAL,IMG_8207_output,WILLEMSOORD,DOCKS CANALS BARGES,,,95908 710,13,11.0,0.0,,R,,1.0,,,,,4.0,2.0,0.6,,,,,,,,,0.6,False
BOX_7,BOOK_17_NAVAL,IMG_8207_output,WILLEMSOORD,DOCKS CANALS BARGES,,,95908 710,13,11.0,0.0,,R,,1.0,,,,,4.0,3.0,1.0,,,180.0,2.0,0.36,,,,1.36,False
BOX_7,BOOK_17_NAVAL,IMG_8207_output,WILLEMSOORD,DOCKS CANALS BARGES,,,95908 710,13,11.0,0.0,,R,,1.0,,,,,6.666666666666667,2.0,1.0,,,,,,,,,1.0,False
BOX_7,BOOK_17_NAVAL,IMG_8207_output,WILLEMSOORD,DOCKS CANALS BARGES,,,95908 710,13-14,12.0,0.0,,R,,1.0,,,,,2.0,3.0,0.6,,,360.0,2.0,0.72,,,,1.3199999999999998,False
BOX_7,BOOK_17_NAVAL,IMG_8207_output,WILLEMSOORD,DOCKS CANALS BARGES,,,95908 710,13-14,12.0,0.0,,R,,1.0,,,,,6.666666666666667,2.0,1.0,,,500.0,2.0,1.0,,,,2.0,False
