box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2501_output,Wittenberg,City Area,5152N,1238E,48760,18.0,1.0,4.0,1502.0,8.0,401G,16.0,258.0,1.0,N,3.0,,,,,,670.0,5.0,33.5,,,,33.5,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2501_output,Wittenberg,City Area,5152N,1238E,48760,19.0,4.0,4.0,1524.0,8.0,458G,23.0,195.0,1.0,N,3.0,280.0,1.0,14.0,4.0,3.0,670.0,7.0,23.0,,,,37.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2500_output,Wittenberg,Unidentified Target,5152N,1238E,48760 1 0,21.0,6.0,4.0,,8.0,92G,2.0,,,,3.0,16.0,3.0,4.0,4.0,3.0,4.0,6.0,1.0,,,,5.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6625_output,Wittenberg,Marshalling Yard,5152N,1238E,48760 630,29.0,6.0,4.0,928.0,8.0,94G,17.0,250.0,1.0,N,2.0,627.0,1.0,31.0,4.0,3.0,,,,,,,31.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6625_output,Wittenberg,Marshalling Yard,5152N,1238E,48760 630,29.0,6.0,4.0,931.0,8.0,96G,16.0,235.0,1.0,N,2.0,155.0,3.0,39.0,4.0,3.0,,,,,,,39.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6625_output,Wittenberg,Marshalling Yard,5152N,1238E,48760 630,29.0,6.0,4.0,931.0,8.0,388G,16.0,234.0,1.0,N,2.0,308.0,2.0,39.0,4.0,3.0,,,,,,,39.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6625_output,Wittenberg,Marshalling Yard,5152N,1238E,48760 630,29.0,6.0,4.0,932.0,8.0,452G,8.0,240.0,1.0,N,2.0,159.0,2.0,20.0,4.0,3.0,,,,,,,20.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6625_output,Wittenberg,Marshalling Yard,5152N,1238E,48760 630,29.0,6.0,4.0,1200.0,8.0,96G,68.0,233.0,1.0,N,2.0,136.0,2.0,17.0,4.0,3.0,,,,,,,17.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6625_output,Wittenberg,Marshalling Yard,5152N,1238E,48760 630,29.0,6.0,4.0,1430.0,8.0,96AG,3.0,230.0,1.0,N,2.0,18.0,3.0,5.0,4.0,2.0,,,,,,,5.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6625_output,Wittenberg,Marshalling Yard,5152N,1238E,48760 630,29.0,6.0,4.0,1430.0,8.0,457G,7.0,235.0,1.0,N,3.0,136.0,2.0,17.0,4.0,2.0,,,,,,,17.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6625_output,Wittenberg,Marshalling Yard,5152N,1238E,48760 630,29.0,6.0,4.0,1430.0,8.0,461G,10.0,224.0,1.0,N,3.0,120.0,2.0,15.0,4.0,3.0,,,,,,,15.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6625_output,Wittenberg,Marshalling Yard,5152N,1238E,48760 630,29.0,6.0,4.0,1434.0,8.0,94G,1.0,240.0,1.0,N,2.0,20.0,1.0,1.0,4.0,3.0,,,,,,,1.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6625_output,Wittenberg,Marshalling Yard,5152N,1238E,48760 630,29.0,6.0,4.0,1459.0,8.0,453G,9.0,210.0,1.0,N,3.0,,,,,,8.0,6.0,2.0,,,,2.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2500_output,Wittenberg,Unidentified Target,5152N,1238E,48760 1 0,26.0,2.0,5.0,,9.0,95G,1.0,,,,3.0,8.0,3.0,2.0,4.0,3.0,,,,,,,2.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2500_output,Wittenberg,Unidentified Target,5152N,1238E,48760 1 0,28.0,2.0,5.0,,9.0,97G,3.0,,,,3.0,1.0,3.0,0.3,4.0,3.0,5.0,6.0,1.25,,,,1.55,False
