box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6629_output,Wittlich,Marshalling Yard,5310N,1229E,48763 630,24.0,12.0,4.0,1400.0,8.0,44G,2.0,220.0,1.0,N,1.0,24.0,2.0,3.0,1.0,3.0,,,,,,,3.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6629_output,Wittlich,Marshalling Yard,5310N,1229E,48763 630,24.0,12.0,4.0,1430.0,8.0,491BG,11.0,220.0,1.0,N,1.0,242.0,2.0,30.0,1.0,3.0,5.0,7.0,0.21,,,,30.21,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6629_output,Wittlich,Marshalling Yard,5310N,1229E,48763 630,24.0,12.0,4.0,1430.0,8.0,491CG,9.0,220.0,1.0,N,1.0,216.0,2.0,27.0,1.0,3.0,5.0,7.0,0.21,,,,27.21,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6629_output,Wittlich,Marshalling Yard,5310N,1229E,48763 630,24.0,12.0,4.0,1431.0,8.0,491AG,10.0,220.0,1.0,N,1.0,212.0,2.0,27.0,1.0,3.0,2.0,7.0,0.084,,,,27.084,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6629_output,Wittlich,Marshalling Yard,5310N,1229E,48763 630,24.0,12.0,4.0,1500.0,8.0,491G,11.0,220.0,1.0,N,1.0,247.0,2.0,31.0,1.0,3.0,3.0,7.0,0.126,,,,31.126,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6629_output,Wittlich,Marshalling Yard,5310N,1229E,48763 630,24.0,12.0,4.0,1530.0,8.0,491G,9.0,220.0,1.0,N,1.0,200.0,2.0,25.0,1.0,3.0,3.0,7.0,0.126,,,,25.126,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6629_output,Wittlich,Marshalling Yard,5310N,1229E,48763 630,25.0,12.0,4.0,600.0,8.0,44G,10.0,220.0,1.0,N,1.0,180.0,2.0,23.0,1.0,3.0,,,,,,,23.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6629_output,Wittlich,Marshalling Yard,5310N,1229E,48763 630,26.0,12.0,4.0,1500.0,8.0,44G,62.0,220.0,1.0,N,1.0,23.0,2.0,2.875,1.0,3.0,,,,,,,2.875,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6628_output,Wittlich,Comm Center,4959N,654E,48763 600,29.0,12.0,4.0,1301.0,8.0,379BG,13.0,213.0,5.0,N,1.0,230.0,2.0,29.0,4.0,3.0,,,,,,,29.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6628_output,Wittlich,Comm Center,4959N,654E,48763 600,29.0,12.0,4.0,1303.0,8.0,91AG,12.0,225.0,3.0,N,1.0,216.0,2.0,27.0,4.0,3.0,,,,,,,27.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6628_output,Wittlich,Comm Center,4959N,654E,48763 600,29.0,12.0,4.0,1322.0,8.0,379AG,13.0,220.0,5.0,N,1.0,230.0,2.0,29.0,4.0,3.0,,,,,,,29.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6628_output,Wittlich,Comm Center,4959N,654E,48763 600,29.0,12.0,4.0,1330.0,8.0,379CG,12.0,236.0,1.0,N,3.0,212.0,2.0,26.5,4.0,3.0,,,,,,,26.5,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6628_output,Wittlich,Comm Center,4959N,654E,48763 600,8.0,1.0,5.0,1130.0,9.0,466AG,3.0,225.0,3.0,N,1.0,30.0,3.0,8.0,4.0,3.0,,,,,,,8.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6628_output,Wittlich,Comm Center,4959N,654E,48763 600,8.0,1.0,5.0,1400.0,9.0,466CG,6.0,225.0,3.0,N,1.0,66.0,3.0,17.0,4.0,3.0,,,,,,,17.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6628_output,Wittlich,Comm Center,4959N,654E,48763 600,8.0,1.0,5.0,1434.0,9.0,466BG,5.0,223.0,3.0,N,1.0,40.0,3.0,14.0,4.0,3.0,,,,,,,14.0,False
