box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_3,BOOK_8_WEAPON,IMG_3534_output,Wizernes,No Ball,5042N,214E,44728 850,26.0,3.0,3.0,1000.0,8.0,303G,20.0,210.0,7.0,G,1.0,100.0,4.0,50.0,4.0,4.0,,,,,,,50.0,False
BOX_3,BOOK_8_WEAPON,IMG_3534_output,Wizernes,No Ball,5042N,214E,44728 850,26.0,3.0,3.0,1805.0,8.0,380G,20.0,205.0,7.0,G,1.0,228.0,3.0,57.0,4.0,3.0,,,,,,,57.0,False
BOX_3,BOOK_8_WEAPON,IMG_3534_output,Wizernes,No Ball,5042N,214E,44728 850,26.0,3.0,3.0,1805.0,8.0,379G,21.0,220.0,7.0,G,1.0,100.0,4.0,50.0,4.0,4.0,,,,,,,50.0,False
BOX_3,BOOK_8_WEAPON,IMG_3534_output,Wizernes,No Ball,5042N,214E,44728 850,17.0,3.0,4.0,400.0,8.0,383G,5.0,220.0,3.0,N,1.0,30.0,4.0,15.0,4.0,3.0,,,,,,,15.0,False
BOX_3,BOOK_8_WEAPON,IMG_3534_output,Wizernes,No Ball,5042N,214E,44728 850,19.0,3.0,4.0,1757.0,8.0,303G,20.0,220.0,7.0,P,1.0,240.0,3.0,60.0,4.0,3.0,,,,,,,60.0,False
BOX_3,BOOK_8_WEAPON,IMG_3534_output,Wizernes,No Ball,5042N,214E,44728 850,19.0,3.0,4.0,1800.0,8.0,379G,20.0,230.0,1.0,G,1.0,240.0,3.0,60.0,4.0,3.0,,,,,,,60.0,False
BOX_3,BOOK_8_WEAPON,IMG_3534_output,Wizernes,No Ball,5042N,214E,44728 850,17.0,4.0,4.0,1610.0,8.0,467G,9.0,217.0,3.0,N,1.0,72.0,4.0,36.0,4.0,2.0,,,,,,,36.0,False
BOX_3,BOOK_8_WEAPON,IMG_3534_output,Wizernes,No Ball,5042N,214E,44728 850,20.0,4.0,4.0,1902.0,8.0,389G,20.0,210.0,1.0,N,1.0,208.0,4.0,104.0,4.0,3.0,,,,,,,104.0,False
BOX_3,BOOK_8_WEAPON,IMG_3534_output,Wizernes,No Ball,5042N,214E,44728 850,20.0,4.0,4.0,1902.0,8.0,445G,30.0,200.0,1.0,N,1.0,208.0,4.0,104.0,4.0,3.0,,,,,,,104.0,False
BOX_3,BOOK_8_WEAPON,IMG_3534_output,Wizernes,No Ball,5042N,214E,44728 850,20.0,4.0,4.0,1902.0,8.0,453G,40.0,200.0,1.0,N,1.0,64.0,4.0,32.0,4.0,3.0,,,,,,,32.0,False
