box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3810_output,Zagreb,Airdrome,4549N,1558E,544,22.0,2.0,0.0,410.0,15.0,002G,10.0,228.0,7.0,C,1.0,120.0,3.0,30.0,4.0,3.0,,,,,,,30.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3810_output,Zagreb,Airdrome,4549N,1558E,544,22.0,2.0,0.0,410.0,15.0,099G,18.0,228.0,1.0,P,2.0,216.0,3.0,54.0,4.0,3.0,,,,,,,54.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3810_output,Zagreb,Airdrome,4549N,1558E,544,11.0,4.0,0.0,930.0,15.0,460G,29.0,203.0,7.0,P,1.0,,,,,,,,,360.0,2.0,3.6,3.6,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3810_output,Zagreb,Airdrome,4549N,1558E,544,11.0,4.0,0.0,930.0,15.0,462G,30.0,200.0,7.0,P,1.0,,,,,,,,,900.0,2.0,9.0,9.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3810_output,Zagreb,Airdrome,4549N,1558E,544,12.0,4.0,0.0,930.0,15.0,463G,33.0,195.0,7.0,P,1.0,322.0,3.0,81.0,4.0,3.0,,,,1300.0,2.0,13.0,94.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3810_output,Zagreb,Airdrome,4549N,1558E,544,1.0,6.0,0.0,1014.0,15.0,470G,27.0,225.0,7.0,G,1.0,,,,,,,,,800.0,2.0,8.0,8.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3810_output,Zagreb,Airdrome,4549N,1558E,544,30.0,6.0,0.0,935.0,15.0,467G,12.0,222.0,7.0,P,1.0,,,,,,,,,560.0,2.0,6.0,6.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3810_output,Zagreb,Airdrome,4549N,1558E,544,30.0,6.0,0.0,935.0,15.0,468G,6.0,220.0,1.0,P,3.0,72.0,3.0,18.0,4.0,3.0,,,,414.0,2.0,4.0,22.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3810_output,Zagreb,Airdrome,4549N,1558E,544,30.0,6.0,0.0,937.0,15.0,466G,24.0,210.0,7.0,P,1.0,,,,,,,,,800.0,2.0,5.0,5.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_5243_output,Zagreb,Marshalling Yards,4549N,1558E,14975 630,14.0,4.0,3.0,1237.0,15.0,376G,8.0,224.0,1.0,G,2.0,39.0,4.0,20.0,4.0,1.0,,,,,,,20.0,False
