box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_7,BOOK_17_NAVAL,IMG_7845_output,ZEBRUGGE,DOCKS CANALS BARGES,,,3985 710,02-03,7.0,0.0,,R,,1.0,,,,,7.0,2.0,1.0,,,60.0,2.0,0.12,,,,1.12,False
BOX_7,BOOK_17_NAVAL,IMG_7845_output,ZEBRUGGE,DOCKS CANALS BARGES,,,3985 710,16,9.0,0.0,,R,,2.0,,,,,4.0,2.0,0.6,,,,,,,,,0.6,False
BOX_7,BOOK_17_NAVAL,IMG_7845_output,ZEBRUGGE,DOCKS CANALS BARGES,,,3985 710,16,9.0,0.0,,R,,1.0,,,,,6.666666666666667,2.0,1.0,,,,,,,,,1.0,False
BOX_7,BOOK_17_NAVAL,IMG_7845_output,ZEBRUGGE,DOCKS CANALS BARGES,,,3985 710,17-18,9.0,0.0,,R,,1.0,,,,,11.0,2.0,1.0,,,60.0,2.0,0.12,,,,1.12,False
BOX_7,BOOK_17_NAVAL,IMG_7845_output,ZEBRUGGE,DOCKS CANALS BARGES,,,3985 710,17-18,9.0,0.0,,R,,2.0,,,,,12.0,3.0,3.0,,,,,,,,,3.0,False
BOX_7,BOOK_17_NAVAL,IMG_7845_output,ZEBRUGGE,DOCKS CANALS BARGES,,,3985 710,17-18,9.0,0.0,,R,,1.0,,,,,20.0,2.0,3.0,,,,,,,,,3.0,False
BOX_7,BOOK_17_NAVAL,IMG_7845_output,ZEBRUGGE,DOCKS CANALS BARGES,,,3985 710,17-18,9.0,0.0,,R,,3.0,,,,,40.0,2.0,6.0,,,,,,,,,6.0,False
BOX_7,BOOK_17_NAVAL,IMG_7845_output,ZEBRUGGE,DOCKS CANALS BARGES,,,3985 710,17-18,9.0,0.0,,R,,9.0,,,,,12.0,2.0,1.8,,,,,,,,,1.8,False
BOX_7,BOOK_17_NAVAL,IMG_7845_output,ZEBRUGGE,DOCKS CANALS BARGES,,,3985 710,18-19,9.0,0.0,,R,,7.0,,,,,13.0,3.0,3.0,,,,,,,,,3.0,False
BOX_7,BOOK_17_NAVAL,IMG_7845_output,ZEBRUGGE,DOCKS CANALS BARGES,,,3985 710,19,9.0,0.0,,R,,1.0,,,,,13.0,2.0,2.0,,,,,,,,,2.0,False
BOX_7,BOOK_17_NAVAL,IMG_7845_output,ZEBRUGGE,DOCKS CANALS BARGES,,,3985 710,19,9.0,0.0,,R,,5.0,,,,,42.0,2.0,5.0,,,,,,,,,5.0,False
BOX_7,BOOK_17_NAVAL,IMG_7845_output,ZEBRUGGE,DOCKS CANALS BARGES,,,3985 710,20-21,9.0,0.0,,R,,1.0,,,,,8.0,2.0,1.0,,,,,,,,,1.0,False
BOX_7,BOOK_17_NAVAL,IMG_7845_output,ZEBRUGGE,DOCKS CANALS BARGES,,,3985 710,21,9.0,0.0,,R,,1.0,,,,,8.0,2.0,1.0,,,,,,,,,1.0,False
BOX_7,BOOK_17_NAVAL,IMG_7845_output,ZEBRUGGE,DOCKS CANALS BARGES,,,3985 710,22,9.0,0.0,,R,,6.0,,,,,24.0,2.0,3.0,,,,,,,,,3.0,False
BOX_7,BOOK_17_NAVAL,IMG_7845_output,ZEBRUGGE,DOCKS CANALS BARGES,,,3985 710,22-23,9.0,0.0,,R,,6.0,,,,,24.0,2.0,3.0,,,,,,,,,3.0,False
BOX_7,BOOK_17_NAVAL,IMG_7845_output,ZEBRUGGE,DOCKS CANALS BARGES,,,3985 710,07-08,10.0,0.0,,R,,1.0,,,,,4.0,2.0,0.6,,,,,,,,,0.6,False
BOX_7,BOOK_17_NAVAL,IMG_7845_output,ZEBRUGGE,DOCKS CANALS BARGES,,,3985 710,15-16,10.0,0.0,,R,,1.0,,,,,4.0,3.0,1.0,,,,,,,,,1.0,False
BOX_7,BOOK_17_NAVAL,IMG_7845_output,ZEBRUGGE,DOCKS CANALS BARGES,,,3985 710,15-16,10.0,0.0,,R,,1.0,,,,,5.0,11.0,1.0,,,60.0,2.0,0.12,,,,1.12,False
BOX_7,BOOK_17_NAVAL,IMG_7845_output,ZEBRUGGE,DOCKS CANALS BARGES,,,3985 710,7,10.0,0.0,,R,,1.0,,,,,8.0,2.0,1.0,,,,,,,,,1.0,False
BOX_7,BOOK_17_NAVAL,IMG_7845_output,ZEBRUGGE,DOCKS CANALS BARGES,,,3985 710,18,11.0,0.0,,R,,1.0,,,,,800.0,2.0,100.0,,,,,,,,,100.0,False
BOX_7,BOOK_17_NAVAL,IMG_7845_output,ZEBRUGGE,DOCKS CANALS BARGES,,,3985 710,19,11.0,0.0,,R,,1.0,,,,,12.0,2.0,1.5,,,,,,,,,1.5,False
BOX_7,BOOK_17_NAVAL,IMG_7845_output,ZEBRUGGE,DOCKS CANALS BARGES,,,3985 710,20,11.0,0.0,,R,,1.0,,,,,8.0,2.0,1.0,,,,,,,,,1.0,False
BOX_7,BOOK_17_NAVAL,IMG_7845_output,ZEBRUGGE,DOCKS CANALS BARGES,,,3985 710,21,12.0,0.0,,R,,1.0,,,,,4.0,2.0,0.6,,,,,,,,,0.6,False
BOX_7,BOOK_17_NAVAL,IMG_7845_output,ZEBRUGGE,DOCKS CANALS BARGES,,,3985 710,22,12.0,0.0,,R,,1.0,,,,,5.0,11.0,1.0,,,,,,,,,1.0,False
BOX_7,BOOK_17_NAVAL,IMG_7846_output,ZEBRUGGE,DOCKS CANALS BARGES,,,3985 710,11,1.0,1.0,,R,,1.0,,,,,4.0,2.0,0.6,,,,,,,,,0.6,False
