box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3682_output,Zeebrugge,Aerodrome,,4429,3985780,30,7.0,0.0,,R,,1.0,,,,,2.0,2.0,0.25,,,,,,,,,0.25,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3682_output,Zeebrugge,Aerodrome,,4429,3985780,30,7.0,0.0,,R,,1.0,,,,,12.0,2.0,1.5,,,,,,,,,1.5,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3682_output,Zeebrugge,Aerodrome,,4429,3985780,30,7.0,0.0,,R,,1.0,,,,,20.0,2.0,3.0,,,,,,,,,3.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3682_output,Zeebrugge,Aerodrome,,4429,3985780,30,7.0,0.0,,R,,1.0,,,,,25.0,2.0,3.125,,,,,,,,,3.125,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0753_output,Zeebrugge,AALESUND OIL TANKS,,,97001 530,27,4.0,1.0,,R,,4.0,,,,,16.0,2.0,2.0,,,,,,,,,2.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0753_output,Zeebrugge,AALESUND OIL TANKS,,,97001 530,28,4.0,1.0,,R,,4.0,,,,,16.0,2.0,2.0,,,,,,,,,2.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0753_output,Zeebrugge,AALESUND OIL TANKS,,,97001 530,29,4.0,1.0,,R,,4.0,,,,,16.0,2.0,2.0,,,,,,,,,2.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0751_output,Zeebrugge,Oil Tankerage,,,95981,03-04,5.0,1.0,,R,,1.0,,,,,1.0,4.0,0.55,,,,,,,,,0.55,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0751_output,Zeebrugge,Oil Tankerage,,,95981,03-04,5.0,1.0,,R,,1.0,,,,,6.0,4.0,3.0,,,,,,,,,3.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0751_output,Zeebrugge,Oil Tankerage,,,95981,12,5.0,1.0,,R,,1.0,,,,,8.0,6.0,16.0,,,,,,,,,16.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0751_output,Zeebrugge,Oil Tankerage,,,95981,7,5.0,1.0,,R,,1.0,,,,,7.0,4.0,3.0,,,,,,,,,3.0,False
BOX_7,BOOK_13_UTILITIES,IMG_7045_output,Zeebrugge,Power Station,,,398530,5.0,5.0,2.0,,R,,6.0,,,,,20.0,3.0,6.0,,,,,,,,,6.0,False
BOX_7,BOOK_13_UTILITIES,IMG_7045_output,Zeebrugge,Power Station,,,398530,5.0,5.0,2.0,,R,,6.0,,,,,18.0,3.0,5.0,,,2.0,31.0,0.03,,,,5.03,False
