box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3642_output,Zeltweg,ZURNDORF AIRDROME,4759N,1700E,2978 780,26.0,7.0,4.0,,15.0,301G,1.0,,7.0,N,3.0,6.0,4.0,3.0,4.0,3.0,,,,,,,3.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3641_output,Zeltweg,Airdrome,4711N,1444E,2973 780,16.0,10.0,4.0,800.0,15.0,98G,2.0,200.0,7.0,N,3.0,16.0,3.0,4.0,4.0,91.0,,,,,,,4.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3641_output,Zeltweg,Airdrome,4711N,1444E,2973 780,16.0,10.0,4.0,1430.0,15.0,465G,1.0,235.0,7.0,N,3.0,10.0,3.0,3.0,4.0,2.0,,,,,,,3.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4934_output,Zeltweg,Rail Instal,4711N,1444E,2973632,17.0,11.0,4.0,,15.0,459G,1.0,,7.0,N,3.0,10.0,3.0,3.0,4.0,92.0,,,,,,,3.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_1,IMG_1141_output,Zeltweg,Zeltweg Fragmentation Bombs Man Inst,4711N,1444E,2973 90,6,11.0,4.0,,15,2G,1.0,,7,N,3.0,1.0,3.0,0.25,4.0,2.0,,,,,,,0.25,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4931_output,Zeltweg,Bridge,4711N,1444E,2973 610,6.0,11.0,4.0,1035.0,15.0,483G,1.0,220.0,7.0,N,3.0,10.0,3.0,3.0,4.0,2.0,,,,,,,3.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_1,IMG_1140_output,Zeltweg,Fragmentation Bomb,4711N,1444E,2973,1-4,2.0,5.0,604.0,15.0,454G,1.0,200.0,3.0,,1.0,8.0,3.0,2.0,4.0,91.0,,,,,,,2.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4933_output,Zeltweg,Marshalling Yard,4711N,1444E,2973 631,1.0,2.0,5.0,600.0,15.0,458G,1.0,265.0,1.0,G,3.0,22.0,3.0,6.0,4.0,2.0,,,,,,,6.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4933_output,Zeltweg,Marshalling Yard,4711N,1444E,2973 631,1.0,2.0,5.0,1200.0,15.0,456G,1.0,250.0,3.0,G,3.0,8.0,3.0,2.0,4.0,2.0,,,,,,,2.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_1,IMG_1140_output,Zeltweg,Fragmentation Bomb,4711N,1444E,2973,7,2.0,5.0,1800.0,15.0,457G,1.0,200.0,6.0,,4.0,8.0,3.0,2.0,4.0,91.0,,,,,,,2.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4933_output,Zeltweg,Marshalling Yard,4711N,1444E,2973 631,12.0,3.0,5.0,1441.0,15.0,460G,18.0,269.0,7.0,G,3.0,138.0,3.0,35.0,9.0,3.0,,,,,,,35.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3641_output,Zeltweg,Airdrome,4711N,1444E,2973 780,18.0,3.0,5.0,1400.0,15.0,456G,1.0,260.0,3.0,N,3.0,8.0,3.0,2.0,4.0,2.0,,,,,,,2.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4933_output,Zeltweg,Marshalling Yard,4711N,1444E,2973 631,20.0,3.0,5.0,1423.0,15.0,462G,1.0,270.0,1.0,G,3.0,3.0,4.0,1.65,4.0,2.0,,,,,,,1.65,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4933_output,Zeltweg,Marshalling Yard,4711N,1444E,2973 631,21.0,3.0,5.0,1222.0,15.0,464G,1.0,270.0,3.0,G,3.0,4.0,4.0,2.0,4.0,1.0,,,,,,,2.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3641_output,Zeltweg,Airdrome,4711N,1444E,2973 780,22.0,3.0,5.0,1205.0,15.0,376G,1.0,270.0,1.0,C,3.0,6.0,3.0,2.0,4.0,91.0,,,,,,,2.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4933_output,Zeltweg,Marshalling Yard,4711N,1444E,2973 631,22.0,3.0,5.0,1420.0,15.0,466G,1.0,200.0,6.0,G,3.0,60.0,3.0,15.0,4.0,91.0,,,,,,,15.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3641_output,Zeltweg,Airdrome,4711N,1444E,2973 780,25.0,3.0,5.0,1800.0,15.0,451G,1.0,190.0,1.0,P,3.0,,,,,,,,,36.0,7.0,2.0,2.0,False
