box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4375_output,Zerbst,Airdrome,5209N,716E,49531 780,,3.0,0.0,,,446G,1.0,,,,,10.0,3.0,3.0,4.0,3.0,,,,,,,3.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4377_output,Zerbst,Airdrome,5228N,1118E,49990,16.0,8.0,0.0,,8,,1.0,,,N,3.0,,,,,,,,,1.0,6.0,0.0345,0.0345,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4377_output,Zerbst,Airdrome,5228N,1118E,49990,18.0,8.0,0.0,,8,,1.0,,,N,3.0,2.0,1.0,0.1,1.0,1.0,3.0,,,,,,0.1,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4377_output,Zerbst,Airdrome,5228N,1118E,49990,19.0,8.0,0.0,,8,,2.0,,,N,3.0,2.0,2.0,0.25,1.0,2.0,,,,,,,0.25,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4377_output,Zerbst,Airdrome,5228N,1118E,49990,20.0,8.0,0.0,,8,,1.0,,,N,3.0,,,,,,,,,1.0,6.0,0.0345,0.0345,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4377_output,Zerbst,Airdrome,5228N,1118E,49990,21.0,8.0,0.0,,8,,1.0,,,N,3.0,2.0,3.0,0.5,1.0,3.0,,,,,,,0.5,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4377_output,Zerbst,Airdrome,5228N,1118E,49990,30.0,8.0,0.0,,8,,1.0,,,N,3.0,,,,,,,,,1.0,6.0,0.0345,0.0345,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4376_output,Zerbst,Airdrome,52 33 N,8 25 E,49545 780,26.0,2.0,5.0,,8.0,93G,1.0,,,,3.0,6.0,3.0,2.0,4.0,3.0,4.0,6.0,1.0,,,,3.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4374_output,Zerbst,Airdrome,,285E,48930,10.0,4.0,5.0,1449.0,8.0,388G,37.0,203.0,1.0,N,1.0,100.0,5.0,111.0,4.0,3.0,,,,,,,111.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4374_output,Zerbst,Airdrome,,285E,48930,11.0,4.0,5.0,1452.0,8.0,452G,37.0,204.0,1.0,N,1.0,44.0,3.0,13.2,4.0,3.0,,,,,,,13.2,False
