box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6644_output,Zweibrucken,Marshalling Yard,4915N,722E,48925 630,28.0,12.0,4.0,1200.0,8.0,445G,10.0,215.0,3.0,N,4.0,2.0,3.0,0.6,4.0,3.0,1.0,7.0,0.042,,,,0.642,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6644_output,Zweibrucken,Marshalling Yard,4915N,722E,48925 630,28.0,12.0,4.0,1258.0,8.0,445G,9.0,220.0,3.0,N,4.0,160.0,2.0,20.0,1.0,3.0,16.0,6.0,4.0,,,,24.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6644_output,Zweibrucken,Marshalling Yard,4915N,722E,48925 630,28.0,12.0,4.0,1430.0,8.0,445CG,11.0,212.0,3.0,N,4.0,200.0,2.0,25.0,1.0,3.0,20.0,6.0,5.0,,,,30.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6644_output,Zweibrucken,Marshalling Yard,4915N,722E,48925 630,28.0,12.0,4.0,1430.0,8.0,445CG,12.0,211.0,3.0,N,4.0,3.333333333333333,3.0,1.0,4.0,3.0,1.0,7.0,0.042,,,,1.042,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6644_output,Zweibrucken,Marshalling Yard,4915N,722E,48925 630,3.0,1.0,5.0,600.0,9.0,453BG,1.0,209.0,3.0,N,3.0,20.0,2.0,3.0,1.0,3.0,2.0,12.0,0.512,,,,3.512,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6644_output,Zweibrucken,Marshalling Yard,4915N,722E,48925 630,3.0,1.0,5.0,1127.0,9.0,466AG,9.0,210.0,3.0,N,1.0,149.0,2.0,19.0,4.0,3.0,15.625,12.0,4.0,,,,23.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6644_output,Zweibrucken,Marshalling Yard,4915N,722E,48925 630,3.0,1.0,5.0,1130.0,9.0,467AG,9.0,230.0,3.0,N,1.0,162.0,2.0,20.0,1.0,3.0,16.0,12.0,4.096,,,,24.096,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6644_output,Zweibrucken,Marshalling Yard,4915N,722E,48925 630,3.0,1.0,5.0,1430.0,9.0,458BG,1.0,208.0,3.0,N,3.0,10.0,2.0,1.0,1.0,3.0,2.0,12.0,0.512,,,,1.512,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6644_output,Zweibrucken,Marshalling Yard,4915N,722E,48925 630,3.0,1.0,5.0,1430.0,9.0,458BG,9.0,207.0,3.0,N,2.0,,,,,,2.0,5.0,0.1,,,,0.1,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6644_output,Zweibrucken,Marshalling Yard,4915N,722E,48925 630,3.0,1.0,5.0,1430.0,9.0,466BG,9.0,209.0,3.0,N,1.0,160.0,2.0,20.0,4.0,3.0,16.0,12.0,4.096,,,,24.096,False
