target_location,target_name,BOOK,TOTAL_TONS,INCENDIARY_PERCENT,TARGET_SCORE,TONNAGE_SCORE,INCENDIARY_SCORE,AREA_BOMBING_SCORE,AREA_BOMBING_SCORE_NORMALIZED,Target Type
Husum,PONCILADE,BOOK_6_INDUSTRIAL__PART_3,15.0,100.0,1,5.71889640812077,10.0,8.7,9.0,Industrial/Area
ESENS,FRAGMENTATION BONDS TOTAL CITY AREA,BOOK_6_INDUSTRIAL__PART_3,233.0,49.35622317596567,1,9.378795766094049,6.32458581381454,8.7,9.0,Industrial/Area
Bielefeld,Unidentified Target,BOOK_6_INDUSTRIAL__PART_2,187.0,13.368983957219251,1,9.206663196251952,3.683317755286928,7.9,8.1,Industrial/Area
Bohlen,BLUMENTHAL UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_2,98.0,0.0,1,8.48533749783099,0.0,6.5,6.7,Industrial/Area
CILA YBEV AVINS,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_3,30.0,0.0,1,6.531667534270346,0.0,6.0,6.2,Industrial/Area
BEAUVAIS,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_2,23.0,0.0,1,6.121464515009544,0.0,5.8,6.0,Industrial/Area
Wangerooge Island,Unidentified Target,BOOK_6_INDUSTRIAL__PART_4,3.0,0.0,1,3.692174214818671,0.0,5.1,5.3,Industrial/Area
RUHR,INDUSTRY,BOOK_6_INDUSTRIAL__PART_4,2.0,0.0,1,2.6979003990976924,0.0,4.8,4.9,Industrial/Area
Rheine,CITY AREA,BOOK_6_INDUSTRIAL__PART_4,2.0,0.0,1,2.6979003990976924,0.0,4.8,4.9,Industrial/Area
Texel Island,Gun Emplacements,BOOK_15_TACTICAL,16.240000000000002,26.10837438423645,0,5.796980739198334,4.571329701205028,3.1,3.2,Non-Industrial/Precision
GUTERSLOH,GYMNICH AIRDROME,BOOK_10_AIRFIELDS__PART_2,85.0,0.0,0,8.296720458094741,0.0,2.5,2.6,Non-Industrial/Precision
TROGLITZ,OIL,BOOK_2_OILREFINERIES,29.0,0.0,0,6.449245184799583,0.0,1.9,2.0,Non-Industrial/Precision
Abbeville,Drucat AD,BOOK_10_AIRFIELDS__PART_1,18.0,0.0,0,5.8754121117473534,0.0,1.8,1.9,Non-Industrial/Precision
RHEIMS,AIRDROME,BOOK_10_AIRFIELDS__PART_1,2.0,0.0,0,2.6979003990976924,0.0,0.8,0.8,Non-Industrial/Precision
WILHELMSHAVEN,AIRDROME,BOOK_10_AIRFIELDS__PART_2,1.0,0.0,0,1.2540343571056742,0.0,0.4,0.4,Non-Industrial/Precision
