target_location,target_name,BOOK,TOTAL_TONS,INCENDIARY_PERCENT,TARGET_SCORE,TONNAGE_SCORE,INCENDIARY_SCORE,AREA_BOMBING_SCORE,AREA_BOMBING_SCORE_NORMALIZED
AABENRAA,AERODROME,BOOK_10_AIRFIELDS__PART_2,0.49,48.97959183673469,0,0.34131528717681764,6.2954083720263085,2.0,2.1
AABENRAA,AERODROME,BOOK_10_AIRFIELDS__PART_2,2.24,10.714285714285712,0,3.1360402568106887,3.4982693602292425,2.0,2.1
AABENRAA,AERODROME,BOOK_10_AIRFIELDS__PART_2,0.6,0.0,0,0.5375672392850945,0.0,0.2,0.2
AABENRAA,AERODROME,BOOK_10_AIRFIELDS__PART_2,0.6,0.0,0,0.5375672392850945,0.0,0.2,0.2
AABENRAA,AERODROME,BOOK_10_AIRFIELDS__PART_2,0.6,0.0,0,0.5375672392850945,0.0,0.2,0.2
AABENRAA,AERODROME,BOOK_10_AIRFIELDS__PART_2,0.3,0.0,0,0.22748568453930246,0.0,0.1,0.1
AACH,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_2,31.114,10.008356366908787,1,6.6295332292208915,3.4490618493176193,7.0,7.2
AACHEN,780 AERODROME,BOOK_10_AIRFIELDS__PART_2,0.9,0.0,0,0.8322054485511019,0.0,0.2,0.2
AACHEN,780 AERODROME,BOOK_10_AIRFIELDS__PART_2,1.72,41.860465116279066,0,2.212909942738157,5.743893179760942,2.4,2.5
AACHEN,780 AERODROME,BOOK_10_AIRFIELDS__PART_2,1.3199999999999998,54.545454545454554,0,1.9767482214124588,6.726592976888324,2.6,2.7
AACHEN,780 AERODROME,BOOK_10_AIRFIELDS__PART_2,1.0,0.0,0,1.2540343571056742,0.0,0.4,0.4
AACHEN,780 AERODROME,BOOK_10_AIRFIELDS__PART_2,1.72,41.860465116279066,0,2.212909942738157,5.743893179760942,2.4,2.5
AACHEN,780 AERODROME,BOOK_10_AIRFIELDS__PART_2,0.5,0.0,0,0.3597084851639771,0.0,0.1,0.1
AACHEN,780 AERODROME,BOOK_10_AIRFIELDS__PART_2,1.0,0.0,0,1.2540343571056742,0.0,0.4,0.4
AACHEN,FACTORY,BOOK_6_INDUSTRIAL__PART_2,1.6,0.0,1,2.1532188096477527,0.0,4.6,4.7
AACHEN,FLAK BATTERY,BOOK_15_TACTICAL,7.72,22.27979274611399,0,5.066979003990976,4.304454590496025,2.8,2.9
AACHEN,FLAK BATTERY,BOOK_15_TACTICAL,1.0,0.0,0,1.2540343571056742,0.0,0.4,0.4
AACHEN,FLAK BATTERY,BOOK_15_TACTICAL,1.24,19.35483870967742,0,1.8655214298108624,4.100567745164039,1.8,1.9
AACHEN,FLAK BATTERY,BOOK_15_TACTICAL,2.15,0.0,0,3.0921395106715255,0.0,0.9,0.9
AACHEN,FLAK BATTERY,BOOK_15_TACTICAL,0.6,0.0,0,0.5375672392850945,0.0,0.2,0.2
