DATETIME,mission_id,target_name,target_location,NUMBER OF AIRCRAFT BOMBING,total_area_tons,HIGH EXPLOSIVE BOMBS TONS,he_percentage,INCENDIARY BOMBS TONS,inc_percentage
1944-04-05 00:01:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3245_output_1944-04-05,AIRCRAFT REP ASBLY WORKS,TOULOUSE,520,642.56,553.0,86.06200199203188,89.56,13.93799800796813
1944-04-06 01:15:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3245_output_1944-04-06,AIRCRAFT REP ASBLY WORKS,TOULOUSE,130,615.5,553.0,89.84565393988628,62.5,10.154346060113728
1944-03-09 01:27:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3401_output_1944-03-09,Aircraft Factory,Marignane,252,378.985,290.0,76.52017889890101,88.985,23.479821101098988
1942-05-08 01:12:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3393_output_1942-05-08,Aircraft Plant,Warnemunde,359,248.0,243.0,97.98387096774194,5.0,2.0161290322580645
1944-04-28 00:00:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3205_output_1944-04-28,Oslo Airframe Rep Fac,Oslo,200,247.0,214.0,86.63967611336032,33.0,13.360323886639677
1944-03-11 10:00:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3228_output_1944-03-11,AIRCRAFT FACTORY,CHATEAUROUX DEOLS,66,241.995,230.0,95.04328601830616,11.995000000000001,4.956713981693837
1945-03-07 11:00:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3293_output_1945-03-07,AIRCRAFT FACTORY,DESSAU,2,231.0,6.0,2.5974025974025974,225.0,97.40259740259741
1944-03-29 18:00:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3229_output_1944-03-29,AIRCRAFT FACTORY,CLERMONT FERRAND,36,221.985,207.0,93.24954388810053,14.985,6.750456111899451
1942-06-13 01:30:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3279_output_1942-06-13,,,36,196.0,106.0,54.08163265306123,90.0,45.91836734693878
1941-09-25 01:50:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3375_output_1941-09-25,A C FAC FLUGZEUGWERKE,ROSTOCK,112,181.54600000000002,178.3,98.21202339902834,3.246,1.7879766009716545
