DATETIME,mission_id,target_name,target_location,NUMBER OF AIRCRAFT BOMBING,total_area_tons,HIGH EXPLOSIVE BOMBS TONS,he_percentage,INCENDIARY BOMBS TONS,inc_percentage
1944-08-20 11:45:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3338_output_1944-08-20,JUNKERS AERO ENGINE,KOTHEN,120,1286.15,930.25,72.32826653189753,355.9,27.67173346810247
1944-07-07 09:34:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3259_output_1944-07-07,JUNKERS A C ENG FACT,ASCHERSLEBEN,964,969.5,510.0,52.60443527591542,459.5,47.39556472408458
1944-08-16 11:08:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3294_output_1944-08-16,Junkers Works,Dessau,512,931.9,875.9,93.99077154201095,56.0,6.009228457989055
1944-01-30 12:27:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3284_output_1944-01-30,FACTORY,BRUNSWICK,1017,847.4459999999999,506.246,59.737847603269124,341.2,40.26215239673089
1944-03-01 01:32:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3269_output_1944-03-01,BMW ENGINE PLANTS,BERLIN,162,833.072,0.0,0.0,833.072,100.0
1944-04-19 10:30:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3328_output_1944-04-19,A C FACTORIES,KASSEL,416,776.85,592.25,76.23736886142756,184.6,23.762631138572438
1944-10-01 12:07:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3322_output_1944-10-01,K B M W Aero Engines,Hamburg,248,725.5,465.0,64.09372846312887,260.5,35.906271536871124
1944-04-12 12:21:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3146_output_1944-04-12,,Fischamend Wiener Neustadter,172,583.0,543.0,93.13893653516296,40.0,6.86106346483705
1944-03-15 14:30:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3284_output_1944-03-15,FACTORY,BRUNSWICK,789,573.0,44.0,7.678883071553229,529.0,92.32111692844677
1944-07-07 09:56:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3343_output_1944-07-07,TAUCHA ENGINENPLANT,LEIPZIG,163,542.75,486.75,89.68217411331185,56.0,10.317825886688162
1944-08-25 09:00:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3398_output_1944-08-25,Norde Deutsche A,Wismar,411,531.2,428.7,80.70406626506023,102.5,19.29593373493976
1944-04-18 08:00:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3369_output_1944-04-18,Component Plant,Potsdam Germendorf,638,502.1,210.5,41.92391953794065,291.6,58.07608046205935
1944-02-25 14:06:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3371_output_1944-02-25,AC FACTORY,REGENSBURG,205,475.5,408.5,85.90956887486855,67.0,14.090431125131442
1944-04-13 14:10:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3261_output_1944-04-13,ME AC Factory,Augsburg,212,452.5,339.0,74.9171270718232,113.5,25.082872928176798
1944-10-12 11:37:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3282_output_1944-10-12,Karl Borgwad,Bremen,247,438.1,215.85,49.26957315681351,222.25,50.730426843186486
1944-05-18 10:30:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3275_output_1944-05-18,D FAC FACTORIES,BRANDENBURG,24,387.5,125.0,32.25806451612903,262.5,67.74193548387096
1944-06-26 09:57:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3156_output_1944-06-26,HEINKEL A C FAC,SCHWECHAT,123,381.56600000000003,282.75,74.10251437497051,98.816,25.897485625029482
1945-03-03 10:20:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3327_output_1945-03-03,VDM Jet Castings,Hildesheim,143,379.75,278.75,73.40355497037525,101.0,26.596445029624753
1944-08-24 16:00:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3286_output_1944-08-24,QUEREUM AERO ENGINES,BRUNSWICK,98,372.1,263.2,70.7336737436173,108.9,29.26632625638269
1944-04-18 14:00:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3370_output_1944-04-18,A FLUG A C FACTORIES,RATHENOW,349,367.4,40.45,11.009798584648886,326.95,88.99020141535112
1944-08-24 13:33:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3285_output_1944-08-24,Waggum A C Assembly,Brunswick,388,358.75,161.0,44.87804878048781,197.75,55.1219512195122
1945-03-19 14:00:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3264_output_1945-03-19,A C COM PARTS,BAUMENHEIM,115,337.1,261.0,77.42509641056066,76.1,22.574903589439334
1944-03-01 12:14:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3302_output_1944-03-01,Teves Engine Plants,Frankfurt am Main,27,335.0,312.0,93.13432835820895,23.0,6.865671641791045
1944-04-11 11:00:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3365_output_1944-04-11,A C Assembly Plant,Oschersleben,107,326.2,247.2,75.78172900061311,79.0,24.218270999386878
1944-08-04 15:05:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3382_output_1944-08-04,A C Assembly,Schwerin,275,318.0,224.5,70.59748427672956,93.5,29.40251572327044
1945-02-19 06:00:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3349_output_1945-02-19,JET ENG,MESCHEDE,116,317.25,141.75,44.680851063829785,175.5,55.319148936170215
1943-09-06 10:00:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3389_output_1943-09-06,R BOSCH A G,STUTTGART,105,310.85,259.25,83.40035386842528,51.6,16.599646131574712
1944-08-05 14:30:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3286_output_1944-08-05,QUEREUM AERO ENGINES,BRUNSWICK,136,310.75,260.25,83.74899436846339,50.5,16.251005631536604
1944-02-02 14:34:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3374_output_1944-02-02,OBERTRAUBLING ME FCTY,REGENSBURG,125,310.75,100.0,32.180209171359614,210.75,67.8197908286404
1944-08-01 02:00:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3381_output_1944-08-01,F W 190 ASSEMBLY,SCHWERIN,108,307.75,198.0,64.33793663688058,109.75,35.662063363119415
1944-04-01 13:15:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3302_output_1944-04-01,Teves Engine Plants,Frankfurt am Main,40,305.7,100.0,32.71180896303566,205.7,67.28819103696434
1944-08-04 15:30:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3397_output_1944-08-04,Aircraft Factory,Wismar,78,302.0,103.0,34.105960264900666,199.0,65.89403973509934
1944-08-06 12:41:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3274_output_1944-08-06,BOMBER PLANTS ES,BRANDENBURG,390,300.03,277.0,92.32410092324102,23.03,7.675899076758992
1944-08-12 12:00:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3377_output_1944-08-12,,,750,300.0,100.0,33.33333333333333,200.0,66.66666666666666
1944-02-25 13:52:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3260_output_1944-02-25,AC Factory,Augsburg,723,299.04999999999995,206.7,69.11887644206655,92.35,30.88112355793346
1944-01-12 11:47:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3367_output_1944-01-12,FOCKE WULFE A C PLANT,OSCHERSLEBEN,87,295.4,261.4,88.490182802979,34.0,11.50981719702099
1944-04-12 12:16:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3145_output_1944-04-12,AC FACTORY,BAD VOSLAU,143,295.0,142.0,48.13559322033898,153.0,51.864406779661024
1944-05-24 10:55:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3168_output_1944-05-24,Atzgersdorf A C Comp Plt,Vienna,125,288.1,287.8,99.89586948976049,0.3,0.10413051023950015
1944-12-31 11:20:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3396_output_1944-12-31,ME 262 Plant,Wenzendorf,162,287.75,225.25,78.2797567332754,62.5,21.720243266724587
