DATETIME,mission_id,target_name,target_location,NUMBER OF AIRCRAFT BOMBING,TOTAL TONS
1944-04-01 10:37:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3194_output_1944-04-01,AC PL,Budapest Szigetszentmiklos,432,785.9
1944-02-01 00:00:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3391_output_1944-02-01,Arado Aircraft Factory,Wunsdorf,63,582.0
1944-03-03 11:25:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3305_output_1944-03-03,,FRIEDRICHSHAFEN,723,581.9
1944-01-10 17:30:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3202_output_1944-01-10,AC Component Plant,Maribor,22,534.0
1944-02-21 14:06:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3284_output_1944-02-21,FACTORY,BRUNSWICK,195,519.5
1944-09-25 06:00:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3355_output_1944-09-25,Oberswiesenfeld BMW,Munich,25,500.0
1943-12-09 14:00:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3244_output_1943-12-09,A C FACTORY,STRASBOURG,20,397.0
1944-03-30 09:21:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3392_output_1944-03-30,AIRCRAFT COMPONENT FCTRY,GUNZBERG,27,364.0
1944-07-30 11:08:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3193_output_1944-07-30,Duna AC FCTY,Budapest,117,283.0
1945-04-15 10:29:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3242_output_1945-04-15,,Pointe de Grave,182,282.0
1943-11-02 12:29:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3174_output_1943-11-02,A C ASSEMBLY PLNT,WIENER NEUSTADT,759,280.7285
1944-04-01 00:00:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3212_output_1944-04-01,AC FACTORY,BRASOV,96,279.0
1943-04-13 12:58:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3279_output_1943-04-13,,,103,257.26
1944-09-22 12:46:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3354_output_1944-09-22,BMW Engine Works,Munich,24,235.0
1944-04-01 12:10:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3223_output_1944-04-01,MACCHI AC FACTORY,VARESE,105,233.0
1945-04-14 10:00:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3242_output_1945-04-14,,Pointe de Grave,167,232.28
1944-05-10 15:19:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3175_output_1944-05-10,AC ENG PLNT,WIENER NEUSTADT,96,220.0
1944-04-03 18:00:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3223_output_1944-04-03,MACCHI AC FACTORY,VARESE,71,210.0
1944-08-28 09:00:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3184_output_1944-08-28,AC FACTORY,BRNO,28,200.0
1944-08-29 09:30:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3184_output_1944-08-29,AC FACTORY,BRNO,28,200.0
1944-08-25 11:24:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3185_output_1944-08-25,KURIN AC FACTORY,BRNO,82,199.5
1944-03-15 17:00:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3266_output_1944-03-15,HEINKEL AC FACTORY,BERLIN,30,197.75
1944-05-30 10:26:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3155_output_1944-05-30,AC Factory,Pottendorf,79,192.0
1944-04-16 12:19:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3200_output_1944-04-16,Ikarus,Belgrade,61,183.0
1944-04-18 12:00:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3199_output_1944-04-18,ROGOZARSKI ZIVOJIN,BELGRADE (Zeman),68,178.0
1944-03-03 08:30:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3308_output_1944-03-03,TOTAL FRAGMENTATION BONDS AIRCRAFT COMPONENT,FURTH,160,173.46
1945-08-09 10:55:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3197_output_1945-08-09,GERGY AR AC ASSEMBLY FACY,GYOR,66,173.4
1943-05-13 13:15:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3235_output_1943-05-13,AVIONS POTEZ AC FCTY,MEAULTE,73,172.0
1943-07-04 11:14:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3232_output_1943-07-04,GNOME RHONE AC FACTORY,LE MANS,66,168.0
1944-07-25 12:00:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3337_output_1944-07-25,ENG WORKSGTE AERO,KOTHEN,2,168.0
1944-02-20 13:19:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3284_output_1944-02-20,FACTORY,BRUNSWICK,183,165.9
1944-07-20 11:37:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3338_output_1944-07-20,JUNKERS AERO ENGINE,KOTHEN,66,165.0
1944-05-30 10:28:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3169_output_1944-05-30,A C Plant,Ebreichsdorf,66,164.0
