DATETIME,mission_id,target_name,target_location,NUMBER OF AIRCRAFT BOMBING,total_area_tons,HIGH EXPLOSIVE BOMBS TONS,he_percentage,INCENDIARY BOMBS TONS,inc_percentage
1944-12-24 18:31:00,BOX_4_BOOK_10_AIRFIELDS__PART_2_IMG_4113_output_1944-12-24,BONN HANGELAR AD,JATI,210,546.18,546.0,99.96704383170383,0.18,0.0329561682961661
1944-04-10 14:00:00,BOX_4_BOOK_10_AIRFIELDS__PART_1_IMG_4053_output_1944-04-10,AIRDROME,ST CYR,34,247.0,204.0,82.5910931174089,43.0,17.408906882591094
1942-07-01 00:00:00,BOX_4_BOOK_10_AIRFIELDS__PART_2_IMG_4604_output_1942-07-01,Airdrome,Valkenburg,9,202.36,202.0,99.82209922909665,0.36,0.17790077090334055
1944-09-23 21:45:00,BOX_4_BOOK_10_AIRFIELDS__PART_2_IMG_4200_output_1944-09-23,HANDORF AIRDROME,HANDORF,92,185.25,185.0,99.86504723346829,0.25,0.1349527665317139
1943-01-13 12:00:00,BOX_4_BOOK_10_AIRFIELDS__PART_1_IMG_4061_output_1943-01-13,FT ROUGE,ST OMER,16,150.24,150.0,99.8402555910543,0.24,0.1597444089456869
1944-03-10 23:50:00,BOX_4_BOOK_10_AIRFIELDS__PART_2_IMG_4446_output_1944-03-10,,,115,147.5,123.5,83.72881355932203,24.0,16.271186440677965
1941-08-03 00:00:00,BOX_4_BOOK_10_AIRFIELDS__PART_1_IMG_3713_output_1941-08-03,Schiphol A D,Amsterdam,21,140.42,139.7,99.4872525281299,0.72,0.5127474718701039
1945-03-25 16:00:00,BOX_4_BOOK_10_AIRFIELDS__PART_2_IMG_4304_output_1945-03-25,,,292,130.202,130.0,99.84485645381793,0.202,0.1551435461820863
1943-04-12 10:50:00,BOX_4_BOOK_10_AIRFIELDS__PART_1_IMG_3724_output_1943-04-12,,,2,126.5,69.0,54.54545454545454,57.5,45.45454545454545
1944-05-30 11:05:00,BOX_4_BOOK_10_AIRFIELDS__PART_2_IMG_4200_output_1944-05-30,HANDORF AIRDROME,HANDORF,46,122.0,96.0,78.68852459016394,26.0,21.311475409836063
1945-04-08 00:00:00,BOX_4_BOOK_10_AIRFIELDS__PART_2_IMG_4193_output_1945-04-08,Airdrome,Halberstadt,45,121.0,101.0,83.47107438016529,20.0,16.528925619834713
1944-08-15 11:22:00,BOX_4_BOOK_10_AIRFIELDS__PART_2_IMG_4362_output_1944-08-15,AIRDROME,WIESBADEN,37,114.0,76.0,66.66666666666666,38.0,33.33333333333333
1941-08-10 00:00:00,BOX_4_BOOK_10_AIRFIELDS__PART_2_IMG_4400_output_1941-08-10,Aerodrome Le Bourg,Guernsey Le Bourg,2,101.74,101.5,99.76410458030274,0.24,0.23589541969726754
1943-08-07 00:00:00,BOX_4_BOOK_10_AIRFIELDS__PART_1_IMG_3928_output_1943-08-07,Maupertus Aerodrome,Cherbourg,2,101.62,101.5,99.88191300925014,0.12,0.11808699074985238
1944-12-06 12:30:00,BOX_4_BOOK_10_AIRFIELDS__PART_1_IMG_4071_output_1944-12-06,AIRDROME,TOURS,2,101.62,101.5,99.88191300925014,0.12,0.11808699074985238
1942-08-09 03:30:00,BOX_4_BOOK_10_AIRFIELDS__PART_1_IMG_3771_output_1942-08-09,Aerodrome,Twente,1,101.5,100.0,98.52216748768473,1.5,1.477832512315271
1942-04-14 00:00:00,BOX_4_BOOK_10_AIRFIELDS__PART_2_IMG_4572_output_1942-04-14,,,2,101.4,0.0,0.0,101.4,100.0
1943-07-03 10:00:00,BOX_4_BOOK_10_AIRFIELDS__PART_1_IMG_3899_output_1943-07-03,Air Depot,Bourges,12,101.2,100.0,98.81422924901186,1.2,1.185770750988142
1941-08-23 00:00:00,BOX_4_BOOK_10_AIRFIELDS__PART_1_IMG_4004_output_1941-08-23,MERVILLE AIRDROME,,2,100.87,100.75,99.88103499553881,0.12,0.11896500446118764
1942-07-28 00:00:00,BOX_4_BOOK_10_AIRFIELDS__PART_2_IMG_4560_output_1942-07-28,AIRDROME,DEN HELDER,4,100.42,100.3,99.88050189205337,0.12,0.11949810794662416
1942-06-04 00:00:00,BOX_4_BOOK_10_AIRFIELDS__PART_2_IMG_4599_output_1942-06-04,,,1,100.24,100.0,99.76057462090982,0.24,0.23942537909018355
1941-08-19 00:00:00,BOX_4_BOOK_10_AIRFIELDS__PART_1_IMG_4004_output_1941-08-19,MERVILLE AIRDROME,,1,100.12,100.0,99.88014382740711,0.12,0.11985617259288853
