DATETIME,mission_id,target_name,target_location,NUMBER OF AIRCRAFT BOMBING,TOTAL TONS
1945-04-18 12:43:00,BOX_2_BOOK_6_INDUSTRIAL__PART_3_IMG_2024_output_1945-04-18,IVEGEL CORE,,670,4818.0
1944-07-15 21:47:00,BOX_2_BOOK_6_INDUSTRIAL__PART_2_IMG_1479_output_1944-07-15,萬人 超営,CAEN,3456,3788.5
1944-07-15 05:53:00,BOX_2_BOOK_6_INDUSTRIAL__PART_2_IMG_1578_output_1944-07-15,Unidentified,Nucourt,1885,2314.0
1944-07-04 01:28:00,BOX_3_BOOK_6_INDUSTRIAL__PART_5_IMG_2770_output_1944-07-04,,ST LEU D ESSERENT,1773,2181.49
1945-02-19 15:19:00,BOX_3_BOOK_6_INDUSTRIAL__PART_4_IMG_2476_output_1945-02-19,,,1050,2144.0
1944-07-18 06:15:00,BOX_3_BOOK_6_INDUSTRIAL__PART_5_IMG_2742_output_1944-07-18,,Cagny,495,1678.0
1944-08-02 17:17:00,BOX_3_BOOK_6_INDUSTRIAL__PART_5_IMG_2686_output_1944-08-02,TOWN AREA,BOIS DE CASSAN,1028,1603.3
1944-08-05 13:11:00,BOX_3_BOOK_6_INDUSTRIAL__PART_5_IMG_2770_output_1944-08-05,,ST LEU D ESSERENT,1011,1470.5
1944-08-31 17:59:00,BOX_3_BOOK_6_INDUSTRIAL__PART_5_IMG_2764_output_1944-08-31,Town Area,Pont Remy,388,1424.0
1945-03-14 20:08:00,BOX_3_BOOK_6_INDUSTRIAL__PART_4_IMG_2531_output_1945-03-14,,ZWEI BRUCKEN TOWN AREA,1326,1391.6
1944-07-16 15:55:00,BOX_3_BOOK_6_INDUSTRIAL__PART_5_IMG_2771_output_1944-07-16,,St Philibert Ferme,1213,1307.5
1944-07-18 05:42:00,BOX_3_BOOK_6_INDUSTRIAL__PART_5_IMG_2745_output_1944-07-18,Colombelles,Normandy,820,1306.5
1944-06-02 00:00:00,BOX_3_BOOK_6_INDUSTRIAL__PART_5_IMG_2681_output_1944-06-02,BERNEVAL LE GRAND,BERNEVAL,303,1224.0
1944-07-18 05:41:00,BOX_3_BOOK_6_INDUSTRIAL__PART_5_IMG_2743_output_1944-07-18,,NORMANDY SANNERVILLE,696,1219.0
1944-07-18 05:59:00,BOX_3_BOOK_6_INDUSTRIAL__PART_5_IMG_2744_output_1944-07-18,Mondeville,Normandy,690,1210.0
1945-03-23 17:31:00,BOX_3_BOOK_6_INDUSTRIAL__PART_4_IMG_2476_output_1945-03-23,,,629,1121.0
1944-07-18 06:00:00,BOX_3_BOOK_6_INDUSTRIAL__PART_5_IMG_2760_output_1944-07-18,Normandy,Manneville,462,1105.0
1944-07-12 20:20:00,BOX_3_BOOK_6_INDUSTRIAL__PART_5_IMG_2774_output_1944-07-12,,THIVERNY AREA,727,1045.6
1944-07-06 21:25:00,BOX_3_BOOK_6_INDUSTRIAL__PART_5_IMG_2695_output_1944-07-06,TOWN AREA,COQUEREAUX,338,1033.0
1945-02-03 23:24:00,BOX_3_BOOK_6_INDUSTRIAL__PART_4_IMG_2489_output_1945-02-03,,WIESBADEN,23,965.9
1944-08-05 13:03:00,BOX_3_BOOK_6_INDUSTRIAL__PART_5_IMG_2705_output_1944-08-05,TOWN AREA,FORET DE NIEPPE,878,944.0
1944-08-04 12:11:00,BOX_3_BOOK_6_INDUSTRIAL__PART_5_IMG_2686_output_1944-08-04,TOWN AREA,BOIS DE CASSAN,651,932.0
1944-08-12 02:07:00,BOX_2_BOOK_6_INDUSTRIAL__PART_2_IMG_1504_output_1944-08-12,,"Falaise, Normandy",536,931.5
1944-08-07 04:15:00,BOX_3_BOOK_6_INDUSTRIAL__PART_5_IMG_2776_output_1944-08-07,TOWN AREA,TROISSY ST MAXIMIN,350,900.0
1944-06-01 13:28:00,BOX_2_BOOK_6_INDUSTRIAL__PART_2_IMG_1499_output_1944-06-01,Unidentified Target,Domleger,225,893.25
1944-06-07 01:34:00,BOX_3_BOOK_6_INDUSTRIAL__PART_5_IMG_2759_output_1944-06-07,Foret de Cerisy,Normandy,201,884.0
1944-06-14 00:00:00,BOX_2_BOOK_6_INDUSTRIAL__PART_2_IMG_1450_output_1944-06-14,Aunay Sur Odon,Normandy,627,871.0
1944-08-07 23:15:00,BOX_3_BOOK_6_INDUSTRIAL__PART_5_IMG_2751_output_1944-08-07,Fontenay Le Marnion,Normandy,405,844.0
1944-06-02 14:14:00,BOX_2_BOOK_6_INDUSTRIAL__PART_2_IMG_1499_output_1944-06-02,Unidentified Target,Domleger,326,809.0
1944-06-30 19:55:00,BOX_2_BOOK_6_INDUSTRIAL__PART_2_IMG_1652_output_1944-06-30,Tarory,Villers Bocage,504,799.25
1945-04-26 16:55:00,BOX_3_BOOK_6_INDUSTRIAL__PART_4_IMG_2457_output_1945-04-26,,Wangerooge Island,458,768.0
1944-06-25 08:59:00,BOX_3_BOOK_6_INDUSTRIAL__PART_5_IMG_2717_output_1944-06-25,Town Area,Gorenflos,204,764.0
1944-07-06 21:13:00,BOX_3_BOOK_6_INDUSTRIAL__PART_5_IMG_2698_output_1944-07-06,TOWN AREA,CROIXDALLE PONTHLUE,208,752.0
1944-06-24 02:53:00,BOX_2_BOOK_6_INDUSTRIAL__PART_2_IMG_1591_output_1944-06-24,Unidentified,Pommerevall,306,744.7
1944-06-23 00:00:00,BOX_2_BOOK_6_INDUSTRIAL__PART_2_IMG_1608_output_1944-06-23,TOWN AREA,SAINTES,312,703.5
1944-06-01 02:44:00,BOX_2_BOOK_6_INDUSTRIAL__PART_2_IMG_1655_output_1944-06-01,Unidentified,Wizernes,200,703.0
1945-03-27 00:00:00,BOX_3_BOOK_6_INDUSTRIAL__PART_5_IMG_2786_output_1945-03-27,Benzol Plant Klockner,Altenbogge Nr Hamm,300,691.85
1944-08-07 23:18:00,BOX_3_BOOK_6_INDUSTRIAL__PART_5_IMG_2747_output_1944-08-07,NORMANDY,SECQUEVILLE LA COMPAGNE,327,691.0
1944-08-12 00:00:00,BOX_3_BOOK_6_INDUSTRIAL__PART_5_IMG_2708_output_1944-08-12,TOWN AREA,FORET DE LLISLEADAM,274,666.0
1944-11-16 12:29:00,BOX_3_BOOK_6_INDUSTRIAL__PART_5_IMG_2869_output_1944-11-16,TOWN,HEINSBURG,905,664.75
1944-06-01 01:09:00,BOX_2_BOOK_6_INDUSTRIAL__PART_2_IMG_1471_output_1944-06-01,UNIDENTIFIED,BIENNAIS,806,662.8
1944-06-23 13:15:00,BOX_3_BOOK_6_INDUSTRIAL__PART_5_IMG_2719_output_1944-06-23,,L Hey Town Area,154,659.0
1944-07-22 14:33:00,BOX_3_BOOK_6_INDUSTRIAL__PART_5_IMG_2689_output_1944-07-22,,BREAUVOIR,120,655.0
1944-08-09 00:13:00,BOX_3_BOOK_6_INDUSTRIAL__PART_5_IMG_2706_output_1944-08-09,,"Foret de Nieppe, Hazebrouck",300,652.0
1944-07-24 13:55:00,BOX_3_BOOK_6_INDUSTRIAL__PART_5_IMG_2719_output_1944-07-24,,L Hey Town Area,257,652.0
1944-06-05 05:02:00,BOX_3_BOOK_6_INDUSTRIAL__PART_5_IMG_2762_output_1944-06-05,Town Area,Ouistreham,222,648.0
1944-07-06 20:57:00,BOX_3_BOOK_6_INDUSTRIAL__PART_5_IMG_2707_output_1944-07-06,TOWN AREA,FORET DU CROC,303,646.0
1944-07-23 13:30:00,BOX_3_BOOK_6_INDUSTRIAL__PART_5_IMG_2728_output_1944-07-23,TOWN AREA,LES CATELLIERS,321,638.0
1944-07-23 12:00:00,BOX_2_BOOK_6_INDUSTRIAL__PART_2_IMG_1478_output_1944-07-23,Unidentified,Les Hauts Buissons,306,632.0
1944-07-30 07:24:00,BOX_3_BOOK_6_INDUSTRIAL__PART_5_IMG_2746_output_1944-07-30,,Jurques Area,358,624.0
1944-08-14 15:24:00,BOX_3_BOOK_6_INDUSTRIAL__PART_5_IMG_2752_output_1944-08-14,Fontaine,Normandy,318,621.0
1945-04-27 16:55:00,BOX_3_BOOK_6_INDUSTRIAL__PART_4_IMG_2457_output_1945-04-27,,Wangerooge Island,459,616.0
