DATETIME,mission_id,target_name,target_location,NUMBER OF AIRCRAFT BOMBING,TOTAL TONS
1945-03-19 13:16:00,BOX_6_BOOK_12_MANUFACTURING_IMG_7016_output_1945-03-19,CARL ZEISS OPT WKS,JENA,92,286.0
1944-08-04 11:03:00,BOX_6_BOOK_12_MANUFACTURING_IMG_7015_output_1944-08-04,ZAHNRAD FABRIK,FRIEDRICHSHAFEN,111,273.0
1944-01-03 11:45:00,BOX_6_BOOK_12_MANUFACTURING_IMG_6999_output_1944-01-03,Ball Bearings Works,Villar Perosa,133,235.75
1943-11-08 14:22:00,BOX_6_BOOK_12_MANUFACTURING_IMG_6997_output_1943-11-08,BALL BEARING WORKS,TURIN,80,212.0
1944-10-09 15:03:00,BOX_6_BOOK_12_MANUFACTURING_IMG_7021_output_1944-10-09,BALL BEARING PLANT,SCHWEINFURT,84,206.0
1943-03-19 13:28:00,BOX_6_BOOK_12_MANUFACTURING_IMG_7016_output_1943-03-19,CARL ZEISS OPT WKS,JENA,184,172.4
1943-12-02 13:51:00,BOX_6_BOOK_12_MANUFACTURING_IMG_6996_output_1943-12-02,BEARING MFG PLANT,TURIN,39,117.0
1943-12-01 13:56:00,BOX_6_BOOK_12_MANUFACTURING_IMG_6996_output_1943-12-01,BEARING MFG PLANT,TURIN,38,93.0
1943-11-11 13:10:00,BOX_6_BOOK_12_MANUFACTURING_IMG_7001_output_1943-11-11,BEARING MANF PLANT,ANNECY,31,90.0
1943-11-27 12:23:00,BOX_6_BOOK_12_MANUFACTURING_IMG_7003_output_1943-11-27,BALL BEARING WORKS,PARIS,31,90.0
1944-02-25 13:56:00,BOX_6_BOOK_12_MANUFACTURING_IMG_7020_output_1944-02-25,BALL BEARING WORKS,REGENSBURG,34,85.0
1943-12-31 12:24:00,BOX_6_BOOK_12_MANUFACTURING_IMG_7003_output_1943-12-31,BALL BEARING WORKS,PARIS,29,76.0
1944-02-26 14:07:00,BOX_6_BOOK_12_MANUFACTURING_IMG_7020_output_1944-02-26,BALL BEARING WORKS,REGENSBURG,50,75.5
1943-11-10 11:45:00,BOX_6_BOOK_12_MANUFACTURING_IMG_6999_output_1943-11-10,Ball Bearings Works,Villar Perosa,24,69.0
1943-12-01 13:07:00,BOX_6_BOOK_12_MANUFACTURING_IMG_7003_output_1943-12-01,BALL BEARING WORKS,PARIS,42,65.0
1944-10-20 11:56:00,BOX_6_BOOK_12_MANUFACTURING_IMG_6995_output_1944-10-20,ISOTTA FRASCHINI W KS,MILAN,38,64.0
1943-09-15 18:56:00,BOX_6_BOOK_12_MANUFACTURING_IMG_7003_output_1943-09-15,BALL BEARING WORKS,PARIS,20,60.0
1943-01-09 12:12:00,BOX_6_BOOK_12_MANUFACTURING_IMG_6999_output_1943-01-09,Ball Bearings Works,Villar Perosa,20,57.0
1944-03-03 11:49:00,BOX_6_BOOK_12_MANUFACTURING_IMG_7006_output_1944-03-03,Bearings Manufacturing,Berlin,20,47.0
1944-02-01 13:15:00,BOX_6_BOOK_12_MANUFACTURING_IMG_7003_output_1944-02-01,BALL BEARING WORKS,PARIS,130,45.0
1944-08-06 10:56:00,BOX_6_BOOK_12_MANUFACTURING_IMG_7015_output_1944-08-06,ZAHNRAD FABRIK,FRIEDRICHSHAFEN,20,43.0
1944-06-29 09:43:00,BOX_6_BOOK_12_MANUFACTURING_IMG_7018_output_1944-06-29,BALL BEARING PLANT,LEIPZIG,17,43.0
1943-08-12 08:56:00,BOX_6_BOOK_12_MANUFACTURING_IMG_7009_output_1943-08-12,PRECISION INSTRUMENT MFG,BONN,17,42.0
1944-08-05 11:56:00,BOX_6_BOOK_12_MANUFACTURING_IMG_7015_output_1944-08-05,ZAHNRAD FABRIK,FRIEDRICHSHAFEN,21,41.0
1944-08-03 10:55:00,BOX_6_BOOK_12_MANUFACTURING_IMG_7015_output_1944-08-03,ZAHNRAD FABRIK,FRIEDRICHSHAFEN,7,18.0
1944-02-28 06:00:00,BOX_6_BOOK_12_MANUFACTURING_IMG_7020_output_1944-02-28,BALL BEARING WORKS,REGENSBURG,80,13.0
1943-10-14 14:40:00,BOX_6_BOOK_12_MANUFACTURING_IMG_7023_output_1943-10-14,KUZEL FISCHER BALL BR PL,KUFELFISCHER,7,11.0
1943-11-26 10:34:00,BOX_6_BOOK_12_MANUFACTURING_IMG_7003_output_1943-11-26,BALL BEARING WORKS,PARIS,20,6.0
1943-03-09 11:45:00,BOX_6_BOOK_12_MANUFACTURING_IMG_6999_output_1943-03-09,Ball Bearings Works,Villar Perosa,22,3.0
