DATETIME,mission_id,target_name,target_location,NUMBER OF AIRCRAFT BOMBING,TOTAL TONS
1944-07-25 11:00:00,BOX_1_BOOK_1_MILITARYINDUSTRY_IMG_0116_output_1944-07-25,H GOERING TANK BOOKS,LINZ,449,1307.5
1944-07-25 11:37:00,BOX_1_BOOK_1_MILITARYINDUSTRY_IMG_0115_output_1944-07-25,TANK,LINZ,224,1111.0
1944-07-07 13:19:00,BOX_1_BOOK_1_MILITARYINDUSTRY_IMG_0195_output_1944-07-07,SUA DOCKS,TOULON,308,965.0
1945-03-19 13:49:00,BOX_1_BOOK_1_MILITARYINDUSTRY_IMG_0350_output_1945-03-19,AUTO UNION TANK PLANT,ZWICKAU,190,802.5
1944-06-05 13:36:00,BOX_1_BOOK_1_MILITARYINDUSTRY_IMG_0249_output_1944-06-05,AUTO WORKS,FALLERSLEBEN,212,736.0
1945-03-24 18:20:00,BOX_1_BOOK_1_MILITARYINDUSTRY_IMG_0204_output_1945-03-24,Tank Plant,Hennigsdorf,265,652.0
1943-07-07 09:44:00,BOX_1_BOOK_1_MILITARYINDUSTRY_IMG_0147_output_1943-07-07,,Budapest,101,634.0
1944-08-29 11:21:00,BOX_1_BOOK_1_MILITARYINDUSTRY_IMG_0130_output_1944-08-29,TANK WORKS,MORAVSKA OSTRAVA,112,497.0
1942-11-23 13:40:00,BOX_1_BOOK_1_MILITARYINDUSTRY_IMG_0191_output_1942-11-23,SUB PEN,ST NAZAIRE,116,470.0
1945-02-09 12:35:00,BOX_1_BOOK_1_MILITARYINDUSTRY_IMG_0342_output_1945-02-09,ARMAMENT WORKS,WEIMAR,177,463.0
1943-10-16 11:48:00,BOX_1_BOOK_1_MILITARYINDUSTRY_IMG_0131_output_1943-10-16,SKODA A W,PILSEN,36,460.0
1945-02-21 14:25:00,BOX_1_BOOK_1_MILITARYINDUSTRY_IMG_0160_output_1945-02-21,FIUME SHIP YARD,,304,435.0
1945-03-21 10:03:00,BOX_1_BOOK_1_MILITARYINDUSTRY_IMG_0324_output_1945-03-21,PLANT TANK,PLAUEN,71,419.5
1943-03-21 12:15:00,BOX_1_BOOK_1_MILITARYINDUSTRY_IMG_0131_output_1943-03-21,SKODA A W,PILSEN,2,400.0
1945-02-22 14:15:00,BOX_1_BOOK_1_MILITARYINDUSTRY_IMG_0160_output_1945-02-22,FIUME SHIP YARD,,19,393.0
1945-12-20 12:26:00,BOX_1_BOOK_1_MILITARYINDUSTRY_IMG_0132_output_1945-12-20,SKODA A W,PILSEN,54,385.5
1944-09-04 12:53:00,BOX_1_BOOK_1_MILITARYINDUSTRY_IMG_0162_output_1944-09-04,Subpens,Genoa,192,361.75
1944-10-09 15:07:00,BOX_1_BOOK_1_MILITARYINDUSTRY_IMG_0257_output_1944-10-09,GUSTAVSBURG DIESEL ENGINE,,131,354.75
1944-01-17 13:00:00,BOX_1_BOOK_1_MILITARYINDUSTRY_IMG_0183_output_1944-01-17,SUBMARINE INSTALLATIONS,LORIENT,435,352.0
