DATETIME,mission_id,target_name,target_location,NUMBER OF AIRCRAFT BOMBING,total_area_tons,HIGH EXPLOSIVE BOMBS TONS,he_percentage,INCENDIARY BOMBS TONS,inc_percentage
1945-03-12 12:31:00,BOX_7_BOOK_17_NAVAL_IMG_8111_output_1945-03-12,PORT AREA,SWI NEMUNDE,525,1535.7,1535.0,99.95441818063424,0.7,0.045581819365761535
1943-02-16 20:46:00,BOX_7_BOOK_17_NAVAL_IMG_8031_output_1943-02-16,,,1513,1119.0,526.0,47.00625558534406,593.0,52.99374441465594
1943-02-01 21:12:00,BOX_7_BOOK_17_NAVAL_IMG_8045_output_1943-02-01,,,1750,983.5,470.5,47.839349262836805,513.0,52.160650737163195
1944-05-22 12:58:00,BOX_7_BOOK_17_NAVAL_IMG_8098_output_1944-05-22,NAVAL INSTALLATIONS,KIEL,521,796.2,298.0,37.42778196433057,498.2,62.57221803566942
1943-10-02 15:54:00,BOX_7_BOOK_17_NAVAL_IMG_8080_output_1943-10-02,,Bovenden,228,589.0,562.0,95.41595925297113,27.0,4.584040747028863
1944-07-06 09:57:00,BOX_7_BOOK_17_NAVAL_IMG_8099_output_1944-07-06,RICH RISPOSIAN DONDE,VINCEVEZ,172,385.0,215.0,55.84415584415584,170.0,44.15584415584416
1944-07-18 08:42:00,BOX_7_BOOK_17_NAVAL_IMG_8101_output_1944-07-18,DOMINO FINCHVAL,KARBEN,101,199.5,174.5,87.468671679198,25.0,12.531328320802004
1943-02-16 21:12:00,BOX_7_BOOK_17_NAVAL_IMG_8045_output_1943-02-16,,,811,197.425,50.0,25.326073192351522,147.425,74.67392680764847
1944-06-01 18:00:00,BOX_7_BOOK_17_NAVAL_IMG_8126_output_1944-06-01,,,291,156.0,35.0,22.435897435897438,121.0,77.56410256410257
1944-02-03 11:06:00,BOX_7_BOOK_17_NAVAL_IMG_8126_output_1944-02-03,,,72,156.0,128.0,82.05128205128204,28.0,17.94871794871795
1944-03-30 09:00:00,BOX_7_BOOK_17_NAVAL_IMG_7913_output_1944-03-30,FIUME HARBOR INSTL,,27,150.0,0.0,0.0,150.0,100.0
1943-01-12 12:42:00,BOX_7_BOOK_17_NAVAL_IMG_8080_output_1943-01-12,,Bovenden,481,148.55,114.6,77.14574217435207,33.95,22.85425782564793
1944-08-24 11:33:00,BOX_7_BOOK_17_NAVAL_IMG_8099_output_1944-08-24,RICH RISPOSIAN DONDE,VINCEVEZ,37,107.0,40.0,37.38317757009346,67.0,62.616822429906534
1943-11-27 13:15:00,BOX_7_BOOK_17_NAVAL_IMG_8126_output_1943-11-27,,,50,103.0,50.0,48.54368932038835,53.0,51.45631067961165
1941-07-18 08:34:00,BOX_7_BOOK_17_NAVAL_IMG_8070_output_1941-07-18,,,48,94.0,68.0,72.3404255319149,26.0,27.659574468085108
1943-09-27 14:30:00,BOX_7_BOOK_17_NAVAL_IMG_8079_output_1943-09-27,PORT AREA,EMDEN,70,86.0,83.0,96.51162790697676,3.0,3.488372093023256
1943-07-26 11:38:00,BOX_7_BOOK_17_NAVAL_IMG_8126_output_1943-07-26,,,6,75.764,50.0,65.9944036745684,25.764,34.005596325431604
1943-11-29 14:44:00,BOX_7_BOOK_17_NAVAL_IMG_8061_output_1943-11-29,,,31,71.0,48.0,67.6056338028169,23.0,32.3943661971831
1944-03-29 12:00:00,BOX_7_BOOK_17_NAVAL_IMG_7913_output_1944-03-29,FIUME HARBOR INSTL,,27,68.25,0.0,0.0,68.25,100.0
1943-12-11 12:23:00,BOX_7_BOOK_17_NAVAL_IMG_8080_output_1943-12-11,,Bovenden,21,68.2,55.0,80.64516129032258,13.2,19.35483870967742
1944-03-26 11:33:00,BOX_7_BOOK_17_NAVAL_IMG_7913_output_1944-03-26,FIUME HARBOR INSTL,,27,68.0,0.0,0.0,68.0,100.0
1941-07-06 09:43:00,BOX_7_BOOK_17_NAVAL_IMG_8099_output_1941-07-06,RICH RISPOSIAN DONDE,VINCEVEZ,36,67.0,24.0,35.82089552238806,43.0,64.17910447761194
1943-11-03 13:11:00,BOX_7_BOOK_17_NAVAL_IMG_8127_output_1943-11-03,BAUHAFEN DOCK,WILHELMSHAVEN,23,64.0,50.0,78.125,14.0,21.875
1943-11-03 13:35:00,BOX_7_BOOK_17_NAVAL_IMG_8123_output_1943-11-03,SORBINO,KIA,44,63.0,48.0,76.19047619047619,15.0,23.809523809523807
1943-11-11 12:35:00,BOX_7_BOOK_17_NAVAL_IMG_8080_output_1943-11-11,,Bovenden,30,63.0,50.0,79.36507936507937,13.0,20.634920634920633
1943-01-21 12:05:00,BOX_7_BOOK_17_NAVAL_IMG_8059_output_1943-01-21,Naval Constr,Bremen,42,60.0,0.0,0.0,60.0,100.0
1945-03-12 13:12:00,BOX_7_BOOK_17_NAVAL_IMG_8058_output_1945-03-12,Betzdorf Port,Betzdorf,26,56.25,44.0,78.22222222222223,12.25,21.777777777777775
1944-05-22 12:50:00,BOX_7_BOOK_17_NAVAL_IMG_7924_output_1944-05-22,Harbor Target Installations,Piombino,38,52.0,0.0,0.0,52.0,100.0
1944-05-23 16:00:00,BOX_7_BOOK_17_NAVAL_IMG_7924_output_1944-05-23,Harbor Target Installations,Piombino,40,52.0,0.0,0.0,52.0,100.0
1943-05-15 11:00:00,BOX_7_BOOK_17_NAVAL_IMG_8079_output_1943-05-15,PORT AREA,EMDEN,19,47.0,34.0,72.3404255319149,13.0,27.659574468085108
1943-09-27 10:12:00,BOX_7_BOOK_17_NAVAL_IMG_8081_output_1943-09-27,PORT AREA,EMDEN,19,40.0,14.0,35.0,26.0,65.0
1941-01-19 14:15:00,BOX_7_BOOK_17_NAVAL_IMG_8108_output_1941-01-19,BARGES ON RIVER,OBERWESEL,13,36.0,0.0,0.0,36.0,100.0
1942-08-16 19:26:00,BOX_7_BOOK_17_NAVAL_IMG_7871_output_1942-08-16,Dock Area,Flushing,243,30.36,30.0,98.81422924901186,0.36,1.185770750988142
1945-03-13 13:13:00,BOX_7_BOOK_17_NAVAL_IMG_8058_output_1945-03-13,Betzdorf Port,Betzdorf,13,30.0,23.0,76.66666666666667,7.0,23.333333333333332
1945-04-08 22:13:00,BOX_7_BOOK_17_NAVAL_IMG_8113_output_1945-04-08,DOCK INSTALLATIONS,TRAVERMUNDE,12,30.0,16.0,53.333333333333336,14.0,46.666666666666664
1943-10-02 16:10:00,BOX_7_BOOK_17_NAVAL_IMG_8082_output_1943-10-02,HARBOR,EMDEN,14,28.0,10.0,35.714285714285715,18.0,64.28571428571429
1943-07-25 16:55:00,BOX_7_BOOK_17_NAVAL_IMG_8100_output_1943-07-25,DOCK AREA,KIEL,19,26.0,0.0,0.0,26.0,100.0
1944-03-04 00:00:00,BOX_7_BOOK_17_NAVAL_IMG_8110_output_1944-03-04,DOCK AREA,SCHLUTUP,12,22.0,0.0,0.0,22.0,100.0
1943-05-19 13:32:00,BOX_7_BOOK_17_NAVAL_IMG_8098_output_1943-05-19,NAVAL INSTALLATIONS,KIEL,27,15.872,0.0,0.0,15.872,100.0
1943-11-01 14:00:00,BOX_7_BOOK_17_NAVAL_IMG_8061_output_1943-11-01,,,128,8.4,7.5,89.28571428571428,0.9,10.714285714285714
1943-03-21 15:00:00,BOX_7_BOOK_17_NAVAL_IMG_8059_output_1943-03-21,Naval Constr,Bremen,173,3.28,1.0,30.48780487804878,2.28,69.51219512195121
1941-11-01 00:00:00,BOX_7_BOOK_17_NAVAL_IMG_8010_output_1941-11-01,DOCKS,ETAPLES,2,2.74,2.5,91.24087591240875,0.24,8.759124087591239
1944-06-21 15:00:00,BOX_7_BOOK_17_NAVAL_IMG_8069_output_1944-06-21,BOBI VBEV COXHVAEN,,1,2.0,0.0,0.0,2.0,100.0
