DATETIME,mission_id,target_name,target_location,NUMBER OF AIRCRAFT BOMBING,TOTAL TONS
1945-03-20 16:00:00,BOX_7_BOOK_17_NAVAL_IMG_8092_output_1945-03-20,PEDRAS,,231,722.0
1944-09-02 10:10:00,BOX_7_BOOK_17_NAVAL_IMG_7915_output_1944-09-02,Harbor,Genoa,317,659.5
1944-10-15 06:00:00,BOX_7_BOOK_17_NAVAL_IMG_7909_output_1944-10-15,Giurgiu Ferry Terminal,Giurgiu,31,600.0
1944-02-17 11:50:00,BOX_7_BOOK_17_NAVAL_IMG_8052_output_1944-02-17,DOCKS,TOULON,88,422.5
1945-03-30 13:33:00,BOX_7_BOOK_17_NAVAL_IMG_8092_output_1945-03-30,PEDRAS,,119,346.0
1943-09-27 10:03:00,BOX_7_BOOK_17_NAVAL_IMG_8079_output_1943-09-27,PORT AREA,EMDEN,129,345.2
1944-04-30 13:00:00,BOX_7_BOOK_17_NAVAL_IMG_7898_output_1944-04-30,Harbor,Zara,12,294.0
1944-06-07 09:30:00,BOX_7_BOOK_17_NAVAL_IMG_7916_output_1944-06-07,Port Installations,Leghorn,88,230.0
1943-03-22 15:09:00,BOX_7_BOOK_17_NAVAL_IMG_8125_output_1943-03-22,DOCKS,WILHELMSHAVEN,82,192.0
1944-09-13 18:00:00,BOX_7_BOOK_17_NAVAL_IMG_7909_output_1944-09-13,Giurgiu Ferry Terminal,Giurgiu,19,188.5
1944-05-18 10:17:00,BOX_7_BOOK_17_NAVAL_IMG_7936_output_1944-05-18,HARBOR,SPEZIA,75,187.0
1944-05-22 15:42:00,BOX_7_BOOK_17_NAVAL_IMG_7936_output_1944-05-22,HARBOR,SPEZIA,73,181.0
1944-05-19 10:20:00,BOX_7_BOOK_17_NAVAL_IMG_7936_output_1944-05-19,HARBOR,SPEZIA,69,171.0
1944-06-08 10:09:00,BOX_7_BOOK_17_NAVAL_IMG_7916_output_1944-06-08,Port Installations,Leghorn,69,164.0
1943-05-15 10:54:00,BOX_7_BOOK_17_NAVAL_IMG_8093_output_1943-05-15,NAVAL INSTALLATIONS,HELI GOLAND,71,161.0
1944-04-29 12:31:00,BOX_7_BOOK_17_NAVAL_IMG_8054_output_1944-04-29,Harbor Target Install,Toulon,64,157.0
1943-09-16 15:02:00,BOX_7_BOOK_17_NAVAL_IMG_8035_output_1943-09-16,NANTES SHIPS,NANTES,53,154.0
1944-05-12 09:32:00,BOX_7_BOOK_17_NAVAL_IMG_7936_output_1944-05-12,HARBOR,SPEZIA,55,137.0
1943-10-10 13:11:00,BOX_7_BOOK_17_NAVAL_IMG_7905_output_1943-10-10,HARBOUR INSTALLATIONS,GDYNIA,39,136.75
1943-07-04 12:03:00,BOX_7_BOOK_17_NAVAL_IMG_8036_output_1943-07-04,HARBOR INSTALLATIONS,PALLICE LA,75,136.0
1943-10-09 13:05:00,BOX_7_BOOK_17_NAVAL_IMG_7905_output_1943-10-09,HARBOUR INSTALLATIONS,GDYNIA,51,131.0
