DATETIME,mission_id,target_name,target_location,NUMBER OF AIRCRAFT BOMBING,TOTAL TONS
1945-03-13 14:02:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0616_output_1945-03-13,Schalke Benzol Plant,Gelsenkirchen Schalke,977,2166.0
1945-02-13 15:54:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0616_output_1945-02-13,Schalke Benzol Plant,Gelsenkirchen Schalke,1724,1688.0
1944-11-18 18:52:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0746_output_1944-11-18,,,1168,1685.0
1945-04-08 22:44:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0640_output_1945-04-08,Syn Oil,Lutzkendorf,983,1558.0
1944-10-19 16:55:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0762_output_1944-10-19,HS A G SYN OIL,GELSENKIRCHEN,724,1486.0
1944-06-16 01:16:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0706_output_1944-06-16,HOLTEN OIL REF,STERKRADE,900,1414.0
1945-02-20 22:05:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0688_output_1945-02-20,HYDRIERWERKE AG,POLITZ,674,1402.0
1945-02-01 12:45:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0743_output_1945-02-01,SYN OIL PLT,HOMBERG MEERBECK GWRKSCHFT,295,1281.0
1945-02-24 16:40:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0743_output_1945-02-24,SYN OIL PLT,HOMBERG MEERBECK GWRKSCHFT,1194,1199.0
1944-08-01 21:05:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0729_output_1944-08-01,Oil Dump,Forte de Chamtilly,585,1170.75
1944-08-10 22:52:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0539_output_1944-08-10,OIL STORAGE DEPOT,LA PALLICE,453,1170.0
1944-08-01 11:50:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0540_output_1944-08-01,Aircraft Fuel Tanks,Paris,107,1141.45
1945-02-14 05:20:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0696_output_1945-02-14,Rositz Oil Refinery,Rositz,53,1126.0
1945-04-04 22:35:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0666_output_1945-04-04,LEUNA SYN OIL,MERSEBURG,2273,1119.0
1945-02-03 19:26:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0566_output_1945-02-03,,,648,1112.0
1945-03-13 20:20:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0738_output_1945-03-13,Erin Benzol Plant,Herne,594,1076.0
1945-04-04 01:24:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0640_output_1945-04-04,Syn Oil,Lutzkendorf,1019,1074.0
1945-03-07 21:56:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0785_output_1945-03-07,RHENANIA OSSAG OIL,HAMBURG,844,1069.0
1945-03-20 03:33:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0564_output_1945-03-20,BRABAG Oil Refinery,Bohlen,670,1053.0
1945-02-19 04:05:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0564_output_1945-02-19,BRABAG Oil Refinery,Bohlen,1025,1046.0
1945-03-14 22:01:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0640_output_1945-03-14,Syn Oil,Lutzkendorf,596,1036.0
1944-08-18 00:00:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0418_output_1944-08-18,OIL STORAGE DEPOTS,GHENT,780,1029.0
1944-11-01 16:04:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0741_output_1944-11-01,,,367,1008.0
1945-02-02 23:09:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0746_output_1945-02-02,,,647,979.8
1945-03-05 21:39:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0564_output_1945-03-05,BRABAG Oil Refinery,Bohlen,718,962.0
1944-08-08 23:30:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0519_output_1944-08-08,Fuel Depot,Aire Sur Lys,144,921.0
1945-03-15 16:09:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0567_output_1945-03-15,,,540,914.0
1945-01-20 22:04:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0688_output_1945-01-20,HYDRIERWERKE AG,POLITZ,645,904.0
